IH_DRG;IH_Code;IH_Prozent;IH_CodeF;IH_Anzahl
C03A;H258;0,4096;H25.8;68
C03A;H358;0,2108;H35.8;35
C03A;H330;0,1506;H33.0;25
C03A;H353;0,1084;H35.3;18
C03A;H335;0,0301;H33.5;5
C03B;H353;0,5155;H35.3;83
C03B;H258;0,2236;H25.8;36
C03B;H431;0,087;H43.1;14
C03B;H330;0,0311;H33.0;5
C03B;H358;0,0311;H35.8;5
C03C;H358;0,3622;H35.8;159
C03C;H330;0,3349;H33.0;147
C03C;H353;0,1503;H35.3;66
C03C;H431;0,0387;H43.1;17
C03C;H352;0,0228;H35.2;10
C03C;H332;0,0205;H33.2;9
C03C;H335;0,0182;H33.5;8
C03D;H353;0,4969;H35.3;244
C03D;H358;0,1263;H35.8;62
C03D;H431;0,1039;H43.1;51
C03D;H330;0,0428;H33.0;21
C03D;H271;0,0387;H27.1;19
C03D;H356;0,0346;H35.6;17
C03D;H433;0,0305;H43.3;15
C03D;T852;0,0265;T85.2;13
C03D;H432;0,0183;H43.2;9
C03D;H430;0,0102;H43.0;5
C04B;H185;0,6095;H18.5;64
C04B;H186;0,0952;H18.6;10
C04B;H178;0,0571;H17.8;6
C04B;H179;0,0571;H17.9;6
C04B;H188;0,0381;H18.8;4
C06Z;H401;0,7442;H40.1;291
C06Z;H409;0,1714;H40.9;67
C06Z;H408;0,0384;H40.8;15
C06Z;H405;0,0128;H40.5;5
C07A;H258;0,7931;H25.8;69
C07A;H251;0,1724;H25.1;15
C07B;H401;0,675;H40.1;81
C07B;H405;0,1167;H40.5;14
C07B;H402;0,0417;H40.2;5
C07B;H404;0,0417;H40.4;5
C08B;H258;0,8058;H25.8;556
C08B;H269;0,071;H26.9;49
C08B;H251;0,0638;H25.1;44
C08B;H252;0,0203;H25.2;14
C08B;H259;0,0101;H25.9;7
C08B;H262;0,0101;H26.2;7
C08B;H268;0,0058;H26.8;4
C15Z;H330;0,16;H33.0;12
C15Z;H258;0,1333;H25.8;10
C15Z;H358;0,1067;H35.8;8
C15Z;H431;0,1067;H43.1;8
C15Z;H270;0,0667;H27.0;5
C15Z;H332;0,0667;H33.2;5
C15Z;H334;0,0533;H33.4;4
C15Z;H353;0,0533;H35.3;4
C20B;H110;0,2448;H11.0;35
C20B;H271;0,1049;H27.1;15
C20B;H258;0,0979;H25.8;14
C20B;C441;0,0699;C44.1;10
C20B;T852;0,0629;T85.2;9
C20B;H270;0,0559;H27.0;8
C20B;H251;0,042;H25.1;6
C20B;H021;0,035;H02.1;5
D06B;J324;0,1458;J32.4;21
D06B;K1228;0,1389;K12.28;20
D06B;H71;0,125;H71;18
D06B;H701;0,1042;H70.1;15
D06B;H661;0,0903;H66.1;13
D06B;K1028;0,0694;K10.28;10
D06B;J320;0,0556;J32.0;8
D06B;C080;0,0278;C08.0;4
D06C;J324;0,4959;J32.4;856
D06C;J342;0,1472;J34.2;254
D06C;J320;0,1078;J32.0;186
D06C;J343;0,0782;J34.3;135
D06C;J310;0,0255;J31.0;44
D06C;J328;0,0214;J32.8;37
D06C;J322;0,0203;J32.2;35
D06C;H661;0,0191;H66.1;33
D06C;J338;0,0162;J33.8;28
D06C;K112;0,0075;K11.2;13
D06C;H71;0,007;H71;12
D06C;J341;0,0052;J34.1;9
D06C;K115;0,0052;K11.5;9
D06C;H810;0,0035;H81.0;6
D06C;J010;0,0029;J01.0;5
D06C;J330;0,0029;J33.0;5
D06C;D140;0,0023;D14.0;4
D06C;H654;0,0023;H65.4;4
D06C;H728;0,0023;H72.8;4
D06C;J350;0,0023;J35.0;4
D12B;J350;0,3654;J35.0;114
D12B;J342;0,109;J34.2;34
D12B;J351;0,0769;J35.1;24
D12B;J343;0,0545;J34.3;17
D12B;Q180;0,0481;Q18.0;15
D12B;Q188;0,0449;Q18.8;14
D12B;S022;0,0417;S02.2;13
D12B;J392;0,0385;J39.2;12
D12B;R065;0,0353;R06.5;11
D12B;D370;0,0256;D37.0;8
D12B;J370;0,0192;J37.0;6
D12B;J324;0,016;J32.4;5
D22B;K083;0,1771;K08.3;17
D22B;K080;0,0938;K08.0;9
D22B;K046;0,0833;K04.6;8
D22B;K103;0,0833;K10.3;8
D22B;K090;0,0521;K09.0;5
D22B;K010;0,0417;K01.0;4
D22B;K092;0,0417;K09.2;4
D28Z;K072;0,4957;K07.2;57
D28Z;K071;0,3826;K07.1;44
D30A;H809;0,1298;H80.9;27
D30A;H661;0,125;H66.1;26
D30A;H71;0,0769;H71;16
D30A;H802;0,0673;H80.2;14
D30A;H801;0,0577;H80.1;12
D30A;J350;0,0577;J35.0;12
D30A;H728;0,0433;H72.8;9
D30A;H613;0,0385;H61.3;8
D30A;H722;0,0385;H72.2;8
D30A;H604;0,024;H60.4;5
D30A;H669;0,024;H66.9;5
D30A;H720;0,024;H72.0;5
D30A;H800;0,024;H80.0;5
D30A;H901;0,024;H90.1;5
D30A;Q175;0,024;Q17.5;5
D30A;H742;0,0192;H74.2;4
D30A;J390;0,0192;J39.0;4
D30B;J350;0,681;J35.0;2103
D30B;J353;0,1791;J35.3;553
D30B;J351;0,0664;J35.1;205
D30B;J36;0,0198;J36;61
D30B;J352;0,0126;J35.2;39
