IN_DRG;IN_Code;IN_Prozent;IN_CodeF;IN_Anzahl;IN_ProzentN;IN_AnzahlN
C03A;I1090;0,5482;I10.90;91;0,1193;91
C03A;H258;0,4699;H25.8;78;0,1022;78
C03A;H545;0,3253;H54.5;54;0,0708;54
C03A;H358;0,259;H35.8;43;0,0564;43
C03A;H353;0,2289;H35.3;38;0,0498;38
C03A;Z922;0,1867;Z92.2;31;0,0406;31
C03A;Z889;0,1446;Z88.9;24;0,0315;24
C03A;Z961;0,1145;Z96.1;19;0,0262;20
C03A;H521;0,1145;H52.1;19;0,0249;19
C03A;Z988;0,1145;Z98.8;19;0,0249;19
C03A;H360;0,1084;H36.0;18;0,0236;18
C03A;E1190;0,0964;E11.90;16;0,021;16
C03A;H330;0,0904;H33.0;15;0,0223;17
C03A;H432;0,0783;H43.2;13;0,017;13
C03A;H520;0,0783;H52.0;13;0,017;13
C03A;H431;0,0723;H43.1;12;0,0157;12
C03A;H542;0,0723;H54.2;12;0,0157;12
C03A;H544;0,0723;H54.4;12;0,0157;12
C03A;E1030;0,0663;E10.30;11;0,0144;11
C03A;H352;0,0602;H35.2;10;0,0131;10
C03A;H251;0,0542;H25.1;9;0,0118;9
C03A;E1130;0,0482;E11.30;8;0,0105;8
C03A;H401;0,0482;H40.1;8;0,0105;8
C03A;H356;0,0422;H35.6;7;0,0092;7
C03A;H541;0,0422;H54.1;7;0,0092;7
C03A;Z921;0,0422;Z92.1;7;0,0092;7
C03A;H269;0,0361;H26.9;6;0,0079;6
C03A;Z488;0,0361;Z48.8;6;0,0079;6
C03A;H522;0,0301;H52.2;5;0,0066;5
C03A;I499;0,0301;I49.9;5;0,0066;5
C03A;H041;0,0241;H04.1;4;0,0052;4
C03A;H185;0,0241;H18.5;4;0,0052;4
C03A;H278;0,0241;H27.8;4;0,0052;4
C03A;J458;0,0241;J45.8;4;0,0052;4
C03B;H258;0,3665;H25.8;59;0,0913;59
C03B;I1090;0,323;I10.90;52;0,0805;52
C03B;H353;0,2671;H35.3;43;0,0697;45
C03B;H251;0,2609;H25.1;42;0,0666;43
C03B;Z961;0,1491;Z96.1;24;0,0372;24
C03B;E1190;0,1429;E11.90;23;0,0356;23
C03B;Z922;0,1366;Z92.2;22;0,0341;22
C03B;H360;0,0994;H36.0;16;0,0248;16
C03B;Z988;0,0994;Z98.8;16;0,0248;16
C03B;Z921;0,0807;Z92.1;13;0,0201;13
C03B;H544;0,0745;H54.4;12;0,0186;12
C03B;H545;0,0745;H54.5;12;0,0186;12
C03B;H432;0,0683;H43.2;11;0,017;11
C03B;H269;0,0621;H26.9;10;0,0155;10
C03B;H431;0,0621;H43.1;10;0,0155;10
C03B;I1010;0,0621;I10.10;10;0,0155;10
C03B;E1130;0,0559;E11.30;9;0,0139;9
C03B;H358;0,0559;H35.8;9;0,0139;9
C03B;H438;0,0435;H43.8;7;0,0108;7
C03B;I1000;0,0435;I10.00;7;0,0108;7
C03B;Z049;0,0435;Z04.9;7;0,0108;7
C03B;E039;0,0373;E03.9;6;0,0093;6
C03B;H401;0,0311;H40.1;5;0,0093;6
C03B;H356;0,0311;H35.6;5;0,0077;5
C03B;H472;0,0311;H47.2;5;0,0077;5
C03B;I499;0,0311;I49.9;5;0,0077;5
C03B;Z488;0,0311;Z48.8;5;0,0077;5
C03B;Z889;0,0311;Z88.9;5;0,0077;5
C03B;E1090;0,0248;E10.90;4;0,0062;4
C03B;H215;0,0248;H21.5;4;0,0062;4
C03B;H278;0,0248;H27.8;4;0,0062;4
C03B;H521;0,0248;H52.1;4;0,0062;4
C03B;Z951;0,0248;Z95.1;4;0,0062;4
C03C;I1090;0,549;I10.90;241;0,1477;241
C03C;Z961;0,5308;Z96.1;233;0,1428;233
C03C;H258;0,262;H25.8;115;0,0705;115
C03C;H545;0,1708;H54.5;75;0,046;75
C03C;Z922;0,1595;Z92.2;70;0,0429;70
C03C;H353;0,1321;H35.3;58;0,0355;58
C03C;E1190;0,1071;E11.90;47;0,0288;47
C03C;Z988;0,1025;Z98.8;45;0,0276;45
C03C;E1130;0,0752;E11.30;33;0,0202;33
C03C;H360;0,0729;H36.0;32;0,0196;32
C03C;H542;0,0661;H54.2;29;0,0178;29
C03C;Z889;0,0638;Z88.9;28;0,0172;28
C03C;H401;0,0592;H40.1;26;0,0159;26
C03C;Z921;0,0501;Z92.1;22;0,0135;22
C03C;H358;0,0478;H35.8;21;0,0129;21
C03C;H544;0,0456;H54.4;20;0,0123;20
C03C;H264;0,0319;H26.4;14;0,0086;14
C03C;H330;0,0319;H33.0;14;0,0086;14
C03C;H352;0,0319;H35.2;14;0,0086;14
C03C;H432;0,0296;H43.2;13;0,008;13
C03C;H521;0,0296;H52.1;13;0,008;13
C03C;I499;0,0296;I49.9;13;0,008;13
C03C;Z049;0,0296;Z04.9;13;0,008;13
C03C;H520;0,0273;H52.0;12;0,0074;12
C03C;E039;0,0251;E03.9;11;0,0067;11
C03C;H251;0,0251;H25.1;11;0,0067;11
C03C;H522;0,0251;H52.2;11;0,0067;11
C03C;H541;0,0251;H54.1;11;0,0067;11
C03C;E782;0,0228;E78.2;10;0,0061;10
C03C;H431;0,0228;H43.1;10;0,0061;10
C03C;Z867;0,0205;Z86.7;9;0,0055;9
C03C;Z950;0,0205;Z95.0;9;0,0055;9
C03C;G2090;0,0182;G20.90;8;0,0049;8
C03C;H356;0,0182;H35.6;8;0,0049;8
C03C;Z740;0,0182;Z74.0;8;0,0049;8
C03C;Z951;0,0182;Z95.1;8;0,0049;8
C03C;H041;0,0159;H04.1;7;0,0043;7
C03C;H179;0,0159;H17.9;7;0,0043;7
C03C;J42;0,0159;J42;7;0,0043;7
C03C;J459;0,0159;J45.9;7;0,0043;7
C03C;Z488;0,0159;Z48.8;7;0,0043;7
C03C;E1030;0,0137;E10.30;6;0,0037;6
C03C;H333;0,0137;H33.3;6;0,0037;6
C03C;H472;0,0137;H47.2;6;0,0037;6
C03C;I1000;0,0137;I10.00;6;0,0037;6
C03C;N189;0,0137;N18.9;6;0,0037;6
C03C;Z998;0,0137;Z99.8;6;0,0037;6
C03C;H185;0,0114;H18.5;5;0,0031;5
C03C;H405;0,0114;H40.5;5;0,0031;5
C03C;I2519;0,0114;I25.19;5;0,0031;5
C03C;I489;0,0114;I48.9;5;0,0031;5
C03C;E1090;0,0091;E10.90;4;0,0025;4
C03C;H114;0,0091;H11.4;4;0,0025;4
C03C;H278;0,0091;H27.8;4;0,0025;4
C03C;H348;0,0091;H34.8;4;0,0025;4
C03C;H439;0,0091;H43.9;4;0,0025;4
C03C;H442;0,0091;H44.2;4;0,0025;4
C03C;I2510;0,0091;I25.10;4;0,0025;4
C03C;I259;0,0091;I25.9;4;0,0025;4
C03C;I509;0,0091;I50.9;4;0,0025;4
C03C;J458;0,0091;J45.8;4;0,0025;4
C03C;N19;0,0091;N19;4;0,0025;4
C03C;Z225;0,0091;Z22.5;4;0,0025;4
C03D;Z961;0,3259;Z96.1;160;0,1108;160
C03D;I1090;0,2566;I10.90;126;0,0873;126
C03D;H353;0,1752;H35.3;86;0,0596;86
C03D;E1190;0,1161;E11.90;57;0,0395;57
C03D;Z922;0,1039;Z92.2;51;0,0353;51
C03D;H358;0,0937;H35.8;46;0,0319;46
C03D;Z921;0,0896;Z92.1;44;0,0305;44
C03D;I1000;0,0794;I10.00;39;0,027;39
C03D;H251;0,0754;H25.1;37;0,0256;37
C03D;H258;0,0692;H25.8;34;0,0235;34
C03D;E1130;0,057;E11.30;28;0,0208;30
C03D;H401;0,055;H40.1;27;0,0187;27
C03D;H360;0,0509;H36.0;25;0,018;26
C03D;E039;0,0489;E03.9;24;0,0166;24
C03D;I499;0,0428;I49.9;21;0,0145;21
C03D;Z988;0,0387;Z98.8;19;0,0132;19
C03D;H438;0,0367;H43.8;18;0,0125;18
C03D;I1010;0,0346;I10.10;17;0,0118;17
C03D;H113;0,0305;H11.3;15;0,0104;15
C03D;H356;0,0265;H35.6;13;0,009;13
C03D;Z049;0,0265;Z04.9;13;0,009;13
C03D;H431;0,0244;H43.1;12;0,0083;12
C03D;J459;0,0244;J45.9;12;0,0083;12
C03D;E782;0,0224;E78.2;11;0,0076;11
C03D;H544;0,0224;H54.4;11;0,0076;11
C03D;I2519;0,0224;I25.19;11;0,0076;11
C03D;H333;0,0204;H33.3;10;0,0069;10
C03D;E1030;0,0183;E10.30;9;0,0062;9
C03D;E785;0,0183;E78.5;9;0,0062;9
C03D;H400;0,0183;H40.0;9;0,0062;9
C03D;H330;0,0143;H33.0;7;0,0048;7
C03D;H472;0,0143;H47.2;7;0,0048;7
C03D;H545;0,0143;H54.5;7;0,0048;7
C03D;H598;0,0143;H59.8;7;0,0048;7
C03D;I2510;0,0143;I25.10;7;0,0048;7
C03D;Z889;0,0143;Z88.9;7;0,0048;7
C03D;H114;0,0122;H11.4;6;0,0042;6
C03D;H264;0,0122;H26.4;6;0,0042;6
C03D;H348;0,0122;H34.8;6;0,0042;6
C03D;H542;0,0122;H54.2;6;0,0042;6
C03D;T784;0,0122;T78.4;6;0,0042;6
C03D;F329;0,0102;F32.9;5;0,0035;5
C03D;G2090;0,0102;G20.90;5;0,0035;5
C03D;H310;0,0102;H31.0;5;0,0035;5
C03D;H354;0,0102;H35.4;5;0,0035;5
C03D;H432;0,0102;H43.2;5;0,0035;5
C03D;H541;0,0102;H54.1;5;0,0035;5
C03D;I250;0,0102;I25.0;5;0,0035;5
C03D;I480;0,0102;I48.0;5;0,0035;5
C03D;Z867;0,0102;Z86.7;5;0,0035;5
C03D;E6601;0,0081;E66.01;4;0,0028;4
C03D;E780;0,0081;E78.0;4;0,0028;4
C03D;H182;0,0081;H18.2;4;0,0028;4
C03D;H185;0,0081;H18.5;4;0,0028;4
C03D;H442;0,0081;H44.2;4;0,0028;4
C03D;H521;0,0081;H52.1;4;0,0028;4
C03D;H530;0,0081;H53.0;4;0,0028;4
C03D;H540;0,0081;H54.0;4;0,0028;4
C03D;H911;0,0081;H91.1;4;0,0028;4
C03D;I2522;0,0081;I25.22;4;0,0028;4
C03D;I509;0,0081;I50.9;4;0,0028;4
C03D;I694;0,0081;I69.4;4;0,0028;4
C03D;J4489;0,0081;J44.89;4;0,0028;4
C03D;R268;0,0081;R26.8;4;0,0028;4
C03D;Z950;0,0081;Z95.0;4;0,0028;4
C04B;I1090;0,3143;I10.90;33;0,1068;33
C04B;Z961;0,2095;Z96.1;22;0,0712;22
C04B;H182;0,1429;H18.2;15;0,0485;15
C04B;E1190;0,1333;E11.90;14;0,0453;14
C04B;Z947;0,1238;Z94.7;13;0,0421;13
C04B;H185;0,1143;H18.5;12;0,0388;12
C04B;Z988;0,0952;Z98.8;10;0,0324;10
C04B;H179;0,0857;H17.9;9;0,0291;9
C04B;Z049;0,0762;Z04.9;8;0,0259;8
C04B;E039;0,0667;E03.9;7;0,0227;7
C04B;H544;0,0667;H54.4;7;0,0227;7
C04B;I499;0,0571;I49.9;6;0,0194;6
C04B;Z922;0,0571;Z92.2;6;0,0194;6
