IP_DRG;IP_Code;IP_Prozent;IP_CodeF;IP_Anzahl;IP_ProzentN;IP_AnzahlN
C03A;51594;0,8313;5-159.4;138;0,14;138
C03A;51443a;0,7771;5-144.3a;129;0,1308;129
C03A;5984;0,759;5-984;126;0,1288;127
C03A;5986x;0,759;5-986.x;126;0,1288;127
C03A;515842;0,4458;5-158.42;74;0,0751;74
C03A;515840;0,3373;5-158.40;56;0,0568;56
C03A;51445a;0,2108;5-144.5a;35;0,0355;35
C03A;12200;0,1988;1-220.0;33;0,0436;43
C03A;51544;0,1807;5-154.4;30;0,0304;30
C03A;51540;0,1506;5-154.0;25;0,0254;25
C03A;51551;0,1446;5-155.1;24;0,0243;24
C03A;51554;0,1446;5-155.4;24;0,0243;24
C03A;513810;0,1386;5-138.10;23;0,0233;23
C03A;5115;0,1205;5-115;20;0,0203;20
C03A;51542;0,1024;5-154.2;17;0,0172;17
C03A;51553;0,0843;5-155.3;14;0,0142;14
C03A;515841;0,0723;5-158.41;12;0,0122;12
C03A;51550;0,0482;5-155.0;8;0,0081;8
C03A;515812;0,0482;5-158.12;8;0,0081;8
C03A;5139x;0,0422;5-139.x;7;0,0071;7
C03A;51569;0,0422;5-156.9;7;0,0071;7
C03A;515845;0,0361;5-158.45;6;0,0061;6
C03A;515813;0,0301;5-158.13;5;0,0051;5
C03B;51445a;0,559;5-144.5a;90;0,1337;90
C03B;51594;0,5404;5-159.4;87;0,1293;87
C03B;515822;0,3975;5-158.22;64;0,0951;64
C03B;12200;0,3913;1-220.0;63;0,0966;65
C03B;51443a;0,3913;5-144.3a;63;0,0936;63
C03B;515820;0,2547;5-158.20;41;0,0609;41
C03B;5984;0,236;5-984;38;0,0579;39
C03B;5986x;0,2298;5-986.x;37;0,0565;38
C03B;515821;0,1242;5-158.21;20;0,0297;20
C03B;51554;0,0994;5-155.4;16;0,0238;16
C03B;5139x;0,0807;5-139.x;13;0,0193;13
C03B;515810;0,0807;5-158.10;13;0,0193;13
C03B;5115;0,0745;5-115;12;0,0178;12
C03B;513810;0,0683;5-138.10;11;0,0163;11
C03B;51540;0,0683;5-154.0;11;0,0163;11
C03B;515812;0,0621;5-158.12;10;0,0149;10
C03B;51551;0,0559;5-155.1;9;0,0134;9
C03B;51553;0,0373;5-155.3;6;0,0089;6
C03B;51569;0,0373;5-156.9;6;0,0089;6
C03B;515811;0,0373;5-158.11;6;0,0089;6
C03B;51550;0,0248;5-155.0;4;0,0059;4
C03C;51594;0,5399;5-159.4;237;0,1303;239
C03C;5984;0,4829;5-984;212;0,1167;214
C03C;5986x;0,4715;5-986.x;207;0,1134;208
C03C;515842;0,4169;5-158.42;183;0,0998;183
C03C;51551;0,2733;5-155.1;120;0,066;121
C03C;515840;0,2711;5-158.40;119;0,0654;120
C03C;51544;0,221;5-154.4;97;0,0529;97
C03C;12200;0,1412;1-220.0;62;0,0403;74
C03C;5139x;0,139;5-139.x;61;0,0333;61
C03C;51540;0,139;5-154.0;61;0,0333;61
C03C;513810;0,1185;5-138.10;52;0,0284;52
C03C;5115;0,1116;5-115;49;0,0267;49
C03C;515841;0,1071;5-158.41;47;0,0256;47
C03C;51542;0,0979;5-154.2;43;0,0234;43
C03C;51553;0,0706;5-155.3;31;0,0169;31
C03C;51554;0,0592;5-155.4;26;0,0142;26
C03C;51421;0,0478;5-142.1;21;0,0115;21
C03C;515843;0,0478;5-158.43;21;0,0115;21
C03C;515845;0,0456;5-158.45;20;0,0109;20
C03C;51569;0,0387;5-156.9;17;0,0098;18
C03C;51550;0,0342;5-155.0;15;0,0082;15
C03C;515812;0,0319;5-158.12;14;0,0076;14
C03C;515813;0,0251;5-158.13;11;0,006;11
C03C;515822;0,0159;5-158.22;7;0,0038;7
C03C;51522;0,0137;5-152.2;6;0,0033;6
C03C;513910;0,0114;5-139.10;5;0,0027;5
C03C;51561;0,0114;5-156.1;5;0,0027;5
C03C;515832;0,0114;5-158.32;5;0,0027;5
C03C;5983;0,0091;5-983;4;0,0022;4
C03D;51594;0,4562;5-159.4;224;0,1656;225
C03D;515822;0,3849;5-158.22;189;0,1391;189
C03D;12200;0,3727;1-220.0;183;0,1383;188
C03D;515810;0,1344;5-158.10;66;0,0493;67
C03D;515820;0,1344;5-158.20;66;0,0486;66
