IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
-1 ;901A;89;1;0;0;0;0;0,5169;0,4831;0;0;0;0;0;0;0,0112;0,0112;0,0112;0,0337;0,1011;0,0449;0,0899;0,0449;0,2584;0,1461;0,2472;0,1575;0,7008;0,1417;7;43;24,7;5,764;0;9,4;16186,33;6661,5
-1 ;901B;636;1;0;0;0;0;0,5425;0,4575;0;0;0,0031;0;0,0047;0,0031;0,011;0,0016;0,022;0,0252;0,0723;0,0535;0,0692;0,0975;0,25;0,1588;0,228;0,113;0,7813;0,1057;6;38;19,9;3,971;0,0002;8,5;11152,11;4692,68
-1 ;901C;279;1;0;0;0;0;0,4659;0,5341;0;0;0,0681;0;0,0036;0,0036;0,0108;0,0036;0,0251;0,0394;0,0609;0,0538;0,0323;0,1039;0,1577;0,1398;0,2975;0,1516;0,742;0,1064;5;32;17;3,159;0,0001;7,3;8871,78;3543,58
-1 ;901D;4529;1;0;0;0;0;0,5452;0,4548;0;0;0;0,004;0,0053;0,0049;0,0082;0,004;0,0338;0,0417;0,0704;0,0605;0,066;0,0753;0,2274;0,1508;0,2477;0,1434;0,7518;0,1047;3;27;13,2;2,156;0,0017;6,6;6053,8;2936,39
-1 ;902Z;1227;1;0;0;0;0;0,4988;0,5012;0;0;0,0016;0,0033;0,0033;0,0033;0,0081;0,0041;0,0334;0,0407;0,0856;0,0799;0,0815;0,0945;0,2209;0,1646;0,1752;0,1801;0,7392;0,0807;2;23;10,2;1,498;0,0005;6,1;4208,04;2193,84
-1 ;960Z;13;1;0;0;0;0;0,5385;0,3846;0,0769;0,2308;0,0769;0;0;0;0;0;0,1538;0,1538;0;0,1538;0;0;0;0,2308;0;0;1;0;;;2,2;;0;1,5;0;0
-1 ;961Z;27;1;0;0;0;0;0,6667;0,3333;0;0,5926;0,037;0;0;0;0;0;0;0,037;0,037;0;0;0,037;0,1852;0,037;0,037;0;1;0;;;3,7;;0;5;0;0
-1 ;962Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0
-1 ;963Z;12;1;0;0;0;0;0,5833;0,4167;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1765;0,7059;0,1176;1;9;3,5;0,617;0;2,2;1732,81;885,14
00 ;A01A;24;0;0;0;0;1;0,6667;0,3333;0;0;0,0417;0,0417;0,0417;0;0;0,0417;0;0,0417;0,2083;0,2083;0,2083;0,125;0,0417;0;0;0,0227;0,5455;0,4318;18;76;57,9;32,537;0;19,1;91373,94;29185,9
