IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
C03B;H35.3;81;0,4939
C03B;H43.1;28;0,1707
C03B;H25.8;21;0,128
C03B;H35.8;12;0,0732
C03B;H35.6;4;0,0244
C03C;H35.8;187;0,3725
C03C;H33.0;158;0,3147
C03C;H35.3;51;0,1016
C03C;H33.2;46;0,0916
C03C;H43.1;16;0,0319
C03C;H33.5;13;0,0259
C03C;H35.2;8;0,0159
C03C;H33.4;5;0,01
C03D;H35.3;220;0,4651
C03D;H43.1;60;0,1268
C03D;H27.1;21;0,0444
C03D;H35.8;21;0,0444
C03D;H33.0;20;0,0423
C03D;H43.3;20;0,0423
C03D;H35.6;17;0,0359
C03D;H27.0;14;0,0296
C03D;T85.2;12;0,0254
C03D;H33.2;11;0,0233
C03D;H43.2;9;0,019
C03D;H33.4;7;0,0148
C03D;H33.3;5;0,0106
C03D;H59.0;4;0,0085
C04B;H18.5;63;0,60
C04B;H17.9;13;0,1238
C04B;H18.1;6;0,0571
C04B;H18.8;6;0,0571
C04B;H18.6;5;0,0476
C06Z;H40.1;366;0,8673
C06Z;H40.8;26;0,0616
C06Z;H40.5;11;0,0261
C06Z;H40.2;5;0,0118
C07B;H40.1;63;0,6774
C07B;H40.5;13;0,1398
C07B;H40.8;7;0,0753
C08B;H25.8;404;0,7345
C08B;H25.1;48;0,0873
C08B;H26.9;37;0,0673
C08B;H26.2;26;0,0473
C08B;H26.8;26;0,0473
C08B;H25.2;7;0,0127
C15Z;H33.0;13;0,1733
C15Z;H35.8;11;0,1467
C15Z;H35.3;10;0,1333
C15Z;H25.8;7;0,0933
C15Z;H43.1;6;0,08
C20B;H11.0;56;0,306
C20B;H25.8;37;0,2022
C20B;H27.1;16;0,0874
C20B;H27.0;8;0,0437
C20B;C44.1;7;0,0383
C20B;H02.1;7;0,0383
C20B;T85.2;7;0,0383
C20B;H25.1;6;0,0328
C20B;H16.0;4;0,0219
D06B;H66.1;16;0,1584
D06B;H70.1;12;0,1188
D06B;H71;10;0,099
D06B;K12.22;10;0,099
D06B;K12.28;9;0,0891
D06B;K10.28;7;0,0693
D06B;J32.4;6;0,0594
D06B;J32.8;4;0,0396
D06C;J32.4;759;0,506
D06C;J34.2;169;0,1127
D06C;J32.0;164;0,1093
D06C;J34.3;157;0,1047
D06C;J31.0;36;0,024
D06C;H66.1;34;0,0227
D06C;J32.2;29;0,0193
D06C;J32.8;24;0,016
D06C;H71;20;0,0133
D06C;J33.8;16;0,0107
D06C;J01.0;10;0,0067
D06C;K11.2;10;0,0067
D06C;D11.7;8;0,0053
D06C;J34.1;8;0,0053
D06C;K11.5;8;0,0053
D06C;J32.1;4;0,0027
D12B;J35.0;93;0,3407
D12B;J34.2;33;0,1209
D12B;S02.2;31;0,1136
D12B;C76.0;23;0,0842
D12B;J39.2;15;0,0549
D12B;Q18.0;11;0,0403
D12B;J34.3;8;0,0293
D12B;J35.1;8;0,0293
D12B;Q18.8;8;0,0293
D12B;J37.0;6;0,022
D12B;J36;4;0,0147
D13B;K04.5;28;0,3111
D13B;K04.6;12;0,1333
D13B;K08.3;10;0,1111
D13B;J35.2;9;0,10
D13B;K10.3;6;0,0667
D22B;K08.3;22;0,2933
D22B;K04.6;12;0,16
D22B;K10.3;7;0,0933
D22B;K10.28;4;0,0533
D28Z;K07.2;41;0,4457
D28Z;K07.1;40;0,4348
D30A;H66.1;36;0,1622
D30A;H71;23;0,1036
D30A;H80.2;20;0,0901
D30A;H80.9;19;0,0856
D30A;H72.8;18;0,0811
D30A;H80.0;10;0,045
D30A;H60.4;7;0,0315
D30A;H72.0;7;0,0315
D30A;H80.1;7;0,0315
D30A;H61.3;6;0,027
D30A;H72.2;6;0,027
D30A;H74.2;6;0,027
D30A;Q17.5;6;0,027
D30A;H66.2;5;0,0225
D30A;H74.1;5;0,0225
D30A;S09.2;4;0,018
D30B;J35.0;1774;0,7119
D30B;J35.3;357;0,1433
D30B;J35.1;137;0,055
D30B;J36;71;0,0285
D30B;J35.2;35;0,014
D30B;J35.8;32;0,0128
D30B;J35.9;12;0,0048
D30B;J38.1;11;0,0044
D30B;J37.0;10;0,004
D30B;C32.0;8;0,0032
D30B;J03.9;8;0,0032
D30B;J38.3;8;0,0032
D30B;J38.4;7;0,0028
D37B;M95.0;80;0,5556
D37B;J34.2;29;0,2014
D37B;J32.4;8;0,0556
D37B;J34.3;8;0,0556
D37B;S02.2;8;0,0556
D38Z;J34.2;1070;0,7731
D38Z;J34.3;193;0,1395
D38Z;J31.0;34;0,0246
D38Z;M95.0;28;0,0202
D38Z;J35.0;25;0,0181
D38Z;S02.2;5;0,0036
D38Z;J34.8;4;0,0029
