IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_PCCL7;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
02 ;C03B;164;0,8049;0,1524;0,0122;0,0305;0,00;0,00;0,00;0,00;0,4939;0,5061;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0061;0,0061;0,0244;0,0366;0,0732;0,128;0,439;0,189;0,0976;0,0765;0,8367;0,0867;1;6;3,10;0,679;0,0072;1,10;1944,95;514,99
02 ;C03C;502;0,8526;0,1096;0,0239;0,0139;0,00;0,00;0,00;0,00;0,5857;0,4143;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,008;0,0139;0,0438;0,0438;0,0857;0,1275;0,3546;0,1972;0,1255;0,1051;0,8243;0,0706;1;6;3,00;0,633;0,022;1,10;1814,52;347,94
02 ;C03D;473;0,814;0,1078;0,0465;0,0317;0,00;0,00;0,00;0,00;0,4905;0,5095;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0106;0,0063;0,0402;0,0465;0,055;0,0825;0,3362;0,1903;0,2326;0,1793;0,7641;0,0565;1;6;2,90;0,507;0,0207;1,00;1451,68;387,55
02 ;C04B;105;0,8762;0,0762;0,0476;0,00;0,00;0,00;0,00;0,00;0,4381;0,5619;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0381;0,019;0,0952;0,0381;0,0476;0,0571;0,3143;0,181;0,2095;0,00;0,9459;0,0541;1;9;4,80;1,297;0,0046;1,40;3715,50;480,24
02 ;C06Z;422;0,9502;0,0261;0,0071;0,0142;0,0024;0,00;0,00;0,00;0,4692;0,5308;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0024;0,0047;0,0213;0,0332;0,045;0,0924;0,0972;0,3602;0,2133;0,1303;0,0152;0,9174;0,0674;1;8;4,20;0,552;0,0185;1,40;1581,31;329,01
02 ;C07B;93;0,8925;0,086;0,0108;0,0108;0,00;0,00;0,00;0,00;0,4839;0,5161;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0108;0,00;0,043;0,0645;0,086;0,0753;0,2581;0,1935;0,2688;0,2877;0,637;0,0753;1;5;2,50;0,298;0,0041;0,90;855,10;152,61
02 ;C08B;550;0,78;0,0818;0,0855;0,0455;0,0073;0,00;0,00;0,00;0,3836;0,6164;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0055;0,0109;0,0164;0,0327;0,0491;0,2236;0,2636;0,3982;0,7724;0,2143;0,0133;1;4;2,40;0,38;0,0241;0,50;1089,22;195,66
02 ;C15Z;75;0,8133;0,1467;0,04;0,00;0,00;0,00;0,00;0,00;0,52;0,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0533;0,08;0,0533;0,0533;0,1067;0,28;0,1733;0,20;0,5648;0,3886;0,0466;1;4;2,30;0,523;0,0033;0,50;1499,34;378,37
02 ;C20B;183;0,9454;0,0219;0,0055;0,0273;0,00;0,00;0,00;0,00;0,459;0,541;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0383;0,0601;0,0273;0,0929;0,0765;0,2951;0,1803;0,2295;0,2969;0,6246;0,0785;1;5;2,60;0,426;0,008;1,00;1219,38;418,65
03 ;D06B;101;0,901;0,0198;0,0495;0,0297;0,00;0,00;0,00;0,00;0,6139;0,3861;0,00;0,00;0,00;0,00;0,00;0,0693;0,2079;0,0099;0,1287;0,1188;0,1287;0,1287;0,0594;0,0396;0,0594;0,0297;0,0198;0,2044;0,7372;0,0584;1;7;3,50;0,58;0,0044;1,30;1660,97;357,68
