IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt7;IO_KArt8;IO_Summe
C03B;1;2,51;269,55;0,80;19,97;0,05;0,00;15,18;0,00;77,03;252,64;637,73
C03B;2;0,35;0,00;0,94;0,11;0,00;0,00;0,11;0,00;0,15;0,38;2,04
C03B;4;0,00;0,00;227,08;8,34;15,21;103,73;99,59;307,17;68,22;130,91;960,25
C03B;5;147,59;0,00;87,98;7,58;0,00;0,00;26,19;0,00;21,12;34,65;325,11
C03B;7;0,05;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,07
C03B;9;1,46;0,00;1,21;0,02;0,00;4,60;0,27;0,00;0,54;0,85;8,95
C03B;10;0,25;0,00;2,04;0,09;0,00;0,00;1,46;0,64;0,21;0,77;5,46
C03B;11;0,72;2,61;0,30;0,00;0,00;0,00;0,16;0,01;0,30;1,21;5,31
C03C;1;0,46;256,83;0,12;19,78;0,26;0,00;14,04;0,00;59,82;242,09;593,40
C03C;2;0,66;1,15;0,01;0,10;0,00;0,00;0,18;0,00;0,26;0,71;3,07
C03C;4;0,00;0,00;219,93;3,21;44,50;3,41;73,91;355,66;80,64;128,63;909,89
C03C;5;137,67;0,00;81,84;7,03;0,00;0,00;26,95;0,00;15,76;29,88;299,13
C03C;7;0,06;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,09
C03C;9;0,08;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,03;0,04;0,23
C03C;10;0,23;0,00;2,47;0,12;0,00;0,00;1,77;0,01;0,27;0,94;5,81
C03C;11;1,02;0,00;0,97;0,02;0,00;0,00;0,07;0,00;0,22;0,61;2,91
C03D;1;4,63;268,98;1,35;19,95;0,30;0,00;15,98;0,82;71,79;248,80;632,60
C03D;2;0,11;0,19;0,00;0,02;0,00;0,00;0,03;0,00;0,04;0,12;0,51
C03D;4;0,00;0,00;133,64;7,81;12,88;22,79;62,99;207,93;43,43;84,18;575,65
C03D;5;99,77;0,00;61,05;5,94;0,00;0,00;18,52;0,00;14,69;24,47;224,44
