IN_DRG;IN_CodeF;IN_Anzahl;IN_Prozent;IN_AnzahlN;IN_ProzentN
C03B;I10.90;62;0,378;62;0,0879
C03B;H25.8;57;0,3476;57;0,0809
C03B;H25.1;49;0,2988;49;0,0695
C03B;H35.3;27;0,1646;27;0,0383
C03B;Z92.2;25;0,1524;25;0,0355
C03B;E11.90;21;0,128;21;0,0298
C03B;H36.0;21;0,128;21;0,0298
C03B;Z96.1;17;0,1037;17;0,0241
C03B;H52.4;16;0,0976;16;0,0227
C03B;E11.30;13;0,0793;16;0,0227
C03B;H26.9;12;0,0732;12;0,017
C03B;H52.0;12;0,0732;12;0,017
C03B;H43.8;11;0,0671;11;0,0156
C03B;H54.4;11;0,0671;11;0,0156
C03B;Z48.8;11;0,0671;11;0,0156
C03B;H35.8;10;0,061;10;0,0142
C03B;H54.5;10;0,061;10;0,0142
C03B;I10.00;10;0,061;10;0,0142
C03B;E10.30;9;0,0549;9;0,0128
C03B;H40.1;9;0,0549;9;0,0128
C03B;H52.2;9;0,0549;9;0,0128
C03B;Z98.8;9;0,0549;9;0,0128
C03B;H54.1;8;0,0488;8;0,0113
C03B;H40.0;7;0,0427;7;0,0099
C03B;Z92.1;7;0,0427;7;0,0099
C03B;H11.3;6;0,0366;6;0,0085
C03B;H21.0;6;0,0366;6;0,0085
C03B;H27.8;6;0,0366;6;0,0085
C03B;H54.2;6;0,0366;6;0,0085
C03B;I49.9;6;0,0366;6;0,0085
C03B;Z88.9;6;0,0366;6;0,0085
C03B;H25.9;5;0,0305;5;0,0071
C03B;H43.1;5;0,0305;5;0,0071
C03B;N18.5;5;0,0305;5;0,0071
C03B;H18.2;4;0,0244;4;0,0057
C03B;H35.6;4;0,0244;4;0,0057
C03B;H47.2;4;0,0244;4;0,0057
C03B;H52.1;4;0,0244;4;0,0057
C03B;H57.8;4;0,0244;4;0,0057
C03B;I25.0;4;0,0244;4;0,0057
C03B;Z99.2;4;0,0244;4;0,0057
C03C;Z96.1;269;0,5359;269;0,1197
C03C;I10.90;258;0,5139;258;0,1148
C03C;H25.8;124;0,247;124;0,0552
C03C;H52.4;111;0,2211;111;0,0494
C03C;Z98.8;102;0,2032;102;0,0454
