IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt7;IO_KArt8;IO_Summe
901A;1;871,54;1682,73;62,71;230,66;95,58;0,00;152,41;64,91;439,02;1270,00;4869,56
901A;2;1253,35;2330,16;46,30;285,95;186,54;0,00;390,54;24,43;465,65;1139,29;6122,21
901A;4;300,98;0,00;249,87;12,40;8,90;162,39;135,04;109,48;134,65;188,96;1302,67
901A;5;210,00;0,00;138,26;10,31;15,92;0,00;39,16;0,00;28,17;53,83;495,65
901A;7;30,54;0,00;28,29;1,83;0,00;98,15;21,60;118,81;9,85;22,86;331,93
901A;8;79,58;0,00;72,81;2,47;0,35;6,26;38,89;32,83;32,69;61,27;327,15
901A;9;191,34;0,00;195,59;1,76;3,48;126,66;25,20;141,67;82,35;129,14;897,19
901A;10;71,73;0,00;301,30;6,10;538,01;0,00;243,34;136,01;37,21;130,03;1463,73
901A;11;147,99;14,01;254,63;3,35;0,00;0,00;17,33;30,51;26,72;113,43;607,97
901B;1;878,17;1599,06;82,66;157,36;51,25;0,00;144,41;19,44;422,83;1271,66;4626,84
901B;2;340,49;669,70;8,07;68,88;18,07;0,00;106,05;2,68;125,84;326,74;1666,52
901B;4;604,46;0,00;446,66;17,41;11,43;361,27;243,17;263,08;242,82;332,99;2523,29
901B;5;404,20;0,00;258,17;22,39;1,14;0,00;80,60;0,78;53,96;103,16;924,40
901B;6;0,55;0,00;0,00;0,06;0,00;0,00;0,12;0,00;0,12;0,37;1,22
901B;7;17,14;0,00;16,14;0,95;0,03;12,43;8,47;25,85;5,86;11,25;98,12
901B;8;44,78;0,00;51,42;1,60;0,45;2,17;19,69;18,27;22,62;33,20;194,20
901B;9;119,96;0,00;121,75;1,92;2,02;18,96;31,84;94,62;52,51;79,32;522,90
901B;10;51,81;0,00;167,03;6,60;112,75;0,00;136,91;109,01;26,86;75,27;686,24
901B;11;109,34;7,39;217,32;3,75;0,00;0,00;17,45;15,92;28,96;99,00;499,13
901C;1;734,17;1548,34;69,06;131,95;75,39;0,00;125,70;26,34;356,42;1063,32;4130,69
901C;2;243,27;425,80;15,92;46,20;9,25;0,00;69,25;1,27;79,25;218,06;1108,27
901C;4;380,33;0,00;303,69;14,66;6,78;412,10;179,85;124,97;181,79;227,23;1831,40
901C;5;277,96;0,00;179,15;14,85;1,16;0,00;55,88;1,96;36,36;73,36;640,68
901C;7;10,39;0,00;9,99;0,55;0,74;11,83;5,78;12,24;3,85;6,22;61,59
901C;8;17,35;0,00;19,26;0,60;0,03;0,20;6,97;5,20;8,02;12,40;70,03
901C;9;100,17;0,00;106,16;1,37;0,72;8,62;19,78;62,84;47,39;70,03;417,08
901C;10;25,70;0,00;102,73;3,10;66,64;0,00;73,99;75,79;15,10;46,37;409,42
901C;11;94,06;2,63;222,42;2,34;0,00;0,00;14,20;14,00;20,82;96,26;466,73
901D;1;561,69;998,13;50,11;92,89;20,26;0,00;84,81;18,55;284,36;838,21;2949,01
901D;2;137,03;262,27;4,73;26,83;7,07;0,00;40,86;1,09;53,83;131,24;664,95
901D;4;190,73;0,00;163,21;5,79;3,23;104,44;87,55;57,28;90,47;119,26;821,96
901D;5;148,60;0,00;97,68;8,07;0,34;0,00;29,61;0,49;19,61;39,30;343,70
901D;6;1,20;0,00;2,32;0,16;0,00;0,00;0,29;0,00;0,30;1,22;5,49
901D;7;44,65;0,00;45,21;2,99;0,55;60,00;24,69;106,90;19,64;32,49;337,12
901D;8;26,62;0,00;28,49;1,11;0,08;4,62;12,63;8,62;13,28;19,15;114,60
901D;9;88,83;0,00;87,64;1,41;1,93;10,70;21,67;85,03;36,73;58,75;392,69
901D;10;19,23;0,00;77,04;3,05;33,93;0,00;62,63;49,80;10,98;33,85;290,51
901D;11;91,67;3,81;130,93;3,15;0,18;0,92;13,95;9,30;20,42;65,35;339,68
902Z;1;442,03;742,84;37,72;71,38;16,88;0,00;61,08;18,72;220,30;648,10;2259,05
902Z;2;52,11;98,83;2,40;10,31;2,25;0,00;14,75;1,28;18,86;49,89;250,68
902Z;4;119,86;0,00;122,58;4,92;1,80;226,26;59,48;41,15;66,30;85,32;727,67
902Z;5;115,10;0,00;77,04;5,77;0,32;0,00;22,48;0,65;14,76;30,39;266,51
902Z;6;0,45;0,00;0,99;0,04;0,00;0,00;0,09;0,00;0,09;0,46;2,12
902Z;7;6,71;0,00;6,03;0,53;0,04;0,19;3,35;10,29;2,63;4,24;34,01
902Z;8;38,13;0,00;38,49;1,39;0,20;0,35;16,96;11,45;17,48;27,13;151,58
902Z;9;61,61;0,00;62,20;1,16;1,48;0,11;14,15;42,12;28,14;40,80;251,77
902Z;10;21,27;0,00;67,09;2,03;16,24;0,00;52,20;51,48;10,17;31,00;251,48
902Z;11;87,62;2,87;100,12;2,99;0,08;0,00;13,68;5,50;19,03;53,21;285,10
963Z;1;251,27;634,94;17,23;37,45;0,00;0,00;73,92;5,01;159,15;354,21;1533,18
963Z;2;260,99;407,98;0,56;32,32;0,00;0,00;71,19;0,00;114,03;212,37;1099,44
963Z;4;57,21;0,00;51,44;0,86;0,00;0,00;19,18;1,92;16,43;35,00;182,04
963Z;5;48,99;0,00;23,66;2,38;0,00;0,00;6,68;0,00;8,11;14,90;104,72
963Z;9;12,71;0,00;12,63;0,03;0,00;0,00;1,52;16,89;8,14;11,04;62,96
963Z;10;7,39;0,00;37,36;0,64;5,13;0,00;31,41;67,03;3,93;16,30;169,19
963Z;11;16,24;0,22;30,65;0,07;0,00;0,00;1,56;24,68;2,87;13,22;89,51
A01A;1;2013,21;2237,35;155,83;646,15;589,66;0,00;232,54;96,34;674,58;1422,17;8067,83
A01A;2;9213,82;15368,25;291,49;1445,21;1808,26;0,00;2966,87;282,84;2442,41;5880,27;39699,42
A01A;4;3085,65;0,00;2100,84;73,46;159,39;213,88;889,43;1440,10;996,93;2005,66;10965,34
A01A;5;2217,81;0,00;1315,85;166,01;28,29;0,00;499,81;3,68;269,33;556,67;5057,45
A01A;7;27,57;0,00;21,71;0,90;0,00;0,00;8,65;1,82;10,89;25,87;97,41
A01A;8;196,88;0,00;175,10;6,61;2,14;6,52;56,67;60,90;117,30;133,28;755,40
A01A;9;433,46;0,00;388,86;11,81;0,71;112,90;160,62;181,15;311,35;312,76;1913,62
A01A;10;653,93;0,00;2083,22;84,45;3281,15;0,00;1840,42;853,29;426,56;1020,70;10243,72
A01A;11;2158,19;11,01;1359,89;81,04;1,42;0,00;91,42;112,76;348,14;778,94;4942,81
A01B;1;2819,42;3446,22;270,33;774,64;751,39;0,00;342,27;117,81;787,17;2229,11;11538,36
A01B;2;4171,55;7086,26;85,28;604,93;1506,26;0,00;1082,01;317,41;935,04;2833,86;18622,60
A01B;4;2121,41;0,00;1532,22;39,58;60,15;169,71;699,85;524,31;505,22;1146,19;6798,64
A01B;5;1242,03;0,00;693,89;80,55;130,81;0,00;237,91;9,12;126,63;330,08;2851,02
A01B;7;19,21;0,00;14,48;0,57;0,00;0,00;6,01;11,36;7,40;15,23;74,26
A01B;8;72,98;0,00;68,32;2,79;0,20;11,34;24,28;71,84;38,18;52,01;341,94
A01B;9;163,88;0,00;164,36;7,62;1,21;47,52;87,66;134,18;117,14;125,69;849,26
A01B;10;313,11;0,00;911,05;4,12;1494,98;0,00;748,75;810,56;187,68;453,77;4924,02
A01B;11;1727,68;7,21;1514,19;121,88;0,52;0,00;58,28;91,80;292,78;879,31;4693,65
A01C;1;1277,63;1725,90;173,42;649,31;505,70;0,00;217,02;28,06;588,18;1271,68;6436,90
A01C;2;2112,58;4550,67;152,55;516,06;1392,71;0,00;767,00;36,41;683,30;1829,73;12041,01
A01C;4;1798,86;0,00;1087,95;43,08;130,84;94,36;408,31;566,10;511,49;926,87;5567,86
A01C;5;825,19;0,00;538,07;55,91;120,60;0,00;182,89;4,42;109,81;192,67;2029,56
A01C;7;9,46;0,00;7,42;0,32;0,00;0,58;2,86;9,75;3,43;7,83;41,65
A01C;8;32,70;0,00;31,85;1,16;0,29;5,68;11,58;37,09;22,13;26,71;169,19
A01C;9;106,75;0,00;98,33;2,33;0,37;12,53;31,04;58,00;70,06;76,85;456,26
A01C;10;327,76;0,00;872,59;11,29;1214,00;0,00;778,50;155,24;186,10;411,29;3956,77
A01C;11;1067,85;1,63;640,90;24,46;0,99;0,00;19,44;13,15;215,43;329,05;2312,90
A02Z;1;1202,19;1609,89;228,37;595,34;240,12;0,00;189,76;1157,31;447,63;1085,50;6756,11
A02Z;2;1823,92;3926,75;242,38;452,10;856,40;0,00;585,22;15,14;761,60;1667,35;10330,86
A02Z;4;1950,16;0,00;1153,43;30,90;71,95;28,76;433,80;473,32;444,59;934,46;5521,37
A02Z;5;779,59;0,00;533,23;62,15;65,72;0,00;197,97;0,00;114,72;229,83;1983,21
A02Z;8;48,06;0,00;50,05;1,22;0,01;0,05;23,26;5,53;22,11;29,35;179,64
A02Z;9;100,56;0,00;103,60;1,08;0,18;0,00;11,95;13,23;53,48;64,14;348,22
A02Z;10;312,52;0,00;716,19;3,41;714,26;0,00;581,98;214,52;142,19;298,64;2983,71
A02Z;11;1061,44;1,49;513,54;43,17;0,02;0,00;17,32;17,49;93,96;337,50;2085,93
A03A;1;1174,29;1986,20;303,70;557,55;870,67;0,00;296,03;4,59;633,27;1650,28;7476,58
A03A;2;13082,04;19978,10;1005,76;2363,42;3096,82;0,00;4605,20;93,15;4506,88;6329,74;55061,11
A03A;4;2366,61;0,00;1476,29;98,69;122,61;30,74;522,95;1366,23;744,93;1551,61;8280,66
A03A;5;1364,81;0,00;837,22;124,91;93,38;0,00;287,03;39,28;152,02;302,02;3200,67
A03A;7;16,95;0,00;14,23;0,80;0,00;0,00;5,67;10,86;8,63;20,75;77,89
A03A;8;165,27;0,00;128,32;5,58;0,09;0,00;72,47;5,19;104,25;182,83;664,00
A03A;9;284,55;0,00;393,97;4,85;0,00;0,00;41,88;14,57;202,11;221,83;1163,76
A03A;10;578,84;0,00;1902,13;169,83;1323,99;0,00;1569,89;467,55;587,88;812,68;7412,79
A03A;11;1786,94;2,52;1432,45;2,76;0,00;0,00;33,40;43,10;173,82;446,54;3921,53
A03B;1;1653,03;2422,44;125,59;760,79;474,99;0,00;182,20;0,21;735,22;1905,95;8260,42
A03B;2;3014,13;4929,62;254,82;933,27;883,06;0,00;1083,74;5,82;884,88;1925,75;13915,09
A03B;4;2449,57;0,00;1122,53;39,56;135,33;2096,30;440,17;991,17;528,45;1772,13;9575,21
A03B;5;842,04;0,00;504,74;83,16;30,18;0,00;154,91;5,82;77,91;194,56;1893,32
A03B;7;12,07;0,00;10,18;0,57;0,00;0,00;4,10;0,00;6,17;14,65;47,74
A03B;8;329,78;0,00;127,80;12,65;0,00;0,00;162,42;4,81;224,51;296,60;1158,57
A03B;9;192,82;0,00;188,53;2,83;6,61;0,00;27,97;2,69;97,88;146,74;666,07
A03B;10;665,45;0,00;1841,50;10,58;723,87;0,00;1399,10;114,28;398,31;768,72;5921,81
A03B;11;2558,93;0,48;783,12;2,62;0,00;0,00;17,45;9,66;118,72;357,58;3848,56
A04B;1;74,57;280,77;13,04;23,49;15,05;0,00;23,28;0,53;38,01;81,12;549,86
A04B;2;10610,19;18122,34;2333,82;3483,82;7875,03;0,00;3048,96;193,03;4015,35;9953,11;59635,65
A04B;4;38,42;0,00;23,16;0,23;0,11;0,10;4,78;25,39;7,60;11,70;111,49
A04B;5;26,35;0,00;23,94;1,76;0,62;0,00;6,93;0,00;4,22;10,01;73,83
A04B;7;2,39;0,00;1,27;0,00;0,00;0,00;0,10;0,00;0,20;0,44;4,40
A04B;8;2,31;0,00;2,29;0,11;0,00;0,00;0,75;0,97;1,77;2,48;10,68
A04B;9;80,84;0,00;112,12;0,76;0,00;0,00;10,39;1,29;68,48;66,17;340,05
A04B;10;482,80;0,00;1485,26;47,99;711,89;21403,07;1376,55;1453,53;396,76;994,25;28352,10
A04B;11;54,46;1,80;617,39;9,41;0,00;0,00;14,50;62,41;42,09;146,68;948,74
A04C;1;1311,98;1883,39;310,66;541,27;1240,34;0,00;301,01;7,85;942,09;1587,55;8126,14
A04C;2;9729,11;17186,18;2247,57;4156,45;4003,86;0,96;2559,58;368,50;3693,66;9871,34;53817,21
A04C;4;66,37;0,00;78,72;2,07;0,07;36,79;24,78;33,04;32,52;58,37;332,73
A04C;5;91,99;0,00;64,21;8,28;1,34;0,00;21,27;0,00;11,35;32,52;230,96
A04C;7;30,37;0,00;17,46;0,14;0,00;0,31;3,59;1,46;4,30;8,26;65,89
A04C;8;26,45;0,00;30,01;0,65;0,29;0,03;8,70;6,21;11,95;22,31;106,60
A04C;9;387,12;0,00;530,66;3,43;0,06;15,01;49,04;24,30;390,22;362,94;1762,78
A04C;10;486,87;0,00;1917,04;102,73;791,71;7069,35;1445,51;1767,58;387,60;882,12;14850,51
A04C;11;191,39;3,55;582,40;5,08;0,00;0,00;15,61;196,18;71,96;155,87;1222,04
