IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;67;27716
01;MDC 01 Krankheiten und Störungen des Nervensystems;101;249175
02;MDC 02 Krankheiten und Störungen des Auges;33;65452
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;54;141645
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;63;197733
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;147;379566
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;82;282307
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;43;85511
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;143;395627
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;50;139749
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;37;83792
11;MDC 11 Krankheiten und Störungen der Harnorgane;65;133233
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;33671
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;34;50340
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;25;113039
15;MDC 15 Neugeborene;42;127305
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;23938
17;MDC 17 Hämatologische und solide Neubildungen;50;47767
18A;MDC 18A HIV;7;890
18B;MDC 18B Infektiöse und parasitäre Krankheiten;22;43739
19;MDC 19 Psychische Krankheiten und Störungen;7;14525
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;9818
21A;MDC 21A Polytrauma;10;2433
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;23144
22;MDC 22 Verbrennungen;9;3861
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;9;14246
-1;Fehler-DRGs und sonstige DRGs;8;7085
