IC_CodeF;IC_Text;IC_ANZHDI;IC_ANZNDI;IC_AnzProzI
1-100;Klinische Untersuchung in Allgemeinanästhesie;0;0;1
1-202.00;Diagnostik zur Feststellung des Hirntodes: Bei einem potenziellen Organspender: Ohne Feststellung des Hirntodes;0;0;1
1-202.01;Diagnostik zur Feststellung des Hirntodes: Bei einem potenziellen Organspender: Mit Feststellung des Hirntodes;0;0;1
1-202.1;Diagnostik zur Feststellung des Hirntodes: Bei sonstigen Patienten;0;0;1
1-203.0;Invasive Funktionsdiagnostik des Nervensystems: Mit Stimulationselektroden, zerebral;0;0;1
1-203.1;Invasive Funktionsdiagnostik des Nervensystems: Mit Stimulationselektroden, spinal;0;0;1
1-203.x;Invasive Funktionsdiagnostik des Nervensystems: Sonstige;0;0;1
1-204.0;Untersuchung des Liquorsystems: Messung des Hirndruckes;0;0;1
1-204.1;Untersuchung des Liquorsystems: Messung des lumbalen Liquordruckes;0;0;1
1-204.2;Untersuchung des Liquorsystems: Lumbale Liquorpunktion zur Liquorentnahme;0;0;1
1-204.5;Untersuchung des Liquorsystems: Liquorentnahme aus einem liegenden Katheter;0;0;1
1-204.6;Untersuchung des Liquorsystems: Infusionstest;0;0;1
1-204.7;Untersuchung des Liquorsystems: Pharmakologischer Test;0;0;1
1-204.x;Untersuchung des Liquorsystems: Sonstige;0;0;1
1-205;Elektromyographie (EMG);0;0;1
1-206;Neurographie;0;0;1
1-207.0;Elektroenzephalographie (EEG): Routine-EEG (10/20 Elektroden);0;0;1
1-207.1;Elektroenzephalographie (EEG): Schlaf-EEG (10/20 Elektroden);0;0;1
1-207.2;Elektroenzephalographie (EEG): Video-EEG (10/20 Elektroden);0;0;1
1-207.3;Elektroenzephalographie (EEG): Mobiles Kassetten-EEG (10/20 Elektroden);0;0;1
1-207.x;Elektroenzephalographie (EEG): Sonstige;0;0;1
1-207.y;Elektroenzephalographie (EEG): N.n.bez.;0;0;1
1-208.0;Registrierung evozierter Potentiale: Akustisch (AEP);0;0;1
1-208.1;Registrierung evozierter Potentiale: Früh-akustisch (FAEP/BERA);0;0;1
1-208.2;Registrierung evozierter Potentiale: Somatosensorisch (SSEP);0;0;1
1-208.3;Registrierung evozierter Potentiale: Früh-somatosensorisch (FSSEP);0;0;1
1-208.4;Registrierung evozierter Potentiale: Motorisch;0;0;1
1-208.5;Registrierung evozierter Potentiale: Spät-akustisch (CERA);0;0;1
1-208.6;Registrierung evozierter Potentiale: Visuell (VEP);0;0;1
1-208.8;Registrierung evozierter Potentiale: Otoakustische Emissionen;0;0;1
1-208.x;Registrierung evozierter Potentiale: Sonstige;0;0;1
1-208.y;Registrierung evozierter Potentiale: N.n.bez.;0;0;1
1-20a.20;Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der Pharmakosensitivität mit quantitativer Testung;0;0;1
1-20a.21;Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der operativen Behandelbarkeit von Bewegungsstörungen;0;0;1
1-20c.0;Navigierte transkranielle Magnetstimulation (nTMS): Zur Identifizierung von Hirnarealen für die Motorik (Motormapping);0;0;1
1-20c.1;Navigierte transkranielle Magnetstimulation (nTMS): Zur Identifizierung von Hirnarealen für die Sprache (Speechmapping);0;0;1
1-20c.x;Navigierte transkranielle Magnetstimulation (nTMS): Sonstige;0;0;1
1-20c.y;Navigierte transkranielle Magnetstimulation (nTMS): N.n.bez.;0;0;1
1-210;Nichtinvasive Video-EEG-Intensivdiagnostik zur Klärung eines Verdachts auf Epilepsie oder einer epilepsiechirurgischen Operationsindikation;0;0;1
1-212.0;Invasive intraoperative Epilepsiediagnostik: Elektrokortikographie;0;0;1
1-212.2;Invasive intraoperative Epilepsiediagnostik: Elektrostimulation im Wachzustand;0;0;1
1-212.3;Invasive intraoperative Epilepsiediagnostik: Evozierte Potentiale;0;0;1
1-220.0;Messung des Augeninnendrucks: Tages- und Nachtdruckmessung über 24 Stunden;0;0;1
1-242;Audiometrie;0;0;1
1-243;Phoniatrie;0;0;1
1-245;Rhinomanometrie;0;0;1
1-247;Olfaktometrie und Gustometrie;0;0;1
1-265.0;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Störungen der Sinusknotenfunktion;0;0;1
1-265.1;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Störungen der AV-Überleitung;0;0;1
1-265.3;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei intraventrikulären Leitungsstörungen (faszikuläre Blockierungen);0;0;1
1-265.4;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Tachykardien mit schmalem QRS-Komplex oder atrialen Tachykardien;0;0;1
1-265.5;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei WPW-Syndrom;0;0;1
1-265.6;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Tachykardien mit breitem QRS-Komplex;0;0;1
1-265.7;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei nicht anhaltenden Kammertachykardien und ventrikulären Extrasystolen;0;0;1
1-265.8;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Synkopen unklarer Genese;0;0;1
1-265.9;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Zustand nach Herz-Kreislauf-Stillstand;0;0;1
1-265.a;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Nach kurativer Therapie eines angeborenen Herzfehlers;0;0;1
1-265.b;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Nach palliativer Therapie eines angeborenen Herzfehlers;0;0;1
