IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
01 ;B71D;95;0,9368;0,0421;0,0211;0,00;0,00;0,00;0,00;0,3684;0,6316;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0105;0,0105;0,2421;0,1158;0,0737;0,1053;0,1368;0,1579;0,1474;0,02;0,95;0,03;1;11;5,60;0,472;0,0037;2,20;1371,35;410,40
02 ;C03B;408;0,8554;0,1078;0,0245;0,0123;0,00;0,00;0,00;0,5294;0,4706;0,00;0,00;0,00;0,00;0,00;0,00;0,0025;0,00;0,0098;0,0074;0,0368;0,0686;0,0882;0,1275;0,3652;0,1936;0,1005;0,3285;0,6507;0,0207;1;6;2,90;0,619;0,0157;1,00;1826,39;512,70
02 ;C03C;490;0,90;0,0796;0,0163;0,0041;0,00;0,00;0,00;0,4673;0,5327;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,002;0,002;0,0143;0,0469;0,0265;0,0633;0,1061;0,3612;0,2143;0,1633;0,2173;0,7447;0,038;1;6;2,80;0,486;0,0188;1,00;1429,12;501,85
02 ;C04B;86;0,9651;0,0233;0,00;0,0116;0,00;0,00;0,00;0,3953;0,6047;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0116;0,0116;0,0698;0,0465;0,0814;0,186;0,2442;0,2093;0,1395;0,00;0,9247;0,0753;1;8;4,80;1,245;0,0033;1,10;3765,45;400,65
02 ;C06Z;434;0,9378;0,0392;0,0092;0,0138;0,00;0,00;0,00;0,4263;0,5737;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0092;0,0092;0,0576;0,0553;0,0645;0,1198;0,2949;0,2166;0,1728;0,0312;0,9023;0,0665;1;8;4,20;0,549;0,0167;1,40;1608,56;415,97
02 ;C07B;83;0,9398;0,0482;0,012;0,00;0,00;0,00;0,00;0,4217;0,5783;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0241;0,00;0,0241;0,0482;0,0602;0,0482;0,2892;0,1205;0,3855;0,3636;0,5804;0,0559;1;6;2,60;0,305;0,0032;1,00;891,11;235,03
02 ;C08B;777;0,9112;0,045;0,0245;0,018;0,0013;0,00;0,00;0,3488;0,6512;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0039;0,009;0,018;0,027;0,0386;0,2252;0,2625;0,4157;0,7298;0,2641;0,0061;1;4;2,30;0,375;0,0299;0,50;1106,07;241,06
02 ;C14Z;77;0,9351;0,039;0,026;0,00;0,00;0,00;0,00;0,5974;0,4026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,013;0,00;0,0519;0,0649;0,0909;0,0909;0,2338;0,1558;0,2987;0,479;0,4611;0,0599;1;6;2,90;0,377;0,003;1,20;1104,05;354,64
02 ;C15Z;85;0,7882;0,1647;0,0471;0,00;0,00;0,00;0,00;0,5294;0,4706;0,00;0,00;0,00;0,00;0,00;0,00;0,0118;0,00;0,0235;0,0471;0,0118;0,0706;0,0706;0,1059;0,2118;0,1765;0,2706;0,5431;0,4315;0,0254;1;5;2,30;0,509;0,0033;0,60;1503,71;545,12
02 ;C20B;151;0,9139;0,053;0,0199;0,0132;0,00;0,00;0,00;0,4834;0,5166;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0132;0,0199;0,0596;0,053;0,0795;0,0662;0,2252;0,1921;0,2914;0,3207;0,6371;0,0422;1;5;2,60;0,418;0,0058;0,80;1227,36;427,40
03 ;D06B;94;0,9362;0,0213;0,0213;0,0213;0,00;0,00;0,00;0,4894;0,5106;0,00;0,00;0,00;0,00;0,00;0,1064;0,2234;0,0319;0,0426;0,0957;0,1383;0,0745;0,1383;0,0319;0,0532;0,0319;0,0319;0,2867;0,6573;0,0559;1;7;3,40;0,583;0,0036;1,30;1701,52;410,45
03 ;D06C;1625;0,9662;0,0166;0,0092;0,0074;0,0006;0,00;0,00;0,5852;0,4148;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0154;0,2209;0,1871;0,2203;0,1132;0,0855;0,0628;0,0671;0,0197;0,008;0,2455;0,732;0,0225;1;6;3,20;0,517;0,0625;0,90;1508,51;398,11
03 ;D12B;221;0,905;0,0543;0,0136;0,0271;0,00;0,00;0,00;0,6652;0,3348;0,00;0,00;0,00;0,00;0,0136;0,009;0,0362;0,0045;0,1719;0,2127;0,19;0,0724;0,095;0,0543;0,0588;0,0498;0,0317;0,4645;0,5057;0,0297;1;7;3,50;0,513;0,0085;1,30;1495,87;425,94
03 ;D13B;75;0,5467;0,1067;0,2267;0,0933;0,0267;0,00;0,00;0,60;0,40;0,00;0,00;0,0133;0,08;0,1867;0,0133;0,0133;0,0267;0,0533;0,0133;0,0533;0,0133;0,0133;0,04;0,1333;0,0933;0,2533;0,8122;0,1582;0,0295;1;5;2,70;0,44;0,0029;0,70;1282,24;398,32
03 ;D22B;78;0,50;0,1538;0,1795;0,1282;0,0385;0,00;0,00;0,4615;0,5385;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0128;0,0256;0,0769;0,0769;0,0385;0,0513;0,1026;0,2436;0,0769;0,2949;0,3893;0,5954;0,0153;1;6;3,00;0,506;0,003;1,00;1474,64;340,35
03 ;D25D;116;0,8103;0,069;0,0776;0,0431;0,00;0,00;0,00;0,5948;0,4052;0,00;0,00;0,00;0,00;0,00;0,00;0,0086;0,00;0,0862;0,0517;0,0776;0,0862;0,1552;0,1466;0,2069;0,1034;0,0776;0,2353;0,7582;0,0065;1;9;4,00;0,701;0,0045;1,80;2048,94;686,11
03 ;D28Z;128;0,9063;0,0391;0,0313;0,0234;0,00;0,00;0,00;0,4375;0,5625;0,00;0,00;0,00;0,00;0,00;0,00;0,0078;0,0703;0,4453;0,2188;0,1094;0,0391;0,0313;0,0078;0,0625;0,00;0,0078;0,00;0,8889;0,1111;1;8;3,40;0,735;0,0049;1,60;2152,63;727,44
03 ;D30A;172;0,9419;0,0233;0,0233;0,0116;0,00;0,00;0,00;0,564;0,436;0,00;0,00;0,00;0,0058;0,0349;0,0407;0,0407;0,0349;0,157;0,0872;0,1744;0,1163;0,0698;0,0814;0,1047;0,0349;0,0174;0,3919;0,5811;0,027;1;6;3,00;0,53;0,0066;0,80;1545,79;309,66
03 ;D30B;2942;0,9844;0,0116;0,0014;0,0027;0,00;0,00;0,00;0,3923;0,6077;0,00;0,00;0,00;0,0146;0,1356;0,102;0,1101;0,0772;0,378;0,1098;0,0466;0,0126;0,0054;0,0024;0,0051;0,0007;0,00;0,0556;0,9249;0,0195;1;8;4,20;0,475;0,1132;1,50;1381,11;324,88
03 ;D37B;115;0,9652;0,0261;0,0087;0,00;0,00;0,00;0,00;0,5478;0,4522;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0435;0,3478;0,2174;0,1913;0,0609;0,0522;0,0435;0,0174;0,0261;0,00;0,3698;0,599;0,0313;1;5;2,90;0,559;0,0044;0,70;1632,43;505,60
03 ;D38Z;1552;0,9742;0,0122;0,0064;0,0064;0,0006;0,00;0,00;0,643;0,357;0,00;0,00;0,00;0,00;0,0026;0,0032;0,0258;0,0361;0,4272;0,2107;0,1604;0,0561;0,0341;0,0258;0,0142;0,0032;0,0006;0,2451;0,7345;0,0204;1;7;3,30;0,466;0,0597;1,20;1358,69;320,99
03 ;D40Z;75;0,48;0,2533;0,16;0,0933;0,0133;0,00;0,00;0,4667;0,5333;0,00;0,00;0,00;0,00;0,00;0,00;0,04;0,00;0,0267;0,0267;0,08;0,04;0,0533;0,0667;0,12;0,1733;0,3733;0,6233;0,3363;0,0404;1;5;2,40;0,468;0,0029;0,60;1364,37;281,15
03 ;D61A;159;0,9748;0,0189;0,0063;0,00;0,00;0,00;0,00;0,4465;0,5535;0,00;0,00;0,00;0,00;0,00;0,00;0,0063;0,0126;0,044;0,0881;0,2138;0,1069;0,1132;0,0881;0,1447;0,0881;0,0943;0,0465;0,9244;0,0291;1;10;5,00;0,352;0,0061;1,90;1020,42;339,81
03 ;D61B;75;0,9333;0,0267;0,0267;0,0133;0,00;0,00;0,00;0,3333;0,6667;0,00;0,00;0,00;0,00;0,00;0,00;0,0267;0,00;0,04;0,04;0,16;0,12;0,1067;0,08;0,1467;0,1467;0,1333;0,1023;0,8523;0,0455;1;9;4,50;0,374;0,0029;1,70;1086,78;421,64
03 ;D62Z;200;0,88;0,095;0,01;0,015;0,00;0,00;0,00;0,45;0,55;0,00;0,00;0,00;0,00;0,09;0,045;0,065;0,045;0,20;0,125;0,105;0,065;0,055;0,04;0,065;0,04;0,06;0,2071;0,7143;0,0786;1;6;3,20;0,239;0,0077;1,20;696,53;229,58
