IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
24 ;801A;73;0,0411;0,0137;0,00;0,1096;0,2466;0,3836;0,2055;0,5205;0,4795;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0274;0,00;0,0959;0,0548;0,0685;0,0822;0,2055;0,2055;0,2603;0,1111;0,7374;0,1515;7;43;24,90;5,636;0,00;10,10;16540,17;6689,66
24 ;801B;593;0,0961;0,0489;0,0675;0,2142;0,2901;0,2479;0,0354;0,5379;0,4621;0,00;0,00;0,00;0,0051;0,0017;0,0017;0,0101;0,0034;0,027;0,0422;0,054;0,0624;0,0759;0,1079;0,204;0,1771;0,2277;0,1229;0,7671;0,11;6;38;20,10;4,073;0,0002;8,90;11934,19;4974,40
24 ;801C;264;0,0985;0,0303;0,0455;0,2197;0,3068;0,2538;0,0455;0,4848;0,5152;0,00;0,00;0,0455;0,0038;0,0038;0,00;0,00;0,0038;0,0114;0,0265;0,0568;0,0455;0,0606;0,072;0,1591;0,1705;0,3409;0,0931;0,7928;0,1141;5;35;18,00;3,317;0,0001;7,90;9717,77;3634,49
24 ;801D;2292;0,1174;0,0637;0,1034;0,2339;0,2936;0,168;0,0201;0,5476;0,4524;0,00;0,00;0,00;0,0022;0,0017;0,00;0,0052;0,0017;0,0188;0,0166;0,0502;0,0458;0,0615;0,0729;0,2203;0,2007;0,3024;0,0546;0,8347;0,1107;4;31;16,40;2,739;0,0009;7,00;8026,23;3321,06
24 ;801E;968;0,2479;0,0971;0,1746;0,2862;0,1519;0,0413;0,001;0,5764;0,4236;0,00;0,00;0,00;0,0021;0,0031;0,0021;0,0062;0,0031;0,0362;0,031;0,061;0,061;0,0692;0,0919;0,2273;0,1767;0,2293;0,0892;0,8381;0,0727;3;23;11,80;1,847;0,0004;5,30;5411,30;1962,58
24 ;802A;750;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5547;0,4453;0,00;0,00;0,00;0,0027;0,0053;0,0027;0,0027;0,0053;0,0307;0,0307;0,0493;0,0613;0,06;0,0707;0,2387;0,1773;0,2627;0,1388;0,7599;0,1013;3;24;11,80;1,823;0,0003;5,80;5331,46;2230,00
24 ;802B;391;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3964;0,6036;0,00;0,00;0,00;0,0026;0,0051;0,0051;0,0102;0,0026;0,0205;0,0588;0,0844;0,0691;0,0818;0,1049;0,243;0,1688;0,1432;0,1272;0,7773;0,0954;2;19;8,00;1,439;0,0001;5,10;4247,59;1521,30
24 ;802C;850;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5388;0,4612;0,00;0,00;0,00;0,0094;0,0176;0,0129;0,02;0,0071;0,0624;0,0718;0,1035;0,0706;0,0882;0,1071;0,18;0,1047;0,1447;0,1385;0,7798;0,0817;1;16;6,60;1,043;0,0003;4,20;3045,86;1287,07
24 ;802D;221;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6018;0,3982;0,00;0,00;0,00;0,0136;0,009;0,009;0,0136;0,00;0,095;0,0724;0,1131;0,1041;0,095;0,1086;0,1991;0,0588;0,1086;0,3177;0,6105;0,0718;1;11;4,50;0,789;0,0001;2,90;2298,66;973,00
24 ;863Z;11;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5455;0,4545;0,00;0,00;0,8182;0,00;0,00;0,00;0,0909;0,00;0,00;0,0909;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2941;0,6471;0,0588;1;10;4,40;1,019;0,00;2,40;2964,67;2853,47
