IP_DRG;IP_CodeF;IP_Anzahl;IP_Prozent;IP_AnzahlN;IP_ProzentN
C03B;5-159.4;407;0,5152;408;0,1171
C03B;5-984;309;0,3911;309;0,0887
C03B;5-986.x;309;0,3911;309;0,0887
C03B;5-158.42;196;0,2481;196;0,0562
C03B;1-220.0;193;0,2443;230;0,066
C03B;5-144.5a;161;0,2038;162;0,0465
C03B;5-158.40;129;0,1633;130;0,0373
C03B;5-138.10;127;0,1608;127;0,0364
C03B;5-115;118;0,1494;118;0,0339
C03B;5-144.3a;113;0,143;113;0,0324
C03B;5-158.22;113;0,143;113;0,0324
C03B;5-154.4;112;0,1418;112;0,0321
C03B;5-154.2;96;0,1215;96;0,0275
C03B;5-154.0;95;0,1203;95;0,0273
C03B;5-155.3;93;0,1177;93;0,0267
C03B;5-155.1;83;0,1051;85;0,0244
C03B;5-158.41;74;0,0937;74;0,0212
C03B;5-155.0;60;0,0759;60;0,0172
C03B;5-155.4;59;0,0747;61;0,0175
C03B;5-139.0;55;0,0696;55;0,0158
C03B;5-158.21;54;0,0684;54;0,0155
C03B;5-158.20;46;0,0582;46;0,0132
C03B;5-158.43;42;0,0532;42;0,0121
C03B;5-158.10;39;0,0494;41;0,0118
C03B;5-139.10;36;0,0456;36;0,0103
C03B;5-142.1;31;0,0392;31;0,0089
C03B;5-158.12;30;0,038;30;0,0086
C03B;8-901;22;0,0278;22;0,0063
C03B;5-158.45;16;0,0203;16;0,0046
C03B;5-983;16;0,0203;16;0,0046
C03B;5-152.2;15;0,019;17;0,0049
C03B;5-156.9;14;0,0177;14;0,004
C03B;5-158.15;14;0,0177;14;0,004
C03B;5-133.0;13;0,0165;13;0,0037
C03B;5-158.11;11;0,0139;11;0,0032
C03B;5-146.xx;7;0,0089;7;0,002
C03B;5-139.x;6;0,0076;6;0,0017
C03B;5-145.2x;6;0,0076;6;0,0017
C03B;5-156.1;6;0,0076;6;0,0017
C03B;5-158.32;6;0,0076;6;0,0017
C03B;5-144.36;5;0,0063;5;0,0014
C03B;5-156.0;5;0,0063;5;0,0014
C03B;5-158.13;5;0,0063;5;0,0014
C03B;5-139.11;4;0,0051;4;0,0011
