IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
801A;N17.93;5;0,0617
801B;I50.01;22;0,0346
801B;N18.5;17;0,0268
801B;I50.14;16;0,0252
801B;N39.0;15;0,0236
801B;N17.93;12;0,0189
801B;I50.13;10;0,0157
801B;C49.4;9;0,0142
801B;N32.1;9;0,0142
801B;R55;9;0,0142
801B;C34.1;8;0,0126
801B;C50.9;8;0,0126
801B;D36.1;8;0,0126
801B;C20;7;0,011
801B;I48.0;7;0,011
801B;C64;6;0,0094
801B;C96.6;6;0,0094
801B;E86;6;0,0094
801B;C25.0;5;0,0079
801B;C34.8;5;0,0079
801B;C43.5;5;0,0079
801B;C61;5;0,0079
801B;D35.2;5;0,0079
801B;I26.9;5;0,0079
801B;J15.8;5;0,0079
801B;J18.1;5;0,0079
801B;J18.9;5;0,0079
801B;C15.5;4;0,0063
801B;C34.3;4;0,0063
801B;C56;4;0,0063
801B;E11.91;4;0,0063
801B;H34.1;4;0,0063
801B;J90;4;0,0063
801B;L72.0;4;0,0063
801B;M54.5;4;0,0063
801B;N17.92;4;0,0063
801C;D18.08;14;0,0511
801C;N39.0;10;0,0365
801C;I63.4;8;0,0292
801C;C61;7;0,0255
801C;I50.14;6;0,0219
801C;I10.01;5;0,0182
801C;I50.01;5;0,0182
801C;I50.13;5;0,0182
801C;M31.3;5;0,0182
801C;R55;5;0,0182
801C;C25.0;4;0,0146
801C;J18.9;4;0,0146
801C;K21.0;4;0,0146
801C;L89.35;4;0,0146
801C;N10;4;0,0146
801D;I50.14;41;0,0153
801D;N39.0;38;0,0142
801D;S22.44;38;0,0142
801D;I50.01;35;0,0131
801D;J18.1;33;0,0123
801D;J18.9;33;0,0123
801D;A46;32;0,012
801D;J44.19;32;0,012
801D;J18.0;31;0,0116
801D;E86;30;0,0112
801D;N17.93;30;0,0112
801D;I10.01;29;0,0108
801D;I86.8;27;0,0101
801D;S06.6;27;0,0101
801D;I26.9;26;0,0097
801D;I50.13;23;0,0086
801D;S27.0;23;0,0086
801D;K92.2;22;0,0082
801D;R55;21;0,0078
801D;K56.4;18;0,0067
801D;M60.05;18;0,0067
801D;A09.0;17;0,0064
801D;E11.74;17;0,0064
801D;E11.91;17;0,0064
801D;K29.1;17;0,0064
801D;C34.8;16;0,006
801D;J44.00;16;0,006
801D;J44.09;16;0,006
801D;J44.10;16;0,006
801D;S06.5;16;0,006
801D;C20;15;0,0056
801D;A04.70;14;0,0052
801D;C61;14;0,0052
801D;E11.61;14;0,0052
801D;I21.4;14;0,0052
801D;K25.0;14;0,0052
801D;K26.0;14;0,0052
801D;S06.0;14;0,0052
801D;A09.9;13;0,0049
801D;D17.7;13;0,0049
801D;J18.8;13;0,0049
801D;J44.01;13;0,0049
801D;K70.3;13;0,0049
801D;H34.1;12;0,0045
801D;I26.0;12;0,0045
801D;K52.9;12;0,0045
801D;M54.4;12;0,0045
801D;N17.91;12;0,0045
