ID_MDC;ID_Partition;ID_DRG;ID_Text;ID_BA_Kalkuliert
24 ;O;801A;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter komplizierender Konstellation oder Strahlentherapie oder endovaskulärer Implantation von Stent-Prothesen an der Aorta oder intensivmediz. Komplexbehandlung > 392 / 368 / - Aufwandspunkte;0
24 ;O;801B;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit hochkomplexer OR-Prozedur oder mit komplizierender Konstellation;0
24 ;O;801C;Ausgedehnte OR-Proz. oh. Bezug zur Hauptdiag. mit komplexer OR-Proz. od. and. Eingriff an Kopf u. Wirbelsäule od. mit neurolog. Komplexbeh. des akuten Schlaganfalls od. Alter < 1 J. od. bei Para- / Tetraplegie od. Alter < 18 J. u. schw. od. äuß. schw. CC;0
24 ;O;801D;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter OR-Prozedur oder mit intensivmediz. Komplexbeh. > 196 / 184 / 368 Aufwandspunkte oder bestimmte nicht ausgedehnte OR-Prozedur mit neurolog. Komplexbehandlung des akuten Schlaganfalls;0
24 ;O;801E;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne hochkomplexe, komplexe oder bestimmte OR-Prozedur;0
24 ;O;802A;Bestimmte nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose oder andere nicht ausgedehnte OR-Prozedur mit intensivmedizinischer Komplexbehandlung > 196 / 184 / 368 Aufwandspunkte;0
24 ;O;802B;Andere nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit mäßig komplexer OR-Prozedur;0
24 ;O;802C;Andere nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne mäßig komplexe OR-Prozedur;0
24 ;O;802D;Wenig komplexe nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose;0
24 ;M;863Z;Neonatale Diagnose ohne Bezug zu Alter oder Gewicht;0
-1 ;M;960Z;Nicht gruppierbar;0
-1 ;M;961Z;Unzulässige Hauptdiagnose;0
-1 ;M;962Z;Unzulässige Kodierung einer Sectio caesarea;0
00 ;O;A01A;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation;0
00 ;O;A01B;Lebertransplantation ohne kombinierte Dünndarmtransplantation mit Beatmung > 59 und < 180 Stunden oder mit Transplantatabstoßung oder mit kombinierter Nierentransplantation oder mit kombinierter Pankreastransplantation oder Alter < 6 Jahre;0
00 ;O;A01C;Lebertransplantation ohne kombinierte Dünndarmtransplantation, ohne Beatmung > 59 Stunden, ohne Transplantatabstoßung, ohne kombinierte Nierentransplantation, ohne kombinierte Pankreastransplantation, Alter > 5 Jahre;0
00 ;O;A02Z;Transplantation von Niere und Pankreas;0
00 ;O;A03A;Lungentransplantation mit Beatmung > 179 Stunden;0
00 ;O;A03B;Lungentransplantation ohne Beatmung > 179 Stunden;0
00 ;O;A04B;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom oder mit Graft-versus-Host-Krankheit Grad III und IV, mit Gabe bestimmter Stammzellen oder Alter < 16 Jahre, mit bestimmter Entnahme oder Stammzellboost;0
00 ;O;A04C;Knochenmarktransplantation / Stammzelltransfusion, allogen, < 16 J. od. GVHD Grad III/IV od. auß. b. Plasmozytom, mit Gabe best. Stammz. od. GVHD III/IV od. HLA-versch., mit best. Entn. od. SZ-Boost od. m. intensivm. Komplexbeh. > 1764 / 1932 / 2760 P.;0
00 ;O;A04D;Knochenmarktransplantation / Stammzelltransfusion, allogen, mit Graft-versus-Host-Krankheit Grad III und IV oder außer bei Plasmozytom, HLA-verschieden oder mit Komplexbehandlung bei multiresistenten Erregern;0
00 ;O;A04E;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom;0
00 ;O;A05A;Herztransplantation mit Beatmung > 179 Stunden oder intensivmedizinischer Komplexbehandlung > 2646 / 2484 / - Aufwandspunkte;0
00 ;O;A05B;Herztransplantation ohne Beatmung > 179 Stunden, ohne intensivmedizinische Komplexbehandlung > 2646 / 2484 / - Aufwandspunkte;0
00 ;O;A06A;Beatmung > 1799 Stunden mit intensivmedizinischer Komplexbehandlung > 2940 / 5520 / 5520 Aufwandspunkte oder mit hochkomplexem Eingriff;0
00 ;O;A06B;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 2940 / 5520 / 5520 Aufwandspunkte;0
00 ;O;A06C;Beatmung > 1799 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, mit intensivmedizinischer Komplexbehandlung > 588 / 552 / 552 Aufwandspunkte;0
00 ;O;A07A;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma und int. Komplexbeh. > 3920 / 3680 / 3680 P. oder mit hochkompl. oder dreizeitigem Eingr.;0
00 ;O;A07B;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinische Komplexbehandlung > 4900 / 4600 / 4600 Punkte, mit komplexer OR-Prozedur und ECMO ab 384 Stunden oder mit Polytrauma oder Alter < 16 J. oder intensivmed. Komplexbeh. > - / 3220 / - Punkte;0
00 ;O;A07C;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmed. Komplexbeh. > 4900 / 4600 / 4600 Punkte, mit komplexer OR-Prozedur, ohne ECMO ab 384 Stunden, ohne Polytrauma, Alter > 15 Jahre oder mit intensivmed. Komplexbeh. > 2352 / 1932 / 2484 Punkte;0
00 ;O;A07D;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, mit intensivmedizinischer Komplexbehandlung > 1176 / 1380 / - und < 2353 / 1933 / 2485 Aufwandspunkte, mit komplexer Diagnose oder komplizierender Konstellation;0
00 ;O;A07E;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplexe Diagnose, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 392 / 184 / 368 Aufwandspunkte oder Beatmung > 1799 Stunden;0
00 ;O;A07F;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplexe Diagnose, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 392 / 184 / 368 Aufwandspunkte, ohne Beatmung > 1799 Stunden;0
00 ;O;A09A;Beatmung > 499 Stunden oder > 249 Stunden mit IntK > 2352 / 1932 / 2208 P., mit hochkomplexem Eingriff oder komplexer OR-Prozedur und Alter < 16 Jahre, mit IntK > 1764 / 1932 / - Punkten oder mit sehr komplexem Eingriff und IntK > - / 2208 / - Punkten;0
00 ;O;A09B;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352 / 1932 / 2208 P., mit angeb. Fehlbild. od. Tumorerkr., Alter < 3 J. oder mit hochkompl. Eingr. oder mit kompl. OR-Proz. oder int. Komplexbeh. > 1764 / 1932 / - P. und Alter < 16 Jahre;0
00 ;O;A09C;Beatmung > 499 Stunden oder > 249 Stunden mit intensivmedizinischer Komplexbeh. > 2352 / 1932 / 2208 P., mit komplexer OR-Prozedur oder Polytrauma oder int. Komplexbeh. > 1764 / 1656 / 2208 P. oder mit komplizierender Konstellation oder Alter < 16 Jahre;0
00 ;O;A09D;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1470 / 1380 / 1656 und < 1765 / 1657 / 2209 Aufwandspunkte;0
00 ;O;A09E;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1176 / 1104 / 1380 u. < 1471 / 1381 / 1657 Punkte, mit komplexer Diagnose oder Prozedur;0
00 ;O;A09F;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 / 1380 Aufwandspunkte, ohne komplexe Diagnose oder Prozedur;0
00 ;O;A11A;Beatmung > 249 Stunden oder > 95 Stunden mit intensivmedizinischer Komplexbehandlung > 1764 / 1656 / 1932 Aufwandspunkte, mit kompliz. Konstellation und best. OR-Prozedur, Alter < 16 Jahre oder mit intensivmed. Komplexbeh. > 1764 / 1656 / 2208 Aufwandsp.;0
