IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt6c;IO_KArt7;IO_KArt8;IO_Summe
801A;1;916,53;1802,87;56,93;194,65;122,07;0,00;160,51;5,45;24,65;509,88;1247,63;5041,17
801A;2;1395,01;2744,50;27,64;282,81;154,71;0,00;499,93;13,36;6,15;479,62;1244,09;6847,82
801A;4;329,59;0,00;240,53;10,65;14,03;325,30;145,82;166,35;17,15;132,52;191,59;1573,53
801A;5;227,29;0,00;155,33;13,80;5,70;0,00;47,73;2,11;0,01;38,48;67,93;558,38
801A;6;1,74;0,00;0,75;0,02;0,00;0,00;0,55;0,00;0,00;0,36;2,08;5,50
801A;7;64,89;0,00;65,60;4,11;2,51;50,46;31,74;100,44;1,33;30,00;51,90;402,98
801A;8;69,65;0,00;73,31;1,78;0,23;0,00;30,03;51,22;0,00;30,41;56,82;313,45
801A;9;206,24;0,00;198,37;5,18;0,78;27,08;40,76;127,35;60,56;92,21;140,68;899,21
801A;10;78,61;0,00;294,79;8,64;398,95;0,00;252,84;1,15;173,38;53,25;133,97;1395,58
801A;11;78,71;0,35;61,55;1,86;0,00;0,00;13,04;1,55;4,84;15,84;34,72;212,46
801A;12;21,01;4,10;218,22;0,37;0,00;0,00;4,38;0,00;37,44;11,58;58,46;355,56
801A;13;49,35;13,13;36,53;2,16;5,69;0,00;6,32;0,00;0,00;9,84;29,62;152,64
801B;1;995,22;1755,98;74,30;144,18;31,53;0,00;142,23;12,25;13,23;495,56;1365,08;5029,56
801B;2;446,26;851,55;10,93;79,45;28,43;0,00;133,70;4,79;3,17;156,29;398,27;2112,84
801B;4;602,13;0,00;437,41;15,82;10,87;139,36;227,11;278,59;8,75;239,21;304,58;2263,83
801B;5;393,99;0,00;261,15;21,18;1,67;0,00;77,12;2,60;1,91;57,02;112,04;928,68
801B;7;13,58;0,00;20,96;1,24;0,20;20,92;12,16;26,42;34,82;6,97;11,54;148,81
801B;8;58,14;0,00;61,91;2,00;0,09;2,30;24,32;13,31;0,00;26,17;37,23;225,47
801B;9;139,04;0,00;131,89;2,68;0,57;18,97;25,37;53,33;54,24;57,83;86,72;570,64
801B;10;46,36;0,00;145,25;6,48;113,99;0,00;104,74;2,66;149,66;28,80;67,84;665,78
801B;11;73,23;0,34;51,53;1,13;0,00;0,00;7,42;0,43;2,66;10,62;29,31;176,67
801B;12;18,72;7,87;154,49;0,53;1,43;0,00;4,90;0,05;23,02;6,71;52,87;270,59
801B;13;43,59;11,77;36,22;1,46;0,00;0,00;5,32;0,06;0,00;7,45;25,61;131,48
801C;1;947,95;1759,05;88,50;132,30;31,93;0,00;142,82;10,40;16,03;463,95;1277,79;4870,72
801C;2;336,11;587,70;37,44;53,61;18,99;0,00;82,31;0,75;1,68;102,63;285,82;1507,04
801C;4;351,47;0,00;271,21;11,56;11,23;467,89;165,60;169,67;2,29;168,06;214,48;1833,46
801C;5;286,56;0,00;189,72;16,87;4,50;0,00;54,65;1,94;0,96;38,57;88,76;682,53
801C;7;17,31;0,00;15,03;1,17;0,03;56,60;10,51;56,68;22,73;11,08;11,76;202,90
801C;8;26,77;0,00;29,35;1,05;0,11;0,12;10,65;5,45;3,53;11,22;19,28;107,53
