IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt6c;IO_KArt7;IO_KArt8;IO_Summe
C03B;1;0,00;0,00;0,37;23,38;0,14;0,00;23,47;0,00;1,49;101,83;263,85;414,53
C03B;2;0,35;0,00;0,06;0,06;0,00;0,00;0,11;0,00;0,00;0,08;0,27;0,93
C03B;4;0,00;0,00;127,05;11,24;34,76;26,65;110,40;329,65;19,90;97,56;101,90;859,11
C03B;5;135,69;0,00;77,96;4,40;0,02;0,00;14,97;0,00;0,00;14,63;28,67;276,34
C03B;8;0,10;0,00;0,02;0,00;0,00;0,00;0,03;0,00;0,00;0,03;0,03;0,21
C03B;9;0,34;0,00;0,28;0,00;0,00;0,00;0,01;0,17;0,00;0,07;0,18;1,05
C03B;10;0,04;0,00;2,97;0,21;0,00;0,00;2,52;0,00;0,40;0,41;1,97;8,52
C03B;11;4,82;0,00;2,77;0,04;0,00;0,00;1,02;0,30;0,00;0,40;2,07;11,42
C03B;12;0,22;0,15;0,10;0,03;0,00;0,00;0,05;0,00;0,00;0,02;0,09;0,66
C03B;13;1,86;0,01;1,60;0,08;0,00;0,00;0,22;0,00;0,00;0,26;1,01;5,04
C03C;1;0,00;0,00;0,59;23,00;0,89;0,00;26,03;0,00;4,22;98,67;256,25;409,65
C03C;4;0,00;0,00;79,30;7,57;6,23;5,06;77,16;174,71;95,80;51,99;73,45;571,27
C03C;5;103,96;0,00;59,24;4,04;0,01;0,00;14,64;0,00;0,00;12,12;24,22;218,23
C03C;9;0,25;0,00;0,20;0,00;0,00;0,00;0,01;0,21;0,41;0,05;0,13;1,26
C03C;10;0,13;0,00;1,80;0,10;0,00;0,00;1,36;0,00;0,42;0,24;1,16;5,21
C03C;11;3,48;0,00;1,89;0,03;0,00;0,00;0,76;0,15;0,00;0,26;1,44;8,01
C03C;12;0,00;0,00;0,28;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,05;0,34
C03C;13;0,85;0,00;0,90;0,03;0,00;0,00;0,17;0,00;0,00;0,12;0,64;2,71
C04B;1;0,00;0,00;0,70;34,93;0,00;0,00;38,62;0,00;0,00;123,77;487,63;685,65
C04B;4;0,00;0,00;123,77;6,61;8,09;1917,83;110,90;145,42;0,00;57,04;104,59;2474,25
C04B;5;104,20;0,00;67,31;4,54;0,00;0,00;19,86;0,00;0,00;7,41;23,91;227,23
C04B;8;0,46;0,00;0,12;0,01;0,00;0,00;0,13;0,00;0,00;0,12;0,16;1,00
C04B;10;0,07;0,00;2,40;0,14;0,00;0,00;1,91;0,00;0,40;0,31;1,54;6,77
C04B;11;7,46;0,00;1,69;0,20;0,00;0,00;1,04;0,00;0,00;0,25;1,84;12,48
C04B;12;0,03;0,17;2,17;0,02;0,00;0,00;0,06;0,00;0,00;0,07;0,64;3,16
C04B;13;0,21;0,00;0,32;0,01;0,00;0,00;0,04;0,00;0,00;0,03;0,14;0,75
C06Z;1;0,00;0,00;0,46;39,57;0,00;0,00;46,95;0,00;0,08;129,57;355,83;572,46
C06Z;4;0,00;0,00;96,07;10,05;11,30;80,02;77,26;137,67;1,99;57,91;86,98;559,25
C06Z;5;75,29;0,00;24,50;3,18;0,00;0,00;12,74;0,00;0,00;13,19;23,64;152,54
C06Z;9;0,13;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,07;0,33
C06Z;10;0,07;0,00;1,98;0,13;0,00;0,00;1,60;0,00;1,03;0,26;1,31;6,38
C06Z;11;3,66;0,00;1,61;0,05;0,00;0,00;0,85;0,00;0,00;0,22;1,31;7,70
C06Z;12;0,00;0,05;0,05;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,02;0,13
C06Z;13;0,74;0,01;0,37;0,02;0,00;0,00;0,20;0,00;0,00;0,10;0,87;2,31
C07B;1;0,00;0,00;0,56;27,71;0,00;0,00;35,58;0,00;2,35;92,53;224,74;383,47
C07B;4;0,00;0,00;52,55;6,52;1,39;1,25;43,12;15,32;5,35;26,15;60,14;211,79
C07B;5;43,21;0,00;16,62;1,97;0,00;0,00;7,54;0,00;0,00;7,25;13,19;89,78
C07B;10;0,08;0,00;1,03;0,06;0,00;0,00;0,77;0,00;0,29;0,13;0,59;2,95
C07B;11;2,48;0,00;1,22;0,03;0,00;0,00;0,42;0,00;0,00;0,24;0,97;5,36
C07B;12;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,15
C07B;13;1,86;0,00;1,60;0,07;0,00;0,00;0,28;0,00;0,00;0,25;1,20;5,26
C08B;1;0,00;0,00;0,93;17,24;0,41;0,00;20,85;0,00;0,00;96,70;232,32;368,45
C08B;4;0,00;0,00;39,01;4,51;2,61;91,38;45,07;20,89;107,65;30,50;50,07;391,69
C08B;5;46,13;0,00;38,56;2,97;0,01;0,00;10,07;0,00;0,00;4,62;11,14;113,50
C08B;8;0,06;0,00;0,07;0,00;0,00;0,00;0,03;0,00;0,00;0,04;0,04;0,24
C08B;9;0,25;0,00;0,19;0,00;0,00;0,00;0,02;0,08;0,00;0,08;0,15;0,77
C08B;10;0,14;0,00;1,16;0,04;0,00;0,00;0,62;0,00;0,77;0,12;0,54;3,39
C08B;11;1,38;0,00;0,75;0,01;0,00;0,00;0,26;0,00;0,00;0,13;0,55;3,08
C08B;12;0,00;0,05;0,33;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,05;0,45
C08B;13;0,63;0,00;0,21;0,01;0,00;0,00;0,23;0,00;0,00;0,08;0,96;2,12
C20B;1;0,00;0,00;0,82;26,62;0,22;0,00;33,17;0,00;0,00;129,98;240,32;431,13
C20B;4;0,00;0,00;53,97;7,87;4,85;30,00;79,31;31,17;44,90;34,33;60,81;347,21
C20B;5;83,01;0,00;49,99;3,91;0,00;0,00;12,75;0,00;0,00;9,26;16,82;175,74
C20B;10;0,31;0,00;1,70;0,05;0,00;0,00;0,88;0,00;1,95;0,26;1,11;6,26
C20B;11;10,35;0,00;1,85;0,29;0,00;0,00;0,29;0,00;0,00;0,35;2,29;15,42
C20B;12;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,09
C20B;13;1,72;0,00;1,82;0,07;0,00;0,00;0,22;0,00;0,00;0,23;0,90;4,96
D05B;1;0,00;0,00;1,67;16,30;0,00;0,00;25,60;0,00;0,00;116,71;311,46;471,74
D05B;2;0,33;0,00;0,00;0,02;0,00;0,00;0,07;0,00;0,00;0,09;0,44;0,95
D05B;4;0,00;0,00;267,56;9,09;0,16;0,00;103,88;57,78;0,00;143,33;171,05;752,85
D05B;5;214,58;0,00;170,00;13,49;0,00;0,00;52,65;0,00;0,00;27,05;71,87;549,64
D05B;9;0,21;0,00;0,53;0,00;0,00;0,00;0,07;0,00;0,00;0,20;0,28;1,29
D05B;10;2,69;0,00;5,60;0,20;0,00;0,00;1,84;0,00;3,20;1,81;7,28;22,62
D05B;11;0,50;0,00;0,29;0,01;0,00;0,00;0,11;0,00;0,00;0,08;0,22;1,21
D05B;12;7,92;0,00;3,48;0,07;0,00;0,00;0,05;0,00;0,00;0,61;3,59;15,72
D05B;13;2,85;0,59;1,16;0,03;0,00;0,00;0,52;0,00;0,00;0,52;3,21;8,88
D06B;1;0,00;0,00;2,35;20,22;0,00;0,00;28,42;0,00;0,00;136,95;288,27;476,21
D06B;4;0,00;0,00;179,40;6,42;3,04;57,48;93,74;18,65;0,00;90,40;120,53;569,66
D06B;5;196,91;0,00;140,81;8,77;0,00;0,00;32,09;0,00;0,00;18,26;42,03;438,87
D06B;9;0,92;0,00;1,14;0,05;0,00;0,00;0,23;0,00;0,00;0,51;0,59;3,44
D06B;10;1,78;0,00;4,42;0,12;0,00;0,00;2,10;0,00;1,54;1,01;3,93;14,90
D06B;11;2,05;0,00;1,44;0,00;0,00;0,00;0,10;0,00;0,00;0,41;0,55;4,55
D06B;12;1,79;0,00;1,18;0,02;0,00;0,00;0,02;0,00;0,00;0,17;1,15;4,33
D06B;13;2,40;0,55;1,60;0,07;0,00;0,00;0,26;0,00;0,00;0,24;1,33;6,45
D06C;1;0,00;0,00;3,26;14,57;0,33;0,00;20,63;0,00;0,00;90,60;273,02;402,41
D06C;2;1,49;0,00;0,13;0,28;0,00;0,00;0,49;0,00;0,00;0,71;1,58;4,68
D06C;4;0,00;0,00;185,11;5,92;2,23;8,35;76,78;27,46;0,00;107,69;125,17;538,71
D06C;5;134,28;0,00;117,32;9,05;0,15;0,00;29,57;1,00;1,13;18,10;43,61;354,21
D06C;7;0,01;0,00;0,03;0,00;0,00;0,00;0,01;0,03;0,00;0,02;0,02;0,12
D06C;9;0,12;0,00;0,14;0,00;0,00;0,00;0,03;0,00;0,16;0,05;0,09;0,59
D06C;10;1,25;0,00;2,88;0,15;0,00;0,00;2,00;0,00;2,41;0,78;2,91;12,38
D06C;11;0,33;0,00;0,29;0,00;0,00;0,00;0,03;0,00;0,00;0,07;0,18;0,90
