IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
02 ;C03A;166;0,8614;0,1265;0,012;0;0;0,4759;0,5241;0;0;0;0;0;0;0;0;0,006;0;0,0542;0,0422;0,0723;0,1687;0,4337;0,1566;0,0663;0,1429;0,765;0,0922;1;6;3,2;0,788;0,0064;1;2211,98;327,15
02 ;C03B;161;0,8447;0,0994;0,0373;0,0186;0;0,5839;0,4161;0;0;0;0;0;0;0;0;0;0;0,0311;0,0062;0,0497;0,1553;0,3851;0,2547;0,118;0,1683;0,774;0,0577;1;6;3,1;0,703;0,0062;1;1975,61;570,33
02 ;C03C;439;0,8337;0,1071;0,0456;0,0137;0;0,4897;0,5103;0;0;0;0;0;0;0;0;0,0023;0,0091;0,0342;0,041;0,082;0,0934;0,3918;0,1868;0,1595;0,1812;0,7366;0,0822;1;6;3;0,64;0,0169;1,1;1797,02;267,06
02 ;C03D;491;0,8676;0,1039;0,0204;0,0061;0,002;0,5112;0,4888;0;0;0;0;0;0;0;0;0,0041;0,0061;0,0367;0,0387;0,0407;0,0794;0,4053;0,1955;0,1935;0,1891;0,7612;0,0496;1;6;2,8;0,514;0,0189;0,9;1444,16;347,03
02 ;C04B;105;0,8667;0,0857;0,0095;0,0381;0;0,4;0,6;0;0;0;0;0;0;0;0;0,0476;0,0952;0,0952;0,0286;0,1048;0,019;0,2;0,219;0,1905;0,018;0,9459;0,036;1;9;4,9;1,372;0,004;1,3;3851,62;479,21
02 ;C06Z;391;0,9386;0,0384;0,0128;0,0102;0;0,422;0,578;0;0;0;0;0;0;0;0;0,0077;0,0153;0,0435;0,0486;0,0767;0,1151;0,3913;0,1893;0,1125;0,0318;0,8886;0,0795;1;8;4,1;0,545;0,015;1,5;1530,51;290,56
02 ;C07A;87;0,8621;0,069;0,0345;0,0345;0;0,4138;0,5862;0;0;0;0;0;0;0;0;0;0;0,0115;0,0115;0,023;0,0575;0,2529;0,2414;0,4023;0,3101;0,6744;0,0155;1;5;2,4;0,45;0,0033;0,6;1264,8;206,06
02 ;C07B;120;0,925;0,0583;0,0083;0,0083;0;0,4417;0,5583;0;0;0;0;0;0;0,0083;0;0,0083;0,0333;0,0333;0,025;0,0417;0,0667;0,2417;0,1667;0,375;0,2024;0,7143;0,0833;1;6;2,6;0,296;0,0046;1,2;831,06;138,86
02 ;C08B;690;0,8623;0,0594;0,0464;0,0319;0;0,3928;0,6072;0;0;0;0;0;0;0;0;0,0029;0,0014;0,0087;0,0174;0,029;0,0623;0,2841;0,2493;0,3449;0,7415;0,2478;0,0108;1;4;2,3;0,387;0,0265;0,5;1086,19;202,1
02 ;C15Z;75;0,8133;0,16;0;0,0267;0;0,3467;0,6533;0;0;0;0;0;0;0;0;0,04;0,0133;0,0267;0,0133;0,08;0,04;0,32;0,1467;0,32;0,4191;0,5515;0,0294;1;5;2,3;0,507;0,0029;0,6;1424,67;374,86
02 ;C20B;143;0,8811;0,0559;0,042;0,007;0,014;0,4615;0,5385;0;0;0;0;0;0;0;0;0,021;0,028;0,049;0,0769;0,0699;0,0769;0,2657;0,1678;0,2448;0,3563;0,5789;0,0648;1;6;2,6;0,43;0,0055;1;1207,22;396,98
03 ;D06B;144;0,9028;0,0486;0,0278;0,0208;0;0,4861;0,5139;0;0;0;0;0;0,0833;0,2708;0,0069;0,0972;0,0764;0,1458;0,0556;0,0417;0,0556;0,1042;0,0486;0,0139;0,1795;0,7385;0,0821;1;7;3,4;0,558;0,0055;1,4;1566,24;401,12
03 ;D06C;1726;0,9594;0,0261;0,0081;0,0058;0,0006;0,5707;0,4293;0;0;0;0;0;0;0;0,0191;0,2005;0,1999;0,2265;0,1066;0,0788;0,0545;0,08;0,0261;0,0081;0,1552;0,736;0,1087;1;6;3,2;0,517;0,0663;1,1;1451,16;282,22
03 ;D12B;312;0,9487;0,0224;0,0032;0,0224;0,0032;0,5897;0,4103;0;0;0;0;0,0032;0,0096;0,0321;0,0353;0,2244;0,2179;0,1923;0,0833;0,0737;0,0449;0,0449;0,0128;0,0256;0,3007;0,6797;0,0196;1;8;3,9;0,506;0,012;1,7;1420,93;318,57
