IC_Code;IC_Text;IC_CodeF;IC_ANZHDI;IC_ANZNDI;IC_AnzProzI
12088;Registrierung evozierter Potentiale: Otoakustische Emissionen;1-208.8;0;0;1
12200;Messung des Augeninnendrucks: Tages- und Nachtdruckmessung über 24 Stunden;1-220.0;0;0;1
1242;Audiometrie;1-242;0;0;1
12660;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Schrittmacher;1-266.0;0;0;1
13341;Urodynamische Untersuchung: Blasendruckmessung;1-334.1;0;0;1
14601;Transurethrale Biopsie an Harnorganen und Prostata: Ureter;1-460.1;0;0;1
14602;Transurethrale Biopsie an Harnorganen und Prostata: Harnblase;1-460.2;0;0;1
146400;Transrektale Biopsie an männlichen Geschlechtsorganen: Stanzbiopsie der Prostata: Weniger als 20 Zylinder;1-464.00;0;0;1
146401;Transrektale Biopsie an männlichen Geschlechtsorganen: Stanzbiopsie der Prostata: 20 und mehr Zylinder;1-464.01;0;0;1
14712;Biopsie ohne Inzision am Endometrium: Diagnostische fraktionierte Kürettage;1-471.2;0;0;1
15038;Biopsie an Knochen durch Inzision: Tarsale, Metatarsale und Phalangen Fuß;1-503.8;0;0;1
16100;Diagnostische Laryngoskopie: Direkt;1-610.0;0;0;1
16102;Diagnostische Laryngoskopie: Mikrolaryngoskopie;1-610.2;0;0;1
16110;Diagnostische Pharyngoskopie: Direkt;1-611.0;0;0;1
1611x;Diagnostische Pharyngoskopie: Sonstige;1-611.x;0;0;1
1612;Diagnostische Rhinoskopie;1-612;0;0;1
16301;Diagnostische Ösophagoskopie: Mit starrem Instrument;1-630.1;0;0;1
1661;Diagnostische Urethrozystoskopie;1-661;0;0;1
1665;Diagnostische Ureterorenoskopie;1-665;0;0;1
1672;Diagnostische Hysteroskopie;1-672;0;0;1
1673;Diagnostische Hysterosalpingoskopie;1-673;0;0;1
1694;Diagnostische Laparoskopie (Peritoneoskopie);1-694;0;0;1
16971;Diagnostische Arthroskopie: Schultergelenk;1-697.1;0;0;1
16977;Diagnostische Arthroskopie: Kniegelenk;1-697.7;0;0;1
16990;Andere diagnostische Endoskopie durch Punktion, Inzision und intraoperativ: Endoskopie der Nasennebenhöhlen;1-699.0;0;0;1
19920;Durchführung von Genmutationsanalysen und Genexpressionsanalysen bei soliden bösartigen Neubildungen: Analyse von 1 bis 2 genetischen Alterationen;1-992.0;0;0;1
3034;Komplexe differenzialdiagnostische Sonographie mittels Tissue Doppler Imaging [TDI] und Verformungsanalysen von Gewebe [Speckle Tracking];3-034;0;0;1
305c0;Endosonographie der männlichen Geschlechtsorgane: Transrektal;3-05c.0;0;0;1
305d;Endosonographie der weiblichen Geschlechtsorgane;3-05d;0;0;1
3130;Myelographie;3-130;0;0;1
313d0;Urographie: Intravenös;3-13d.0;0;0;1
313d5;Urographie: Retrograd;3-13d.5;0;0;1
313f;Zystographie;3-13f;0;0;1
313g;Urethrographie;3-13g;0;0;1
