IH_DRG;IH_Code;IH_Prozent;IH_CodeF;IH_Anzahl
901A;N185;0,0562;N18.5;5
901A;N179;0,0449;N17.9;4
901B;N179;0,0409;N17.9;26
901B;I5001;0,0314;I50.01;20
901B;N185;0,0236;N18.5;15
901B;I5014;0,0204;I50.14;13
901B;N321;0,0189;N32.1;12
901B;C56;0,0157;C56;10
901B;J180;0,0142;J18.0;9
901B;C509;0,0126;C50.9;8
901B;C64;0,0126;C64;8
901B;D361;0,0126;D36.1;8
901B;J189;0,0126;J18.9;8
901B;M313;0,0126;M31.3;8
901B;C678;0,011;C67.8;7
901B;C966;0,011;C96.6;7
901B;I1001;0,011;I10.01;7
901B;I214;0,011;I21.4;7
901B;R55;0,011;R55;7
901B;I5013;0,0094;I50.13;6
901B;L8934;0,0094;L89.34;6
901B;C155;0,0079;C15.5;5
901B;C679;0,0079;C67.9;5
901B;D214;0,0079;D21.4;5
901B;D352;0,0079;D35.2;5
901B;D868;0,0079;D86.8;5
901B;N178;0,0079;N17.8;5
901B;C341;0,0063;C34.1;4
901B;C348;0,0063;C34.8;4
901B;C493;0,0063;C49.3;4
901B;C494;0,0063;C49.4;4
901B;C495;0,0063;C49.5;4
901B;D1808;0,0063;D18.08;4
901B;I269;0,0063;I26.9;4
901B;J181;0,0063;J18.1;4
901B;J690;0,0063;J69.0;4
901B;M6005;0,0063;M60.05;4
901B;N300;0,0063;N30.0;4
901B;N390;0,0063;N39.0;4
901B;T827;0,0063;T82.7;4
901C;D1808;0,0358;D18.08;10
901C;I5001;0,0358;I50.01;10
901C;I5014;0,0251;I50.14;7
901C;C250;0,0215;C25.0;6
901C;C61;0,0143;C61;4
901C;C795;0,0143;C79.5;4
901C;I5013;0,0143;I50.13;4
901C;N390;0,0143;N39.0;4
901C;R55;0,0143;R55;4
901D;N179;0,0139;N17.9;63
901D;A46;0,0126;A46;57
901D;R55;0,0121;R55;55
901D;S2244;0,0121;S22.44;55
901D;S066;0,0117;S06.6;53
901D;J180;0,0106;J18.0;48
901D;N390;0,0104;N39.0;47
901D;I5001;0,0099;I50.01;45
901D;I5014;0,0097;I50.14;44
901D;E86;0,0093;E86;42
901D;J181;0,0088;J18.1;40
901D;K703;0,0088;K70.3;40
901D;I269;0,0086;I26.9;39
901D;S060;0,0086;S06.0;39
901D;M6005;0,0084;M60.05;38
901D;J189;0,0079;J18.9;36
901D;C341;0,0075;C34.1;34
901D;J209;0,0075;J20.9;34
901D;J4409;0,0075;J44.09;34
901D;C56;0,0073;C56;33
901D;I5013;0,0068;I50.13;31
901D;E1191;0,0066;E11.91;30
901D;L022;0,0066;L02.2;30
901D;I1001;0,006;I10.01;27
901D;I480;0,006;I48.0;27
901D;K922;0,006;K92.2;27
901D;S270;0,006;S27.0;27
901D;J188;0,0057;J18.8;26
901D;J4419;0,0057;J44.19;26
901D;D361;0,0055;D36.1;25
901D;E871;0,0055;E87.1;25
901D;S065;0,0055;S06.5;25
901D;S2243;0,0055;S22.43;25
901D;C348;0,0053;C34.8;24
901D;C509;0,0053;C50.9;24
901D;I260;0,0053;I26.0;24
901D;L0301;0,0053;L03.01;24
901D;C20;0,0051;C20;23
901D;C61;0,0051;C61;23
901D;I634;0,0051;I63.4;23
901D;L0311;0,0051;L03.11;23
901D;C340;0,0046;C34.0;21
901D;G402;0,0046;G40.2;21
901D;I214;0,0046;I21.4;21
901D;A047;0,0042;A04.7;19
901D;F640;0,0042;F64.0;19
901D;T810;0,0042;T81.0;19
901D;E1161;0,004;E11.61;18
901D;J4410;0,004;J44.10;18
901D;L024;0,004;L02.4;18
901D;N185;0,004;N18.5;18
901D;A099;0,0038;A09.9;17
901D;C343;0,0038;C34.3;17
901D;E1173;0,0038;E11.73;17
901D;K5731;0,0038;K57.31;17
901D;S800;0,0038;S80.0;17
901D;A090;0,0035;A09.0;16
901D;K290;0,0035;K29.0;16
901D;K564;0,0035;K56.4;16
901D;N10;0,0035;N10;16
901D;R42;0,0035;R42;16
901D;S272;0,0035;S27.2;16
901D;C349;0,0033;C34.9;15
901D;E1174;0,0033;E11.74;15
901D;J4400;0,0033;J44.00;15
901D;K250;0,0033;K25.0;15
901D;K260;0,0033;K26.0;15
901D;N178;0,0033;N17.8;15
901D;S021;0,0033;S02.1;15
901D;G406;0,0031;G40.6;14
901D;I633;0,0031;I63.3;14
901D;J22;0,0031;J22;14
901D;J4412;0,0031;J44.12;14
901D;K746;0,0031;K74.6;14
901D;M544;0,0031;M54.4;14
901D;N321;0,0031;N32.1;14
901D;I200;0,0029;I20.0;13
901D;N4980;0,0029;N49.80;13
901D;H050;0,0026;H05.0;12
901D;I868;0,0026;I86.8;12
901D;J159;0,0026;J15.9;12
901D;J208;0,0026;J20.8;12
901D;J4411;0,0026;J44.11;12
901D;K529;0,0026;K52.9;12
901D;L984;0,0026;L98.4;12
901D;C494;0,0024;C49.4;11
901D;C64;0,0024;C64;11
901D;E1175;0,0024;E11.75;11
901D;I635;0,0024;I63.5;11
901D;J690;0,0024;J69.0;11
901D;J90;0,0024;J90;11
901D;R042;0,0024;R04.2;11
901D;E65;0,0022;E65;10
901D;F4541;0,0022;F45.41;10
901D;K222;0,0022;K22.2;10
901D;K567;0,0022;K56.7;10
901D;L97;0,0022;L97;10
901D;N184;0,0022;N18.4;10
