IC_Code;IC_Text;IC_CodeF;IC_ANZHDI;IC_ANZNDI;IC_AnzProzI
1100;Klinische Untersuchung in Allgemeinanästhesie;1-100;0;0;1
120200;Diagnostik zur Feststellung des Hirntodes: Bei einem potenziellen Organspender: Ohne Feststellung des Hirntodes;1-202.00;0;0;1
120201;Diagnostik zur Feststellung des Hirntodes: Bei einem potenziellen Organspender: Mit Feststellung des Hirntodes;1-202.01;0;0;1
12021;Diagnostik zur Feststellung des Hirntodes: Bei sonstigen Patienten;1-202.1;0;0;1
12030;Invasive Funktionsdiagnostik des Nervensystems: Mit Stimulationselektroden, zerebral;1-203.0;0;0;1
12031;Invasive Funktionsdiagnostik des Nervensystems: Mit Stimulationselektroden, spinal;1-203.1;0;0;1
1203x;Invasive Funktionsdiagnostik des Nervensystems: Sonstige;1-203.x;0;0;1
12040;Untersuchung des Liquorsystems: Messung des Hirndruckes;1-204.0;0;0;1
12041;Untersuchung des Liquorsystems: Messung des lumbalen Liquordruckes;1-204.1;0;0;1
12042;Untersuchung des Liquorsystems: Lumbale Liquorpunktion zur Liquorentnahme;1-204.2;0;0;1
12043;Untersuchung des Liquorsystems: Subokzipitale Liquorpunktion zur Liquorentnahme;1-204.3;0;0;1
12045;Untersuchung des Liquorsystems: Liquorentnahme aus einem liegenden Katheter;1-204.5;0;0;1
12046;Untersuchung des Liquorsystems: Infusionstest;1-204.6;0;0;1
12047;Untersuchung des Liquorsystems: Pharmakologischer Test;1-204.7;0;0;1
1204x;Untersuchung des Liquorsystems: Sonstige;1-204.x;0;0;1
1205;Elektromyographie (EMG);1-205;0;0;1
1206;Neurographie;1-206;0;0;1
12070;Elektroenzephalographie (EEG): Routine-EEG (10/20 Elektroden);1-207.0;0;0;1
12071;Elektroenzephalographie (EEG): Schlaf-EEG (10/20 Elektroden);1-207.1;0;0;1
12072;Elektroenzephalographie (EEG): Video-EEG (10/20 Elektroden);1-207.2;0;0;1
12073;Elektroenzephalographie (EEG): Mobiles Kassetten-EEG (10/20 Elektroden);1-207.3;0;0;1
1207x;Elektroenzephalographie (EEG): Sonstige;1-207.x;0;0;1
1207y;Elektroenzephalographie (EEG): N.n.bez.;1-207.y;0;0;1
12080;Registrierung evozierter Potentiale: Akustisch (AEP);1-208.0;0;0;1
12081;Registrierung evozierter Potentiale: Früh-akustisch (FAEP/BERA);1-208.1;0;0;1
12082;Registrierung evozierter Potentiale: Somatosensorisch (SSEP);1-208.2;0;0;1
12083;Registrierung evozierter Potentiale: Früh-somatosensorisch (FSSEP);1-208.3;0;0;1
12084;Registrierung evozierter Potentiale: Motorisch;1-208.4;0;0;1
12085;Registrierung evozierter Potentiale: Spät-akustisch (CERA);1-208.5;0;0;1
12086;Registrierung evozierter Potentiale: Visuell (VEP);1-208.6;0;0;1
12088;Registrierung evozierter Potentiale: Otoakustische Emissionen;1-208.8;0;0;1
1208x;Registrierung evozierter Potentiale: Sonstige;1-208.x;0;0;1
1208y;Registrierung evozierter Potentiale: N.n.bez.;1-208.y;0;0;1
120a20;Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der Pharmakosensitivität mit quantitativer Testung;1-20a.20;0;0;1
120a21;Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der operativen Behandelbarkeit von Bewegungsstörungen;1-20a.21;0;0;1
120c;Navigierte transkranielle Magnetstimulation (nTMS);1-20c;0;0;1
1210;Nichtinvasive Video-EEG-Intensivdiagnostik zur Klärung eines Verdachts auf Epilepsie oder einer epilepsiechirurgischen Operationsindikation;1-210;0;0;1
12120;Invasive intraoperative Epilepsiediagnostik: Elektrokortikographie;1-212.0;0;0;1
12200;Messung des Augeninnendrucks: Tages- und Nachtdruckmessung über 24 Stunden;1-220.0;0;0;1
1242;Audiometrie;1-242;0;0;1
1243;Phoniatrie;1-243;0;0;1
1245;Rhinomanometrie;1-245;0;0;1
1247;Olfaktometrie und Gustometrie;1-247;0;0;1
12650;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Störungen der Sinusknotenfunktion;1-265.0;0;0;1
12651;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Störungen der AV-Überleitung;1-265.1;0;0;1
12653;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei intraventrikulären Leitungsstörungen (faszikuläre Blockierungen);1-265.3;0;0;1
12654;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Tachykardien mit schmalem QRS-Komplex oder atrialen Tachykardien;1-265.4;0;0;1
12655;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei WPW-Syndrom;1-265.5;0;0;1
12656;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Tachykardien mit breitem QRS-Komplex;1-265.6;0;0;1
12657;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei nicht anhaltenden Kammertachykardien und ventrikulären Extrasystolen;1-265.7;0;0;1
12658;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Synkopen unklarer Genese;1-265.8;0;0;1
12659;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Zustand nach Herz-Kreislauf-Stillstand;1-265.9;0;0;1
1265a;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Nach kurativer Therapie eines angeborenen Herzfehlers;1-265.a;0;0;1
1265b;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Nach palliativer Therapie eines angeborenen Herzfehlers;1-265.b;0;0;1
1265e;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Vorhofflimmern;1-265.e;0;0;1
1265f;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Vorhofflattern;1-265.f;0;0;1
1265x;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Sonstige;1-265.x;0;0;1
1265y;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: N.n.bez.;1-265.y;0;0;1
12660;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Schrittmacher;1-266.0;0;0;1
12661;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Kardioverter/Defibrillator (ICD);1-266.1;0;0;1
12662;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Kipptisch-Untersuchung zur Abklärung von Synkopen;1-266.2;0;0;1
12663;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Medikamentöser Provokationstest (zur Erkennung von Arrhythmien);1-266.3;0;0;1
1266x;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Sonstige;1-266.x;0;0;1
12680;Kardiales Mapping: Rechter Vorhof;1-268.0;0;0;1
12681;Kardiales Mapping: Linker Vorhof;1-268.1;0;0;1
12683;Kardiales Mapping: Rechter Ventrikel;1-268.3;0;0;1
12684;Kardiales Mapping: Linker Ventrikel;1-268.4;0;0;1
12731;Rechtsherz-Katheteruntersuchung: Oxymetrie;1-273.1;0;0;1
12732;Rechtsherz-Katheteruntersuchung: Druckmessung mit Messung des Shuntvolumens;1-273.2;0;0;1
12735;Rechtsherz-Katheteruntersuchung: Messung der pulmonalen Flussreserve;1-273.5;0;0;1
12736;Rechtsherz-Katheteruntersuchung: Messung des Lungenwassers;1-273.6;0;0;1
1273x;Rechtsherz-Katheteruntersuchung: Sonstige;1-273.x;0;0;1
1273y;Rechtsherz-Katheteruntersuchung: N.n.bez.;1-273.y;0;0;1
12740;Transseptale Linksherz-Katheteruntersuchung: Druckmessung;1-274.0;0;0;1
12741;Transseptale Linksherz-Katheteruntersuchung: Oxymetrie;1-274.1;0;0;1
12742;Transseptale Linksherz-Katheteruntersuchung: Druckmessung mit Messung des Shuntvolumens;1-274.2;0;0;1
12743;Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums;1-274.3;0;0;1
12744;Transseptale Linksherz-Katheteruntersuchung: Sondierung des Ventrikelseptums;1-274.4;0;0;1
1274x;Transseptale Linksherz-Katheteruntersuchung: Sonstige;1-274.x;0;0;1
12750;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie ohne weitere Maßnahmen;1-275.0;0;0;1
12751;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie und Druckmessung im linken Ventrikel;1-275.1;0;0;1
12752;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie, Druckmessung und Ventrikulographie im linken Ventrikel;1-275.2;0;0;1
12753;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie, Druckmessung und Ventrikulographie im linken Ventrikel, Druckmessung in der Aorta und Aortenbogendarstellung;1-275.3;0;0;1
