ID_MDC;ID_Partition;ID_DRG;ID_Text
-1 ;O;901A;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter komplizierender Konstellation oder Strahlentherapie oder endovaskul‰rer Implantation von Stent-Prothesen an der Aorta
-1 ;O;901B;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne Strahlentherapie, ohne endovaskul‰re Implantation von Stent-Prothesen an der Aorta, mit hochkomplexer OR-Prozedur oder komplizierender Konstellation
-1 ;O;901C;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne Strahlentherapie, ohne hochkomplexe OR-Prozedur, mit komplexer OR-Prozedur oder mit anderen Eingriffen an Kopf und Wirbels‰ule, Alter†<†1†Jahr oder bei Para-†/†Tetraplegie
-1 ;O;901D;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne Strahlentherapie, ohne komplexe OR-Prozedur, ohne andere Eingriffe an Kopf und Wirbels‰ule, Alter†>†0†Jahre, auﬂer bei Para-†/†Tetraplegie
-1 ;O;902Z;Nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose
-1 ;M;960Z;Nicht gruppierbar
-1 ;M;961Z;Unzul‰ssige Hauptdiagnose
-1 ;M;962Z;Unzul‰ssige Kodierung einer Sectio caesarea
-1 ;M;963Z;Neonatale Diagnose unvereinbar mit Alter†oder Gewicht
00 ;O;A01A;Lebertransplantation mit Beatmung†>†179†Stunden oder kombinierter D¸nndarmtransplantation
00 ;O;A01B;Lebertransplantation ohne kombinierte D¸nndarmtransplantation mit Beatmung†>†59 und <†180†Stunden oder mit Transplantatabstoﬂung oder mit kombinierter Nierentransplantation oder Alter†<†6†Jahre
00 ;O;A01C;Lebertransplantation ohne kombinierte D¸nndarmtransplantation, ohne Beatmung†>†59†Stunden, ohne Transplantatabstoﬂung, ohne kombinierte Nierentransplantation, Alter†>†5†Jahre
00 ;O;A02Z;Transplantation von Niere und Pankreas
00 ;O;A03A;Lungentransplantation mit Beatmung†>†179†Stunden
00 ;O;A03B;Lungentransplantation ohne Beatmung†>†179†Stunden
00 ;O;A04A;Knochenmarktransplantation / Stammzelltransfusion, allogen, mit zweiter Knochenmarktransplantation / Stammzelltransfusion im selben Aufenthalt
00 ;O;A04B;Knochenmarktransplantation / Stammzelltransfusion, allogen, auﬂer bei Plasmozytom oder mit Graft-versus-host-Krankheit Grad III und IV, mit In-vitro-Aufbereitung oder Alter < 16 Jahre
00 ;O;A04C;Knochenmarktransplantation / Stammzelltransfusion, allogen, auﬂer bei Plasmozytom, HLA-verschieden oder bei Plasmozytom, mit Graft-versus-host-Krankheit Grad III und IV, ohne In-vitro-Aufbereitung, Alter > 15 Jahre
00 ;O;A04D;Knochenmarktransplantation / Stammzelltransfusion, allogen, auﬂer bei Plasmozytom, ohne In-vitro-Aufbereitung, Alter > 15 Jahre, ohne Graft-versus-host-Krankheit Grad III und IV, HLA-identisch
00 ;O;A04E;Knochenmarktransplantation / Stammzelltransfusion, allogen, bei Plasmozytom, ohne Graft-versus-host-Krankheit Grad III und IV, Alter > 15 Jahre
00 ;O;A05A;Herztransplantation mit Beatmung†>†179†Stunden oder Alter†<†16†Jahre
00 ;O;A05B;Herztransplantation ohne Beatmung†>†179†Stunden, Alter†>†15†Jahre
00 ;O;A06A;Beatmung >†1799†Stunden mit komplexer OR-Prozedur oder Polytrauma, mit hochkomplexem Eingriff oder intensivmedizinischer Komplexbehandlung >†3920 / 3680†Aufwandspunkte
00 ;O;A06B;Beatmung >†1799†Stunden mit komplexer OR-Prozedur oder Polytrauma, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung >†3920 / 3680†Aufwandspunkte oder ohne komplexe OR-Prozedur, ohne Polytrauma
00 ;O;A07A;Beatmung >†999†Stunden oder >†499†Stunden mit intensivmedizinischer Komplexbehandlung >†4900 / 4600†Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma und int. Komplexbehandlung >†3920 / 3680†P. oder mit hochkomplexem oder dreizeitigem Eingriff
00 ;O;A07B;Beatmung >†999†Stunden oder >†499†Stunden mit intensivmedizinischer Komplexbehandlung >†4900 / 4600†Aufwandspunkte, mit komplexer OR-Prozedur und komplizierender Konstellation oder mit Polytrauma oder Alter†<†16†Jahre
00 ;O;A07C;Beatmung >†999†Stunden oder >†499†Stunden mit intensivmedizinischer Komplexbehandlung >†4900 / 4600†Aufwandspunkte, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter†>†15†Jahre, mit intensivmedizinischer Komplexbehandlung >†2352 / 2208†Aufwandspunkte
00 ;O;A07D;Beatmung >†999†Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter†>†15†Jahre, ohne intensivmedizinische Komplexbehandlung >†2352 / 2208†Aufwandspunkte, mit komplexer Diagnose
00 ;O;A07E;Beatmung >†999†Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter†>†15†Jahre, ohne intensivmedizinische Komplexbehandlung >†2352 / 2208†Aufwandspunkte, ohne komplexe Diagnose
00 ;O;A09A;Beatmung >†499 Stunden oder > 249 Stunden mit int. Komplexbeh. >†2352†/†2208†P., mit angeb. Fehlbild. od. Tumorerkr., Alter†<†3†J. od. mit kompl. OR-Proz. oder Polytrauma od. int. Komplexbeh. >†3430†/†3220†P. und hochkompl. Eingr. od. Alter†<†16†J.
00 ;O;A09B;Beatmung >†499 Stunden oder > 249 Stunden mit intensivmed. Komplexbehandlung >†2352†/†2208†Aufwandsp., mit kompl. OR-Prozedur od. Polytrauma od. intensivmed. Komplexbehandlung >†3430†/†3220†Aufwandsp., mit sehr kompl. Eingriff od. kompliz. Konstellation
00 ;O;A09C;Beatmung >†499 Stunden oder > 249 Stunden mit intensivmedizinischer Komplexbehandlung >†2352†/†2208†Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma oder int. Komplexbeh. > 2352†/†2208 P. oder kompliz. Konstellation oder Alter < 16 Jahre
00 ;O;A09D;Beatmung >†499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1470†/†1380 und <†2353†/†2209†Aufwandspunkte
00 ;O;A09E;Beatmung >†499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1470†/†1380 Aufwandspunkte, mit komplexer Diagnose oder Prozedur
00 ;O;A09F;Beatmung >†499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1470†/†1380 Aufwandspunkte, ohne komplexe Diagnose, ohne komplexe Prozedur
00 ;O;A11A;Beatmung >†249†Stunden oder >†95†Stunden mit intensivmedizinischer Komplexbehandlung >†1764 / 1656†Aufwandspunkte, mit hochkompl. Eingriff oder Alter†<†2†J. bei angeborener Fehlbildung od. mit kompliz. Konstellation und best. OR-Prozedur, Alter†<†16†J.
