IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
901D;E11.91;7;0,0241
901D;E65;7;0,0241
901D;C61;6;0,0206
901D;E86;6;0,0206
901D;J44.09;5;0,0172
901D;R55;5;0,0172
901D;T81.0;5;0,0172
901D;I50.14;4;0,0137
901D;M51.1;4;0,0137
901D;S06.0;4;0,0137
902Z;R15;17;0,1619
961Z;Z76.3;9;0,5625
961Z;P95;6;0,375
A15D;C90.00;8;0,5
A15D;C90.30;8;0,5
A42C;C90.30;5;0,3846
A42C;C90.00;4;0,3077
A60C;T86.10;7;0,7
B02C;C79.3;5;0,4167
B03Z;G06.1;5;0,1923
B03Z;D32.1;4;0,1538
B04C;I65.2;111;0,9911
B04D;I65.2;221;0,8911
B04D;I65.3;23;0,0927
B05Z;G56.0;177;0,962
B05Z;G56.2;4;0,0217
B09B;S02.3;79;0,687
B09B;S02.1;9;0,0783
B09B;S02.0;8;0,0696
B09B;S02.7;6;0,0522
B09B;S02.8;6;0,0522
B15Z;C79.3;60;0,5825
B15Z;C71.8;13;0,1262
B15Z;C71.2;10;0,0971
B15Z;C71.1;6;0,0583
B15Z;C71.9;5;0,0485
B16Z;C79.3;72;0,699
B16Z;C71.9;7;0,068
B16Z;C71.2;5;0,0485
B16Z;C71.8;5;0,0485
B16Z;C71.1;4;0,0388
B17E;G50.0;34;0,2099
B17E;G90.8;20;0,1235
B17E;D36.1;15;0,0926
B17E;G57.5;14;0,0864
B17E;G56.0;10;0,0617
B17E;G57.1;10;0,0617
B17E;G57.3;9;0,0556
B17E;G56.2;7;0,0432
B17E;G58.8;4;0,0247
B17E;Q85.0;4;0,0247
B17E;T85.1;4;0,0247
B17F;G56.2;37;0,4302
B17F;G57.6;14;0,1628
B17F;G56.0;10;0,1163
B17F;G57.5;8;0,093
B17F;D36.1;5;0,0581
B17F;S06.0;4;0,0465
B18Z;G97.80;15;0,1316
B18Z;G95.2;12;0,1053
B18Z;G95.1;10;0,0877
B18Z;D36.1;8;0,0702
B18Z;T85.1;7;0,0614
B18Z;T85.0;6;0,0526
B18Z;D32.1;5;0,0439
B18Z;D43.4;5;0,0439
B18Z;G54.1;5;0,0439
B18Z;M53.1;5;0,0439
B20B;D32.0;15;0,2381
B20B;C79.3;13;0,2063
B20B;C71.2;5;0,0794
B20B;C71.3;4;0,0635
B20D;S06.5;5;0,7143
B20E;G91.20;8;0,4211
B20F;S06.5;14;0,4667
B20F;I62.02;8;0,2667
B44B;I63.4;5;0,1923
B44D;I63.3;4;0,3077
B44D;I63.4;4;0,3077
B47Z;M53.1;44;0,8462
B61B;C79.5;4;0,0889
B63Z;I67.88;45;0,302
B63Z;F03;12;0,0805
B63Z;G30.1;11;0,0738
B63Z;F01.9;10;0,0671
B63Z;I67.2;9;0,0604
B63Z;F06.9;8;0,0537
B63Z;F01.1;7;0,047
B63Z;F01.3;6;0,0403
B63Z;F01.8;6;0,0403
B63Z;R54;6;0,0403
B63Z;F09;5;0,0336
B63Z;G30.9;5;0,0336
B63Z;F10.6;4;0,0268
B63Z;I67.9;4;0,0268
B64Z;F05.1;18;0,4865
B64Z;R41.0;6;0,1622
B64Z;F05.0;5;0,1351
B66D;C71.8;66;0,3128
B66D;C71.2;31;0,1469
B66D;C71.1;30;0,1422
B66D;C79.3;29;0,1374
B66D;C71.3;10;0,0474
B66D;C71.9;10;0,0474
B66D;D43.0;7;0,0332
B66D;D43.2;6;0,0284
B66D;D32.0;5;0,0237
B66D;D32.9;5;0,0237
B66D;D33.3;4;0,019
B67A;G20.21;35;0,8537
B67A;G20.20;5;0,122
B67B;G20.10;38;0,3551
B67B;G20.11;38;0,3551
B67B;G20.00;8;0,0748
B67B;G20.90;7;0,0654
B67B;G21.8;5;0,0467
B67B;G20.91;4;0,0374
B67B;G21.1;4;0,0374
B68D;G35.11;76;0,4108
B68D;G35.31;35;0,1892
B68D;G35.30;26;0,1405
B68D;G35.0;19;0,1027
B68D;G35.21;10;0,0541
B68D;G35.10;9;0,0486
B68D;G35.20;4;0,0216
B69C;G45.82;36;0,4557
B69C;G45.83;20;0,2532
B69C;G45.89;16;0,2025
B69D;G45.89;62;0,2288
B69D;G45.92;48;0,1771
B69D;G45.82;47;0,1734
B69D;I65.2;27;0,0996
B69D;G45.09;24;0,0886
B69D;G45.12;10;0,0369
B69D;G45.83;10;0,0369
B69D;G45.02;7;0,0258
B69D;G45.93;6;0,0221
B69D;I65.0;6;0,0221
B69D;G45.42;5;0,0185
B69D;G45.03;4;0,0148
B69D;G45.13;4;0,0148
B70C;I63.8;57;0,6951
B70C;I63.4;18;0,2195
B70D;I63.8;29;0,8529
B70D;I63.4;5;0,1471
B70F;I63.8;82;0,2603
B70F;I63.3;65;0,2063
B70F;I63.4;45;0,1429
B70F;I63.9;44;0,1397
B70F;I63.5;38;0,1206
B70F;I64;21;0,0667
B70F;I63.0;8;0,0254
B70F;I63.2;4;0,0127
B70H;I63.8;6;0,4615
B70I;I64;16;0,1882
B70I;I63.8;11;0,1294
B70I;I63.9;10;0,1176
B70I;I63.5;8;0,0941
B70I;I60.8;5;0,0588
B71C;G60.3;14;0,3256
B71C;G51.0;5;0,1163
B71D;M53.1;169;0,27
B71D;G51.0;149;0,238
B71D;M54.12;64;0,1022
B71D;E11.41;52;0,0831
B71D;M54.10;41;0,0655
B71D;E11.40;17;0,0272
B71D;M53.0;13;0,0208
B71D;G50.0;12;0,0192
B71D;G62.9;12;0,0192
B71D;G57.3;8;0,0128
B71D;G61.8;7;0,0112
B71D;G62.88;7;0,0112
B71D;M89.04;6;0,0096
B71D;M54.13;5;0,008
B71D;M54.19;5;0,008
B71D;M79.28;5;0,008
B71D;G54.5;4;0,0064
B72B;G04.9;5;0,3125
B75Z;R56.8;18;0,6429
B75Z;R56.0;10;0,3571
B76D;G40.1;13;0,4194
B76D;G40.2;9;0,2903
B76D;G40.6;4;0,129
B76E;G41.0;5;0,3846
B76F;G40.1;57;0,3701
B76F;G40.2;24;0,1558
B76F;G40.6;19;0,1234
B76F;G40.3;15;0,0974
B76F;G40.9;14;0,0909
B76F;G40.5;11;0,0714
B76F;G40.4;8;0,0519
B76F;G40.8;4;0,026
B77Z;R51;53;0,4206
B77Z;G44.2;27;0,2143
B77Z;G44.8;10;0,0794
B77Z;G43.0;9;0,0714
B77Z;G43.1;8;0,0635
B77Z;G43.9;6;0,0476
B78A;S06.6;8;0,5333
B78B;G93.6;11;0,3548
B78B;S06.5;11;0,3548
B78B;S06.8;4;0,129
B79Z;R40.0;14;0,3182
B79Z;S02.3;13;0,2955
B79Z;S02.1;9;0,2045
B80Z;S06.0;324;0,9848
B81B;B02.2;70;0,3333
B81B;R26.8;37;0,1762
B81B;R29.6;27;0,1286
B81B;R20.2;14;0,0667
B81B;R47.1;8;0,0381
B81B;G83.1;6;0,0286
B81B;G96.0;4;0,019
B81B;R20.8;4;0,019
B81B;R47.0;4;0,019
B82Z;G58.0;24;0,8571
B82Z;G56.0;4;0,1429
B85B;I67.3;8;0,4706
B85C;G70.0;11;0,7857
B85D;I67.3;28;0,3944
B85D;G91.29;9;0,1268
B85D;G12.2;8;0,1127
B85D;G25.81;6;0,0845
B85D;G91.20;4;0,0563
C01A;S05.2;5;0,3846
C01A;S05.5;4;0,3077
