IP_DRG;IP_CodeF;IP_Anzahl;IP_Prozent;IP_AnzahlN;IP_ProzentN
901B;8-800.c0;6;0,375;6;0,0577
901B;8-930;6;0,375;6;0,0577
901D;8-930;49;0,1684;51;0,0412
901D;8-800.c0;31;0,1065;32;0,0259
901D;8-132.3;30;0,1031;35;0,0283
901D;1-661;27;0,0928;33;0,0267
901D;1-632;27;0,0928;30;0,0243
901D;3-225;22;0,0756;22;0,0178
901D;5-601.0;21;0,0722;21;0,017
901D;3-200;20;0,0687;26;0,021
901D;5-570.4;14;0,0481;17;0,0137
901D;1-440.a;14;0,0481;14;0,0113
901D;3-222;13;0,0447;14;0,0113
901D;1-650.2;13;0,0447;13;0,0105
901D;1-275.0;12;0,0412;13;0,0105
901D;1-710;12;0,0412;12;0,0097
901D;5-573.40;11;0,0378;11;0,0089
901D;5-585.1;11;0,0378;11;0,0089
901D;3-990;9;0,0309;16;0,0129
901D;8-837.00;9;0,0309;10;0,0081
901D;3-802;9;0,0309;9;0,0073
901D;5-572.1;9;0,0309;9;0,0073
901D;5-601.1;9;0,0309;9;0,0073
901D;3-607;8;0,0275;9;0,0073
901D;3-052;8;0,0275;8;0,0065
901D;5-585.0;8;0,0275;8;0,0065
901D;8-910;8;0,0275;8;0,0065
901D;5-399.5;7;0,0241;9;0,0073
901D;1-444.7;7;0,0241;7;0,0057
901D;5-377.30;7;0,0241;7;0,0057
901D;5-573.1;7;0,0241;7;0,0057
901D;5-995;7;0,0241;7;0,0057
901D;3-206;6;0,0206;6;0,0049
901D;5-906.2b;6;0,0206;6;0,0049
901D;8-132.1;6;0,0206;6;0,0049
901D;8-837.m0;6;0,0206;6;0,0049
901D;1-266.0;5;0,0172;5;0,004
901D;1-650.0;5;0,0172;5;0,004
901D;1-650.1;5;0,0172;5;0,004
901D;3-202;5;0,0172;5;0,004
901D;3-605;5;0,0172;5;0,004
901D;3-820;5;0,0172;5;0,004
901D;5-601.6;5;0,0172;5;0,004
901D;5-839.a0;5;0,0172;5;0,004
901D;8-561.1;5;0,0172;5;0,004
901D;8-83b.02;5;0,0172;5;0,004
901D;3-13d.0;4;0,0137;4;0,0032
901D;3-13f;4;0,0137;4;0,0032
901D;3-203;4;0,0137;4;0,0032
901D;3-223;4;0,0137;4;0,0032
901D;3-226;4;0,0137;4;0,0032
901D;3-82a;4;0,0137;4;0,0032
901D;5-377.1;4;0,0137;4;0,0032
901D;5-581.0;4;0,0137;4;0,0032
901D;5-581.1;4;0,0137;4;0,0032
901D;5-582.3;4;0,0137;4;0,0032
901D;5-601.41;4;0,0137;4;0,0032
901D;5-685.02;4;0,0137;4;0,0032
901D;5-984;4;0,0137;4;0,0032
901D;8-836.0b;4;0,0137;4;0,0032
901D;8-836.0c;4;0,0137;4;0,0032
901D;8-914.02;4;0,0137;4;0,0032
901D;8-980.0;4;0,0137;4;0,0032
902Z;1-632;22;0,2095;23;0,0622
902Z;5-059.82;17;0,1619;17;0,0459
902Z;5-573.40;14;0,1333;14;0,0378
902Z;1-440.a;12;0,1143;12;0,0324
902Z;8-132.3;8;0,0762;13;0,0351
902Z;1-661;8;0,0762;8;0,0216
902Z;8-800.c0;8;0,0762;8;0,0216
902Z;3-200;7;0,0667;8;0,0216
902Z;1-650.2;7;0,0667;7;0,0189
902Z;5-433.52;7;0,0667;7;0,0189
902Z;8-930;7;0,0667;7;0,0189
902Z;3-13d.5;6;0,0571;6;0,0162
902Z;8-900;5;0,0476;7;0,0189
902Z;5-640.2;5;0,0476;5;0,0135
902Z;1-444.7;4;0,0381;4;0,0108
902Z;1-650.1;4;0,0381;4;0,0108
902Z;1-672;4;0,0381;4;0,0108
902Z;3-225;4;0,0381;4;0,0108
902Z;3-820;4;0,0381;4;0,0108
902Z;5-452.21;4;0,0381;4;0,0108
A09C;8-831.0;4;1;4;0,0482
A11E;8-701;14;0,9333;16;0,0569
A11E;8-831.0;11;0,7333;13;0,0463
A11E;3-200;9;0,6;12;0,0427
A11E;8-800.c0;9;0,6;9;0,032
A11E;8-931.0;6;0,4;7;0,0249
A11E;8-930;6;0,4;6;0,0214
A11E;8-931.1;6;0,4;6;0,0214
A11E;1-275.0;5;0,3333;7;0,0249
A11E;8-771;5;0,3333;6;0,0214
A11E;8-831.5;5;0,3333;5;0,0178
A11E;1-620.00;4;0,2667;5;0,0178
A11E;8-837.00;4;0,2667;5;0,0178
