IC_CodeF;IC_Text;IC_ANZHDI;IC_ANZNDI;IC_AnzProzI
1-100;Klinische Untersuchung in Allgemeinanästhesie;0;0;1
1-203.x;Invasive Funktionsdiagnostik des Nervensystems: Sonstige;0;0;1
1-204.2;Untersuchung des Liquorsystems: Lumbale Liquorpunktion zur Liquorentnahme;0;0;1
1-204.3;Untersuchung des Liquorsystems: Subokzipitale Liquorpunktion zur Liquorentnahme;0;0;1
1-205;Elektromyographie (EMG);0;0;1
1-206;Neurographie;0;0;1
1-207.0;Elektroenzephalographie (EEG): Routine-EEG (10/20 Elektroden);0;0;1
1-207.1;Elektroenzephalographie (EEG): Schlaf-EEG (10/20 Elektroden);0;0;1
1-208.0;Registrierung evozierter Potentiale: Akustisch (AEP);0;0;1
1-208.1;Registrierung evozierter Potentiale: Früh-akustisch (FAEP/BERA);0;0;1
1-208.2;Registrierung evozierter Potentiale: Somatosensorisch (SSEP);0;0;1
1-208.6;Registrierung evozierter Potentiale: Visuell (VEP);0;0;1
1-208.8;Registrierung evozierter Potentiale: Otoakustische Emissionen;0;0;1
1-208.x;Registrierung evozierter Potentiale: Sonstige;0;0;1
1-220.0;Messung des Augeninnendrucks: Tages- und Nachtdruckmessung über 24 Stunden;0;0;1
1-242;Audiometrie;0;0;1
1-245;Rhinomanometrie;0;0;1
1-247;Olfaktometrie und Gustometrie;0;0;1
1-265.1;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Störungen der AV-Überleitung;0;0;1
1-265.4;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Tachykardien mit schmalem QRS-Komplex oder atrialen Tachykardien;0;0;1
1-265.5;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei WPW-Syndrom;0;0;1
1-265.6;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Tachykardien mit breitem QRS-Komplex;0;0;1
1-265.7;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei nicht anhaltenden Kammertachykardien und ventrikulären Extrasystolen;0;0;1
1-265.e;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Vorhofflimmern;0;0;1
1-265.f;Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Vorhofflattern;0;0;1
1-266.0;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Schrittmacher;0;0;1
1-266.1;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Kardioverter/Defibrillator (ICD);0;0;1
1-266.2;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Kipptisch-Untersuchung zur Abklärung von Synkopen;0;0;1
1-266.3;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Medikamentöser Provokationstest (zur Erkennung von Arrhythmien);0;0;1
1-268.0;Kardiales Mapping: Rechter Vorhof;0;0;1
1-268.1;Kardiales Mapping: Linker Vorhof;0;0;1
1-268.4;Kardiales Mapping: Linker Ventrikel;0;0;1
1-273.1;Rechtsherz-Katheteruntersuchung: Oxymetrie;0;0;1
1-273.2;Rechtsherz-Katheteruntersuchung: Druckmessung mit Messung des Shuntvolumens;0;0;1
1-273.x;Rechtsherz-Katheteruntersuchung: Sonstige;0;0;1
1-274.0;Transseptale Linksherz-Katheteruntersuchung: Druckmessung;0;0;1
1-274.1;Transseptale Linksherz-Katheteruntersuchung: Oxymetrie;0;0;1
1-274.3;Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums;0;0;1
1-274.x;Transseptale Linksherz-Katheteruntersuchung: Sonstige;0;0;1
1-275.0;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie ohne weitere Maßnahmen;0;0;1
1-275.1;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie und Druckmessung im linken Ventrikel;0;0;1
1-275.2;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie, Druckmessung und Ventrikulographie im linken Ventrikel;0;0;1
1-275.3;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie, Druckmessung und Ventrikulographie im linken Ventrikel, Druckmessung in der Aorta und Aortenbogendarstellung;0;0;1
1-275.4;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie, Druckmessung in der Aorta und Aortenbogendarstellung;0;0;1
1-275.5;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie von Bypassgefäßen;0;0;1
1-276.0;Angiokardiographie als selbständige Maßnahme: Pulmonalisangiographie;0;0;1
1-276.1;Angiokardiographie als selbständige Maßnahme: Aortographie;0;0;1
1-279.a;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Koronarangiographie mit intrakoronarer Druckmessung;0;0;1
1-313;Ösophagusmanometrie;0;0;1
1-316.10;pH-Metrie des Ösophagus: Langzeit-pH-Metrie: Ohne Langzeit-Impedanzmessung;0;0;1
1-317.1;pH-Metrie des Magens: Langzeit-pH-Metrie;0;0;1
1-334.0;Urodynamische Untersuchung: Urodynamische Untersuchung mit gleichzeitiger Anwendung elektrophysiologischer Methoden;0;0;1
1-334.1;Urodynamische Untersuchung: Blasendruckmessung;0;0;1
1-336;Harnröhrenkalibrierung;0;0;1
1-404.x;Perkutane (Nadel-)Biopsie an intraspinalem Gewebe: Sonstige;0;0;1
