IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
-1 ;901A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;43;;5,312;;
-1 ;901B;11;1,00;0,00;0,00;0,00;0,00;0,4545;0,5455;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5455;0,3636;0,0909;0,00;0,8462;0,1538;6;38;18,50;3,476;0,00;7,80
-1 ;901C;4;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,25;0,50;0,375;0,50;0,125;5;32;16,80;2,758;0,00;6,70
-1 ;901D;248;1,00;0,00;0,00;0,00;0,00;0,5605;0,4395;0,00;0,00;0,00;0,00;0,00;0,00;0,004;0,004;0,0323;0,0806;0,0645;0,0444;0,0806;0,0726;0,2218;0,121;0,2742;0,3085;0,6375;0,054;3;27;11,60;1,841;0,0006;5,80
-1 ;902Z;93;1,00;0,00;0,00;0,00;0,00;0,4946;0,5054;0,00;0,00;0,00;0,00;0,0108;0,0108;0,00;0,00;0,0108;0,043;0,0645;0,0968;0,0108;0,129;0,2366;0,172;0,2151;0,3889;0,5741;0,037;2;22;8,70;1,212;0,0002;4,90
-1 ;960Z;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1 ;961Z;8;1,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;1,00;;0,00;0,00
-1 ;962Z;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1 ;963Z;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;0,535;;
00 ;A01A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A01B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A01C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A02Z;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A03A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A03B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A04A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A04B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A04C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A04D;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A04E;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A05A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A05B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A06A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A06B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A07A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A07B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A07C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A07D;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A07E;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A09A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A09B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A09C;7;0,00;0,1429;0,00;0,2857;0,5714;0,7143;0,2857;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4286;0,2857;0,2857;0,00;0,00;1,00;0,00;11;55;34,10;18,545;0,00;9,10
00 ;A09D;2;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00;1,00;0,00;;56;32,00;17,28;0,00;4,20
