IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
-1 ;901A;367;1,00;0,00;0,00;0,00;0,00;0,545;0,455;0,00;0,00;0,00;0,00;0,0027;0,00;0,0027;0,00;0,0218;0,0218;0,0518;0,0654;0,079;0,0518;0,267;0,1935;0,2425;0,1648;0,6873;0,1479;7;43;22,50;5,764;0,00;8,90
-1 ;901B;3022;1,00;0,00;0,00;0,00;0,00;0,5146;0,4854;0,00;0,00;0,0003;0,0017;0,0023;0,0036;0,005;0,0017;0,0205;0,0225;0,0642;0,0543;0,0738;0,0834;0,2376;0,1833;0,2459;0,1002;0,7629;0,1368;6;38;20,50;3,971;0,0002;8,30
-1 ;901C;1164;1,00;0,00;0,00;0,00;0,00;0,4802;0,5198;0,00;0,00;0,0292;0,0009;0,0043;0,0026;0,006;0,0017;0,012;0,0241;0,043;0,0498;0,0455;0,067;0,1959;0,1495;0,3686;0,1055;0,749;0,1454;5;32;17,10;3,159;0,0001;6,60
-1 ;901D;22995;1,00;0,00;0,00;0,00;0,00;0,5379;0,4621;0,00;0,00;0,00;0,0027;0,0026;0,002;0,006;0,0036;0,0269;0,0335;0,064;0,0567;0,0635;0,0785;0,2247;0,1698;0,2655;0,1209;0,7729;0,1062;3;27;12,70;2,156;0,0017;5,80
-1 ;902Z;6197;1,00;0,00;0,00;0,00;0,00;0,4723;0,5277;0,00;0,00;0,0023;0,0053;0,0055;0,0032;0,0053;0,0045;0,0358;0,04;0,0846;0,0687;0,0784;0,0839;0,2332;0,1556;0,1936;0,1794;0,7342;0,0865;2;23;9,50;1,498;0,0005;5,30
-1 ;960Z;96;1,00;0,00;0,00;0,00;0,00;0,625;0,2604;0,1146;0,3125;0,1354;0,0208;0,00;0,0833;0,0104;0,00;0,1458;0,1146;0,0521;0,0208;0,0104;0,0208;0,0729;0,00;0,00;0,00;1,00;0,00;;;6,20;;0,00;8,90
-1 ;961Z;199;1,00;0,00;0,00;0,00;0,00;0,5678;0,4271;0,005;0,598;0,0251;0,0503;0,0151;0,0452;0,0302;0,0101;0,0151;0,00;0,0101;0,0251;0,005;0,005;0,0603;0,0603;0,0452;0,00;1,00;0,00;;;8,90;;0,00;19,00
-1 ;962Z;2;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;2,00;;0,00;1,40
-1 ;963Z;49;1,00;0,00;0,00;0,00;0,00;0,4286;0,5714;0,00;0,00;0,6735;0,0204;0,00;0,00;0,00;0,00;0,1429;0,1429;0,0204;0,00;0,00;0,00;0,00;0,00;0,00;0,215;0,4579;0,3271;1;9;3,70;0,617;0,00;1,80
00 ;A01A;50;0,00;0,00;0,00;0,00;1,00;0,56;0,44;0,00;0,00;0,12;0,02;0,08;0,04;0,00;0,00;0,00;0,08;0,12;0,16;0,22;0,10;0,06;0,00;0,00;0,1176;0,5882;0,2941;18;76;48,70;32,537;0,00;16,50
00 ;A01B;175;0,00;0,00;0,0057;0,00;0,9943;0,5657;0,4343;0,00;0,00;0,08;0,0686;0,0229;0,0057;0,0286;0,0114;0,0514;0,0857;0,1714;0,1314;0,12;0,16;0,0629;0,00;0,00;0,0385;0,6731;0,2885;10;50;31,00;16,701;0,00;9,10
