IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
-1 ;901A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1 ;901B;2;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;1,00;;0,00;0,00
-1 ;901C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1 ;901D;137;1,00;0,00;0,00;0,00;0,00;0,4599;0,5401;0,00;0,00;0,00;0,0292;0,0219;0,0365;0,0146;0,0073;0,0876;0,1095;0,219;0,0584;0,1095;0,0438;0,1606;0,073;0,0292;0,00;1,00;0,00;;;4,60;;0,0003;8,80
-1 ;902Z;70;1,00;0,00;0,00;0,00;0,00;0,3714;0,6286;0,00;0,00;0,00;0,0286;0,0714;0,0286;0,0143;0,0143;0,0571;0,1714;0,0714;0,0857;0,1429;0,0714;0,1714;0,00;0,0714;0,00;1,00;0,00;;;2,00;;0,0002;4,10
-1 ;960Z;17;1,00;0,00;0,00;0,00;0,00;0,5882;0,4118;0,00;0,00;0,8235;0,00;0,0588;0,00;0,0588;0,00;0,00;0,00;0,00;0,00;0,0588;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;1,20;;0,00;0,40
-1 ;961Z;2235;1,00;0,00;0,00;0,00;0,00;0,5239;0,4761;0,00;0,0004;0,0649;0,0461;0,0291;0,026;0,0434;0,0148;0,06;0,0765;0,0913;0,0814;0,081;0,0819;0,1669;0,0765;0,06;0,00;1,00;0,00;;;3,70;;0,0055;7,50
-1 ;962Z;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1 ;963Z;49;1,00;0,00;0,00;0,00;0,00;0,551;0,449;0,00;0,00;0,8776;0,0612;0,0204;0,00;0,0408;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;1,10;;0,0001;0,30
00 ;A01A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A01B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A01C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A02Z;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A03A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A03B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A04A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A04B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A04C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A04D;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A04E;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A05A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A05B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A06A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A06B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A07A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A07B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A07C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A07D;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A07E;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A09A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A09B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A09C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A09D;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A09E;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A09F;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A11A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A11B;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A11C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A11D;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A11E;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A11F;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00 ;A11G;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
