IP_DRG;IP_CodeF;IP_Anzahl;IP_Prozent;IP_AnzahlN;IP_ProzentN
901D;5-386.ax;50;0,365;55;0,0643
901D;1-204.2;49;0,3577;57;0,0667
901D;8-836.02;13;0,0949;13;0,0152
901D;8-854.2;12;0,0876;263;0,3076
901D;8-151.4;12;0,0876;15;0,0175
901D;3-200;10;0,073;12;0,014
901D;3-606;10;0,073;10;0,0117
901D;8-547.30;7;0,0511;22;0,0257
901D;5-903.5a;6;0,0438;6;0,007
901D;3-222;5;0,0365;6;0,007
901D;3-225;4;0,0292;6;0,007
901D;5-895.3c;4;0,0292;5;0,0058
901D;1-208.6;4;0,0292;4;0,0047
901D;5-895.4c;4;0,0292;4;0,0047
902Z;5-985.1;8;0,1143;8;0,0383
902Z;5-915.54;6;0,0857;7;0,0335
902Z;5-913.aa;6;0,0857;6;0,0287
902Z;5-262.6;5;0,0714;5;0,0239
902Z;3-990;4;0,0571;4;0,0191
902Z;5-490.1;4;0,0571;4;0,0191
961Z;9-312;336;0,1503;336;0,0517
961Z;8-854.2;102;0,0456;2476;0,3807
961Z;8-98a.11;96;0,043;889;0,1367
961Z;8-98a.10;85;0,038;704;0,1082
961Z;8-930;83;0,0371;95;0,0146
961Z;8-542.11;49;0,0219;96;0,0148
961Z;3-990;38;0,017;50;0,0077
961Z;8-020.x;38;0,017;38;0,0058
961Z;1-208.1;36;0,0161;36;0,0055
961Z;3-993;32;0,0143;32;0,0049
961Z;3-820;29;0,013;30;0,0046
961Z;8-547.0;25;0,0112;28;0,0043
961Z;1-710;24;0,0107;25;0,0038
961Z;3-222;22;0,0098;23;0,0035
961Z;1-700;22;0,0098;22;0,0034
961Z;3-20x;22;0,0098;22;0,0034
961Z;3-225;21;0,0094;22;0,0034
961Z;8-824;20;0,0089;116;0,0178
961Z;8-98a.0;20;0,0089;44;0,0068
961Z;3-800;20;0,0089;23;0,0035
961Z;8-900;19;0,0085;20;0,0031
961Z;1-207.0;18;0,0081;20;0,0031
961Z;3-200;17;0,0076;20;0,0031
961Z;5-712.12;17;0,0076;17;0,0026
961Z;8-800.c0;16;0,0072;18;0,0028
961Z;1-632;16;0,0072;17;0,0026
961Z;8-857.10;13;0,0058;32;0,0049
961Z;8-542.12;13;0,0058;28;0,0043
961Z;3-100.0;13;0,0058;16;0,0025
961Z;8-903;13;0,0058;13;0,002
961Z;8-854.3;12;0,0054;212;0,0326
961Z;3-226;12;0,0054;12;0,0018
961Z;5-985.1;12;0,0054;12;0,0018
961Z;1-910;11;0,0049;13;0,002
961Z;8-855.3;9;0,004;210;0,0323
961Z;1-100;9;0,004;10;0,0015
961Z;5-913.ac;9;0,004;10;0,0015
961Z;5-672.12;9;0,004;9;0,0014
961Z;6-002.92;9;0,004;9;0,0014
961Z;8-137.2;9;0,004;9;0,0014
961Z;3-827;8;0,0036;14;0,0022
961Z;8-802.40;8;0,0036;13;0,002
961Z;1-424;8;0,0036;9;0,0014
961Z;1-494.31;8;0,0036;8;0,0012
961Z;3-052;8;0,0036;8;0,0012
961Z;3-05x;8;0,0036;8;0,0012
961Z;3-13e;8;0,0036;8;0,0012
961Z;3-825;8;0,0036;8;0,0012
961Z;5-894.0c;8;0,0036;8;0,0012
961Z;1-208.2;7;0,0031;12;0,0018
961Z;1-206;7;0,0031;7;0,0011
961Z;3-202;7;0,0031;7;0,0011
961Z;3-802;7;0,0031;7;0,0011
961Z;5-490.1;7;0,0031;7;0,0011
961Z;5-915.4c;7;0,0031;7;0,0011
961Z;6-002.93;7;0,0031;7;0,0011
961Z;8-123.0;7;0,0031;7;0,0011
961Z;3-994;6;0,0027;8;0,0012
961Z;1-711;6;0,0027;7;0,0011
961Z;1-205;6;0,0027;6;0,0009
961Z;1-208.0;6;0,0027;6;0,0009
961Z;1-760;6;0,0027;6;0,0009
961Z;5-492.1;6;0,0027;6;0,0009
961Z;3-806;5;0,0022;7;0,0011
961Z;5-870.70;5;0,0022;6;0,0009
961Z;1-797.0;5;0,0022;5;0,0008
961Z;1-900.1;5;0,0022;5;0,0008
961Z;1-902.0;5;0,0022;5;0,0008
961Z;3-100.1;5;0,0022;5;0,0008
961Z;3-207;5;0,0022;5;0,0008
961Z;3-221;5;0,0022;5;0,0008
961Z;3-82a;5;0,0022;5;0,0008
961Z;3-84x;5;0,0022;5;0,0008
961Z;3-900;5;0,0022;5;0,0008
961Z;5-915.0c;5;0,0022;5;0,0008
961Z;8-543.12;5;0,0022;5;0,0008
961Z;1-930.0;4;0,0018;8;0,0012
961Z;3-826;4;0,0018;6;0,0009
961Z;1-204.2;4;0,0018;4;0,0006
961Z;1-208.4;4;0,0018;4;0,0006
961Z;1-440.a;4;0,0018;4;0,0006
961Z;1-493.31;4;0,0018;4;0,0006
961Z;3-804;4;0,0018;4;0,0006
961Z;5-201;4;0,0018;4;0,0006
961Z;5-870.71;4;0,0018;4;0,0006
961Z;9-320;4;0,0018;4;0,0006
961Z;9-500.0;4;0,0018;4;0,0006
963Z;1-207.0;5;0,102;5;0,3125
963Z;9-500.0;5;0,102;5;0,3125
A42B;5-410.10;8;1,00;9;0,2143
A42B;8-800.c0;7;0,875;7;0,1667
A42B;5-410.20;6;0,75;7;0,1667
A42B;8-800.60;4;0,50;4;0,0952
A42C;5-410.10;59;1,00;67;0,4558
A42C;1-710;18;0,3051;19;0,1293
A42C;8-800.c0;10;0,1695;11;0,0748
A42C;8-800.9v;9;0,1525;11;0,0748
A42C;8-930;6;0,1017;9;0,0612
A42C;1-711;5;0,0847;5;0,034
A60C;8-824;89;0,978;469;0,9287
A60C;1-710;6;0,0659;14;0,0277
A60C;1-711;5;0,0549;7;0,0139
A60C;1-713;5;0,0549;7;0,0139
A60D;8-824;70;0,8861;70;0,814
A60D;8-020.x;4;0,0506;4;0,0465
A61B;8-824;555;0,8713;1950;0,8852
A61B;8-800.c0;13;0,0204;13;0,0059
A61B;8-560.3;7;0,011;50;0,0227
A61B;8-560.1;7;0,011;29;0,0132
A61B;3-202;7;0,011;8;0,0036
A61B;8-020.x;7;0,011;7;0,0032
A61B;8-560.x;6;0,0094;16;0,0073
A61B;8-810.w1;6;0,0094;12;0,0054
A61B;8-810.w2;5;0,0078;5;0,0023
A61B;1-930.1;4;0,0063;4;0,0018
A61B;8-810.w4;4;0,0063;4;0,0018
A61B;8-971.1;4;0,0063;4;0,0018
A90A;8-98a.10;21867;0,7226;178302;0,4524
A90A;8-98a.11;18767;0,6202;186733;0,4738
A90A;8-98a.0;6025;0,1991;13143;0,0334
A90A;3-200;2695;0,0891;2793;0,0071
A90A;1-771;779;0,0257;779;0,002
A90A;9-320;747;0,0247;769;0,002
A90A;3-990;700;0,0231;859;0,0022
A90A;1-632;592;0,0196;625;0,0016
A90A;3-203;555;0,0183;603;0,0015
A90A;1-207.0;551;0,0182;575;0,0015
