IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;75;143
01;MDC 01 Krankheiten und Störungen des Nervensystems;108;3467
02;MDC 02 Krankheiten und Störungen des Auges;33;19678
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;56;89141
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;66;9206
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;151;25200
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;83;20222
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;44;3181
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;145;71061
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;50;12307
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;39;6350
11;MDC 11 Krankheiten und Störungen der Harnorgane;68;28536
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;12667
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;34;17279
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;25;48310
15;MDC 15 Neugeborene;42;40794
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;1578
17;MDC 17 Hämatologische und solide Neubildungen;50;2127
18A;MDC 18A HIV;7;0
18B;MDC 18B Infektiöse und parasitäre Krankheiten;22;1938
19;MDC 19 Psychische Krankheiten und Störungen;11;297
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;455
21A;MDC 21A Polytrauma;13;0
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;1729
22;MDC 22 Verbrennungen;11;23
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;14;1191
-1;Fehler-DRGs;9;320
