IN_DRG;IN_CodeF;IN_Anzahl;IN_Prozent;IN_AnzahlN;IN_ProzentN
801D;I10.00;28;0,2393;28;0,0219
801D;Z92.1;22;0,188;23;0,018
801D;E87.6;20;0,1709;21;0,0165
801D;Z74.1;17;0,1453;17;0,0133
801D;N18.3;15;0,1282;15;0,0118
801D;Z74.0;15;0,1282;15;0,0118
801D;E11.90;14;0,1197;14;0,011
801D;N40;14;0,1197;14;0,011
801D;Z92.2;14;0,1197;14;0,011
801D;I48.2;12;0,1026;12;0,0094
801D;D62;11;0,094;11;0,0086
801D;I25.13;11;0,094;11;0,0086
801D;B96.2;10;0,0855;12;0,0094
801D;I48.0;10;0,0855;11;0,0086
801D;R11;10;0,0855;11;0,0086
801D;F03;10;0,0855;10;0,0078
801D;R15;10;0,0855;10;0,0078
801D;J96.00;9;0,0769;10;0,0078
801D;I10.90;9;0,0769;9;0,0071
801D;R32;9;0,0769;9;0,0071
801D;Z95.0;9;0,0769;9;0,0071
801D;N13.3;8;0,0684;9;0,0071
801D;R06.0;8;0,0684;9;0,0071
801D;E86;8;0,0684;8;0,0063
801D;K59.0;8;0,0684;8;0,0063
801D;N32.8;8;0,0684;8;0,0063
801D;N39.0;8;0,0684;8;0,0063
801D;Z99.8;8;0,0684;8;0,0063
801D;E03.8;7;0,0598;7;0,0055
801D;E78.2;7;0,0598;7;0,0055
801D;E79.0;7;0,0598;7;0,0055
801D;I11.00;7;0,0598;7;0,0055
801D;I25.12;7;0,0598;7;0,0055
801D;N19;7;0,0598;7;0,0055
801D;R31;7;0,0598;7;0,0055
801D;R53;7;0,0598;7;0,0055
801D;Z11;6;0,0513;7;0,0055
801D;C61;6;0,0513;6;0,0047
801D;C67.8;6;0,0513;6;0,0047
801D;J44.89;6;0,0513;6;0,0047
801D;J91;6;0,0513;6;0,0047
801D;R60.0;6;0,0513;6;0,0047
801D;R33;5;0,0427;6;0,0047
801D;E11.20;5;0,0427;5;0,0039
801D;E78.5;5;0,0427;5;0,0039
801D;I21.4;5;0,0427;5;0,0039
801D;I25.11;5;0,0427;5;0,0039
801D;I50.13;5;0,0427;5;0,0039
801D;K76.0;5;0,0427;5;0,0039
801D;L98.4;5;0,0427;5;0,0039
801D;N08.3;5;0,0427;5;0,0039
801D;N35.8;5;0,0427;5;0,0039
801D;R29.6;5;0,0427;5;0,0039
801D;Z50.1;5;0,0427;5;0,0039
801D;Z86.7;5;0,0427;5;0,0039
801D;Z95.1;5;0,0427;5;0,0039
801D;Z95.5;5;0,0427;5;0,0039
801D;Z98.8;5;0,0427;5;0,0039
801D;N32.0;4;0,0342;5;0,0039
801D;Z46.6;4;0,0342;5;0,0039
801D;E03.9;4;0,0342;4;0,0031
801D;E66.00;4;0,0342;4;0,0031
801D;E78.0;4;0,0342;4;0,0031
801D;E89.0;4;0,0342;4;0,0031
801D;F05.1;4;0,0342;4;0,0031
801D;H91.1;4;0,0342;4;0,0031
