IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;75;119425
01;MDC 01 Krankheiten und Störungen des Nervensystems;111;1190596
02;MDC 02 Krankheiten und Störungen des Auges;32;213626
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;58;530095
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;68;1100963
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;157;2042242
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;83;1466604
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;46;456872
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;155;2210733
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;51;609050
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;40;408908
11;MDC 11 Krankheiten und Störungen der Harnorgane;67;635125
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;158497
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;36;253359
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;25;822782
15;MDC 15 Neugeborene;42;696938
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;110851
17;MDC 17 Hämatologische und solide Neubildungen;51;173570
18A;MDC 18A HIV;7;3214
18B;MDC 18B Infektiöse und parasitäre Krankheiten;23;220245
19;MDC 19 Psychische Krankheiten und Störungen;13;92710
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;52458
21A;MDC 21A Polytrauma;13;9615
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;99261
22;MDC 22 Verbrennungen;11;14136
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;14;59063
24;MDC 24 Sonstige DRGs;10;32650
-1;Fehler-DRGs;3;439
