IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
24 ;801A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24 ;801B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24 ;801C;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0;0;1,00;0;0,00;0
24 ;801D;16;0,9375;0,00;0,0625;0,00;0,00;0,00;0,00;0,375;0,625;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,125;0,1875;0,125;0,125;0,0625;0,375;0,00;0,00;0,00;1,00;0,00;0;0;3,10;0;0,00;4,60
24 ;801E;18;0,8889;0,00;0,00;0,00;0,1111;0,00;0,00;0,2778;0,7222;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0556;0,0556;0,1111;0,0556;0,1111;0,3889;0,1111;0,0556;0,0556;0,00;1,00;0,00;0;0;8,10;0;0,00;5,40
24 ;802A;41;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,439;0,561;0,00;0,00;0,00;0,00;0,0244;0,00;0,0488;0,0244;0,00;0,0488;0,0732;0,1463;0,0732;0,1951;0,1707;0,0976;0,0976;0,00;1,00;0,00;0;0;6,60;0;0,0001;11,30
24 ;802B;4;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,50;0,00;0,00;0,00;0,25;0,00;0,00;0,00;1,00;0,00;0;0;3,00;0;0,00;2,30
24 ;802C;242;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5537;0,4463;0,00;0,00;0,0041;0,00;0,0165;0,00;0,0124;0,0083;0,0124;0,0289;0,0785;0,0992;0,1116;0,1446;0,3099;0,124;0,0496;0,00;1,00;0,00;0;0;6,50;0;0,0006;6,70
24 ;802D;20;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,45;0,55;0,00;0,00;0,00;0,05;0,05;0,00;0,10;0,00;0,05;0,05;0,10;0,05;0,15;0,20;0,10;0,05;0,05;0,00;1,00;0,00;0;0;2,70;0;0,00;6,70
24 ;863Z;46;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,9348;0,0652;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0;0;1,60;0;0,0001;3,30
-1 ;960Z;39;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4359;0,5641;0,00;0,00;0,8462;0,00;0,0256;0,00;0,00;0,00;0,00;0,0256;0,0513;0,00;0,00;0,0256;0,00;0,0256;0,00;0,00;1,00;0,00;0;0;2,10;0;0,0001;5,80
-1 ;961Z;1887;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5188;0,4812;0,00;0,0026;0,0811;0,0668;0,0599;0,0541;0,0461;0,009;0,0647;0,0795;0,0922;0,0689;0,0731;0,0599;0,1304;0,0689;0,0429;0,00;1,00;0,00;0;0;3,80;0;0,0044;9,70
-1 ;962Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A01A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A01B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A01C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A02Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A03A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A03B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A04A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A04B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A04C;1;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0;0;1,00;0;0,00;0
00 ;A04D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A04E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A04F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A05A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A05B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A06A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A06B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A06C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A07A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A07B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A07C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00 ;A07D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
