IN_DRG;IN_CodeF;IN_Anzahl;IN_Prozent;IN_AnzahlN;IN_ProzentN
802A;Q85.0;10;0,2439;10;0,0862
802A;I10.00;5;0,122;5;0,0431
802A;M35.0;5;0,122;5;0,0431
802A;G40.8;4;0,0976;4;0,0345
802C;M35.0;5;0,0207;5;0,0397
863Z;Z10;6;0,1304;6;0,1304
863Z;P07.3;5;0,1087;5;0,1087
961Z;Z94.0;315;0,1669;315;0,1104
961Z;Z03.8;166;0,088;166;0,0582
961Z;I10.90;69;0,0366;69;0,0242
961Z;I10.00;64;0,0339;64;0,0224
961Z;P07.3;61;0,0323;61;0,0214
961Z;R26.8;61;0,0323;61;0,0214
961Z;A63.0;42;0,0223;42;0,0147
961Z;G81.0;36;0,0191;36;0,0126
961Z;Z85.3;34;0,018;34;0,0119
961Z;I69.4;31;0,0164;31;0,0109
961Z;E11.90;27;0,0143;27;0,0095
961Z;R47.0;26;0,0138;26;0,0091
961Z;G81.1;23;0,0122;24;0,0084
961Z;N18.5;21;0,0111;21;0,0074
961Z;Z01.5;21;0,0111;21;0,0074
961Z;U51.02;20;0,0106;20;0,007
961Z;I69.3;19;0,0101;19;0,0067
961Z;N18.3;18;0,0095;18;0,0063
961Z;I48.2;17;0,009;17;0,006
961Z;Z92.1;17;0,009;17;0,006
961Z;I48.0;16;0,0085;16;0,0056
961Z;Z92.2;15;0,0079;15;0,0053
961Z;F83;13;0,0069;13;0,0046
961Z;I25.10;13;0,0069;13;0,0046
961Z;R11;13;0,0069;13;0,0046
961Z;U50.10;13;0,0069;13;0,0046
961Z;U50.20;13;0,0069;13;0,0046
961Z;Z49.1;13;0,0069;13;0,0046
961Z;Z92.6;13;0,0069;13;0,0046
961Z;Z94.81;13;0,0069;13;0,0046
961Z;E66.99;12;0,0064;12;0,0042
961Z;I67.3;12;0,0064;12;0,0042
961Z;R32;12;0,0064;12;0,0042
961Z;R47.1;12;0,0064;12;0,0042
961Z;E78.0;11;0,0058;11;0,0039
961Z;R42;11;0,0058;11;0,0039
961Z;U50.30;11;0,0058;11;0,0039
961Z;C92.00;10;0,0053;10;0,0035
961Z;E14.90;10;0,0053;10;0,0035
961Z;E55.9;10;0,0053;10;0,0035
961Z;G40.1;10;0,0053;10;0,0035
961Z;N48.8;10;0,0053;10;0,0035
961Z;G40.2;9;0,0048;9;0,0032
961Z;Q21.1;9;0,0048;9;0,0032
961Z;Z03.3;9;0,0048;9;0,0032
961Z;Z52.4;9;0,0048;9;0,0032
961Z;E87.6;8;0,0042;8;0,0028
961Z;F32.0;8;0,0042;8;0,0028
961Z;G46.8;8;0,0042;8;0,0028
961Z;H53.4;8;0,0042;8;0,0028
961Z;I25.11;8;0,0042;8;0,0028
961Z;I25.13;8;0,0042;8;0,0028
961Z;K59.0;8;0,0042;8;0,0028
961Z;N40;8;0,0042;8;0,0028
961Z;R15;8;0,0042;8;0,0028
961Z;R26.3;8;0,0042;8;0,0028
961Z;Z94.1;8;0,0042;8;0,0028
961Z;D84.8;7;0,0037;7;0,0025
961Z;E53.8;7;0,0037;7;0,0025
961Z;E78.5;7;0,0037;7;0,0025
961Z;F06.7;7;0,0037;7;0,0025
961Z;G51.0;7;0,0037;7;0,0025
961Z;G81.9;7;0,0037;7;0,0025
961Z;I25.12;7;0,0037;7;0,0025
961Z;I69.1;7;0,0037;7;0,0025
961Z;J45.9;7;0,0037;7;0,0025
961Z;K62.8;7;0,0037;7;0,0025
961Z;M54.5;7;0,0037;7;0,0025
961Z;R13.9;7;0,0037;7;0,0025
961Z;R26.0;7;0,0037;7;0,0025
961Z;R29.5;7;0,0037;7;0,0025
961Z;U50.40;7;0,0037;7;0,0025
961Z;Z09.88;7;0,0037;7;0,0025
961Z;Z10;7;0,0037;7;0,0025
961Z;Z99.3;7;0,0037;7;0,0025
961Z;F32.9;6;0,0032;6;0,0021
961Z;F45.41;6;0,0032;6;0,0021
961Z;I25.22;6;0,0032;6;0,0021
961Z;I48.9;6;0,0032;6;0,0021
961Z;M17.1;6;0,0032;6;0,0021
961Z;N18.2;6;0,0032;6;0,0021
961Z;Z13.8;6;0,0032;6;0,0021
961Z;Z92.3;6;0,0032;6;0,0021
961Z;Z93.1;6;0,0032;6;0,0021
961Z;C61;5;0,0026;5;0,0018
961Z;C78.0;5;0,0026;5;0,0018
961Z;C79.5;5;0,0026;5;0,0018
961Z;D46.2;5;0,0026;5;0,0018
961Z;E03.9;5;0,0026;5;0,0018
961Z;E34.3;5;0,0026;5;0,0018
961Z;E46;5;0,0026;5;0,0018
961Z;E79.0;5;0,0026;5;0,0018
961Z;E83.4;5;0,0026;5;0,0018
961Z;F43.2;5;0,0026;5;0,0018
961Z;G40.3;5;0,0026;5;0,0018
961Z;G40.8;5;0,0026;5;0,0018
961Z;G43.1;5;0,0026;5;0,0018
961Z;G63.2;5;0,0026;5;0,0018
961Z;I10.01;5;0,0026;5;0,0018
961Z;I48.1;5;0,0026;5;0,0018
961Z;I50.9;5;0,0026;5;0,0018
961Z;I65.2;5;0,0026;5;0,0018
961Z;I70.22;5;0,0026;5;0,0018
961Z;M16.1;5;0,0026;5;0,0018
961Z;M48.06;5;0,0026;5;0,0018
961Z;N18.1;5;0,0026;5;0,0018
961Z;N18.9;5;0,0026;5;0,0018
961Z;P07.2;5;0,0026;5;0,0018
961Z;R51;5;0,0026;5;0,0018
961Z;R52.2;5;0,0026;5;0,0018
961Z;R53;5;0,0026;5;0,0018
961Z;U51.12;5;0,0026;5;0,0018
961Z;Z01.7;5;0,0026;5;0,0018
