IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
24 ;801A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24 ;801B;14;0,1429;0,0714;0,1429;0,2143;0,2143;0,2143;0,00;0,5714;0,4286;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0714;0,00;0,1429;0,1429;0,2857;0,3571;0,1765;0,8235;0,00;6;38;21,40;3,403;0,00;7,50
24 ;801C;7;0,1429;0,00;0,2857;0,1429;0,2857;0,1429;0,00;0,4286;0,5714;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4286;0,5714;0,125;0,875;0,00;5;35;17,60;2,916;0,00;6,90
24 ;801D;106;0,3679;0,0472;0,1887;0,1509;0,1698;0,0755;0,00;0,5472;0,4528;0,00;0,00;0,00;0,0094;0,00;0,00;0,00;0,00;0,0472;0,0377;0,1132;0,0094;0,0472;0,0566;0,1698;0,1792;0,3302;0,2821;0,6795;0,0385;4;29;12,70;2,217;0,0003;5,20
24 ;801E;21;0,381;0,2381;0,1429;0,1905;0,0476;0,00;0,00;0,619;0,381;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0476;0,0952;0,0476;0,0952;0,1905;0,1905;0,3333;0,3529;0,6176;0,0294;3;24;7,40;1,615;0,0001;3,80
24 ;802A;19;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6316;0,3684;0,00;0,00;0,00;0,0526;0,00;0,00;0,00;0,00;0,0526;0,0526;0,0526;0,00;0,1053;0,1053;0,1053;0,2105;0,2632;0,6271;0,322;0,0508;3;26;10,20;1,67;0,0001;7,00
24 ;802B;29;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5862;0,4138;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1034;0,0345;0,0345;0,069;0,2759;0,1724;0,3103;0,2955;0,6591;0,0455;3;23;10,70;1,424;0,0001;4,40
24 ;802C;37;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4865;0,5135;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,027;0,0541;0,1351;0,0541;0,1081;0,027;0,0541;0,1892;0,0811;0,2703;0,5256;0,4744;0,00;2;19;7,50;1,097;0,0001;4,40
24 ;802D;17;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5294;0,4706;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1176;0,1176;0,2941;0,0588;0,0588;0,1176;0,1176;0,0588;0,0588;0,62;0,34;0,04;1;14;3,40;0,762;0,00;1,20
24 ;863Z;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
