IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
24 ;801A;494;0,0162;0,004;0,0324;0,0547;0,2247;0,4939;0,1741;0,5425;0,4575;0,00;0,00;0,0061;0,00;0,002;0,004;0,0081;0,002;0,0283;0,0223;0,0425;0,0567;0,0709;0,0951;0,1984;0,17;0,2935;0,1344;0,7297;0,1359;8;44;23,60;6,194;0,00;9,20
24 ;801B;3414;0,089;0,0498;0,0738;0,2015;0,3184;0,2399;0,0275;0,5032;0,4965;0,0003;0,00;0,0018;0,0012;0,0015;0,0021;0,0041;0,0015;0,0176;0,0272;0,0574;0,0524;0,075;0,0972;0,227;0,1787;0,2554;0,1208;0,778;0,1012;6;38;19,70;3,911;0,0002;8,40
24 ;801C;1475;0,1003;0,0454;0,0488;0,2224;0,318;0,24;0,0251;0,4983;0,5017;0,00;0,00;0,0271;0,00;0,0007;0,0007;0,0027;0,00;0,0102;0,019;0,0258;0,0319;0,059;0,0725;0,1925;0,1675;0,3905;0,0999;0,81;0,0901;5;35;17,90;3,332;0,0001;7,30
24 ;801D;14609;0,1383;0,0719;0,1193;0,2381;0,2903;0,1336;0,0084;0,5423;0,4577;0,00;0,00;0,00;0,0023;0,0021;0,0012;0,0029;0,0019;0,0163;0,0249;0,0443;0,0496;0,0632;0,0763;0,201;0,1841;0,3299;0,1113;0,7981;0,0905;4;30;14,40;2,612;0,0011;6,30
24 ;801E;5051;0,2388;0,1121;0,1625;0,3094;0,1338;0,042;0,0014;0,565;0,435;0,00;0,00;0,00;0,0004;0,0006;0,0014;0,003;0,002;0,015;0,0206;0,0507;0,0521;0,0711;0,0917;0,2402;0,1748;0,2766;0,1123;0,8212;0,0665;3;24;11,00;1,872;0,0004;4,80
24 ;802A;3393;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5741;0,4259;0,00;0,00;0,0032;0,0018;0,0044;0,0035;0,0074;0,005;0,0348;0,041;0,0752;0,0587;0,0737;0,0828;0,2166;0,1706;0,2213;0,1948;0,7351;0,0702;3;26;11,20;1,935;0,0002;5,50
24 ;802B;2048;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4839;0,5161;0,00;0,00;0,0005;0,001;0,002;0,0015;0,0073;0,0054;0,0215;0,0332;0,0708;0,0693;0,0713;0,0845;0,2002;0,1704;0,2612;0,1975;0,7301;0,0724;3;23;10,60;1,679;0,0001;4,80
24 ;802C;3213;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5251;0,4749;0,00;0,00;0,0034;0,0078;0,009;0,0068;0,0159;0,0056;0,056;0,0613;0,0896;0,0741;0,0856;0,0859;0,1646;0,1341;0,2001;0,2949;0,6272;0,0779;2;20;8,00;1,314;0,0002;4,40
24 ;802D;1284;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5265;0,4735;0,00;0,00;0,0031;0,0093;0,0062;0,0101;0,0156;0,0086;0,0763;0,074;0,1044;0,0942;0,109;0,0864;0,1597;0,0981;0,1449;0,2636;0,6663;0,0701;1;14;4,70;0,90;0,0001;2,90
24 ;863Z;108;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4815;0,5185;0,00;0,00;0,8148;0,0556;0,0093;0,00;0,00;0,00;0,0833;0,0278;0,00;0,00;0,00;0,00;0,0093;0,00;0,00;0,1946;0,5838;0,2216;1;10;4,00;1,22;0,00;2,10
