IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
801D;M35.0;4;0,1379
802A;M35.0;5;0,2083
802A;Z49.1;5;0,2083
802C;C34.9;53;0,2746
802C;C25.0;11;0,057
802C;C16.9;8;0,0415
802C;C34.1;8;0,0415
802C;C45.0;6;0,0311
802C;C50.9;6;0,0311
802C;D36.1;5;0,0259
802C;I70.24;4;0,0207
802C;N48.8;4;0,0207
863Z;P94.8;14;0,2917
863Z;P07.11;6;0,125
863Z;P07.2;4;0,0833
961Z;Z94.0;343;0,2206
961Z;Z00.1;121;0,0778
961Z;Z88.8;116;0,0746
961Z;Z94.1;91;0,0585
961Z;I69.3;67;0,0431
961Z;A63.0;65;0,0418
961Z;I69.4;51;0,0328
961Z;Z94.4;46;0,0296
961Z;Z85.3;38;0,0244
961Z;Z94.81;37;0,0238
961Z;Z21;27;0,0174
961Z;Z49.2;26;0,0167
961Z;Q87.3;21;0,0135
961Z;Z93.1;21;0,0135
961Z;Z85.8;20;0,0129
961Z;I69.1;19;0,0122
961Z;Z94.80;19;0,0122
961Z;Q87.1;18;0,0116
961Z;Z85.0;17;0,0109
961Z;Z85.1;15;0,0096
961Z;Q87.0;14;0,009
961Z;Z88.0;12;0,0077
961Z;Z94.2;12;0,0077
961Z;Z96.2;12;0,0077
961Z;Z55;11;0,0071
961Z;Z88.1;11;0,0071
961Z;Q87.2;10;0,0064
961Z;Z94.88;10;0,0064
961Z;G09;9;0,0058
961Z;I69.0;9;0,0058
961Z;Q87.8;9;0,0058
961Z;Z85.7;9;0,0058
961Z;Z99.4;9;0,0058
961Z;T90.5;8;0,0051
961Z;Z98.2;8;0,0051
961Z;Z99.2;8;0,0051
961Z;Q87.5;6;0,0039
961Z;Z85.4;6;0,0039
961Z;Z85.5;6;0,0039
961Z;Z88.5;6;0,0039
961Z;Z96.64;6;0,0039
961Z;Z98.8;6;0,0039
961Z;Z01.9;5;0,0032
961Z;Z51.0;5;0,0032
961Z;Z51.1;5;0,0032
961Z;Z63;5;0,0032
961Z;Z87.6;5;0,0032
961Z;I25.20;4;0,0026
961Z;M99.84;4;0,0026
961Z;R69;4;0,0026
961Z;T74.1;4;0,0026
961Z;U55.10;4;0,0026
961Z;Z88.7;4;0,0026
961Z;Z93.0;4;0,0026
961Z;Z93.2;4;0,0026
961Z;Z95.80;4;0,0026
961Z;Z96.65;4;0,0026
A15D;C90.00;20;1,00
