ID_MDC;ID_Partition;ID_DRG;ID_Text
-1 ;O;901A;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter komplizierender Konstellation oder Strahlentherapie oder endovaskulärer Implantation von Stent-Prothesen an der Aorta oder IntK > 392 / 368 / - Aufwandspunkte
-1 ;O;901B;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne Strahlentherapie, ohne endovaskulärer Implantation von Stent-Prothesen an der Aorta, ohne IntK > 392 / 368 / - Aufwandsp., mit hochkomplexer OR-Prozedur oder komplizierender Konstellation
-1 ;O;901C;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit komplexer OR-Prozedur oder anderem Eingriff an Kopf und Wirbelsäule oder Alter < 1 Jahr oder bei Para- / Tetraplegie
-1 ;O;901D;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne Strahlentherapie, ohne IntK > 392 / 368 / - Punkte, ohne hochkomplexe oder komplexe OR-Prozedur, Alter > 0 Jahre, außer bei Para- / Tetraplegie
-1 ;O;902Z;Nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose
-1 ;M;960Z;Nicht gruppierbar
-1 ;M;961Z;Unzulässige Hauptdiagnose
-1 ;M;962Z;Unzulässige Kodierung einer Sectio caesarea
-1 ;M;963Z;Neonatale Diagnose unvereinbar mit Alter oder Gewicht
00 ;O;A01A;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation
00 ;O;A01B;Lebertransplantation ohne kombinierte Dünndarmtransplantation mit Beatmung > 59 und < 180 Stunden oder mit Transplantatabstoßung oder mit kombinierter Nierentransplantation oder Alter < 6 Jahre
00 ;O;A01C;Lebertransplantation ohne kombinierte Dünndarmtransplantation, ohne Beatmung > 59 Stunden, ohne Transplantatabstoßung, ohne kombinierte Nierentransplantation, Alter > 5 Jahre
00 ;O;A02Z;Transplantation von Niere und Pankreas
00 ;O;A03A;Lungentransplantation mit Beatmung > 179 Stunden
00 ;O;A03B;Lungentransplantation ohne Beatmung > 179 Stunden
00 ;O;A04A;Knochenmarktransplantation / Stammzelltransfusion, allogen, mit zweiter Knochenmarktransplantation / Stammzelltransfusion im selben Aufenthalt
00 ;O;A04B;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom oder mit Graft-versus-host-Krankheit Grad III und IV, mit Gabe bestimmter Stammzellen oder Alter < 16 Jahre, mit bestimmter Entnahme oder Stammzellboost
00 ;O;A04C;Knochenmarktransplantation / Stammzelltransfusion, allogen, < 16 J., od. GVHD Grad III/IV od. auß. b. Plasmozytom, mit Gabe best. Stammz. od. GVHD III/IV od. HLA-versch., mit best. Entn. od. SZ-Boost, od. m. intensivm. Komplexbeh. > 1764 / 1932 / 2760 P.
00 ;O;A04D;Knochenmarktransplantation / Stammzelltransfusion, allogen, mit Graft-versus-host-Krankheit Grad III und IV, oder außer bei Plasmozytom, HLA-verschieden oder mit Komplexbehandlung bei multiresistenten Erregern
00 ;O;A04E;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom
00 ;O;A04F;Knochenmarktransplantation / Stammzelltransfusion, allogen, bei Plasmozytom, ohne Graft-versus-host-Krankheit Grad III und IV, Alter > 15 Jahre
00 ;O;A05A;Herztransplantation mit Beatmung > 179 Stunden oder intensivmedizinischer Komplexbehandlung > 2646 / 2484 / - Aufwandspunkte
00 ;O;A05B;Herztransplantation ohne Beatmung > 179 Stunden, ohne intensivmedizinische Komplexbehandlung > 2646 / 2484 / - Aufwandspunkte
00 ;O;A06A;Beatmung > 1799 Stunden mit intensivmedizinischer Komplexbehandlung > 2940 / 3680 / 5520 Aufwandspunkte oder mit hochkomplexem Eingriff
00 ;O;A06B;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 2940 / 3680 / 5520 Aufwandspunkte
00 ;O;A06C;Beatmung > 1799 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, ohne intensivmedizinische Komplexbehandlung > 2940 / 5520 / - Aufwandspunkte
00 ;O;A07A;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma und int. Komplexbeh. > 3920 / 3680 / 3680 P. oder mit hochkompl. oder dreizeitigem Eingr.
00 ;O;A07B;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Aufwandspunkte, mit kompl. OR-Proz. und kompliz. Konst. od. mit Polytrauma oder Alter < 16 J. oder intensivmed. Komplexbeh. > - / 3220 / - Punkte
00 ;O;A07C;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Punkte, mit komplexer OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre oder mit intensivmedizinischer Komplexbehandlung > 2352 / 1932 / 2484 Punkte
00 ;O;A07D;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, mit intensivmedizinischer Komplexbehandlung > 1176 / 1104 / 2208 und < 2353 / 1933 / 2209 Aufwandspunkte, mit komplexer Diagnose oder komplizierender Konstellation
00 ;O;A07E;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 / 2208 Aufwandspunkte, ohne komplexe Diagnose, ohne komplizierende Konstellation
00 ;O;A09A;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352/1932/2208 P., mit hochkomplexem Eingriff oder kompl. OR-Proz. und Alter < 16 Jahre, mit int. Komplexbeh. > 1764/1932/- P. oder mit sehr kompl. Eingr. und int. Komplexbeh. > -/2208/- P.
00 ;O;A09B;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352 / 1932 / 2208 P., mit angeb. Fehlbild. od. Tumorerkr., Alter < 3 J. oder mit hochkompl. Eingr. oder mit kompl. OR-Proz. oder int. Komplexbeh. > 1764 / 1932 / - P. und Alter < 16 Jahre
00 ;O;A09C;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352 / 1932 / 2208 P., mit komplexer OR-Prozedur oder Polytrauma oder int. Komplexbeh. > 1754 / 1656 / 2208 P. oder mit komplizierender Konstellation oder Alter < 16 Jahre
00 ;O;A09D;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1470 / 1380 / 1656 und < 1765 / 1657 / 2209 Aufwandspunkte
00 ;O;A09E;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, mit intensivmedizinischer Komplexbehandlung > 1176 / 1104 / 1380 u. < 1471 / 1381 / 1657 Punkte, mit komplexer Diagnose oder Prozedur
00 ;O;A09F;Beatmung > 499 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne komplizierende Konstellation, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 / 1380 Aufwandspunkte, ohne komplexe Diagnose oder Prozedur
