IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
901D;D17.7;7;0,037
901D;I50.13;5;0,0265
901D;R31;4;0,0212
902Z;R15;17;0,1753
961Z;P95;7;1,00
A13F;I21.0;5;0,50
A15D;C90.30;9;0,5625
A15D;C90.00;7;0,4375
A42C;C90.00;4;0,3636
B04C;I65.2;108;0,9643
B04D;I65.2;169;0,9602
B04D;I65.3;7;0,0398
B05Z;G56.0;130;0,9848
B09Z;S02.3;111;0,7929
B09Z;S02.1;10;0,0714
B09Z;S02.0;4;0,0286
B09Z;S02.7;4;0,0286
B15Z;C79.3;46;0,5823
B15Z;C71.1;8;0,1013
B15Z;C71.9;8;0,1013
B15Z;C71.8;5;0,0633
B16Z;C79.3;66;0,6667
B16Z;C71.2;9;0,0909
B16Z;C71.1;7;0,0707
B16Z;C71.9;5;0,0505
B16Z;C71.8;4;0,0404
B17C;G90.8;5;0,8333
B17D;G50.0;52;0,327
B17D;G90.8;30;0,1887
B17D;G56.0;8;0,0503
B17D;G57.5;8;0,0503
B17D;D36.1;6;0,0377
B17D;G51.0;5;0,0314
B17D;G56.2;5;0,0314
B17D;T85.1;5;0,0314
B17D;G56.1;4;0,0252
B17D;S02.7;4;0,0252
B17D;S64.4;4;0,0252
B17E;G56.2;23;0,3239
B17E;G57.6;14;0,1972
B17E;S02.3;8;0,1127
B17E;G57.5;7;0,0986
B17E;G56.0;4;0,0563
B17E;T85.1;4;0,0563
B18Z;T85.1;20;0,1504
B18Z;T85.0;12;0,0902
B18Z;G54.4;9;0,0677
B18Z;G96.1;8;0,0602
B18Z;M53.1;8;0,0602
B18Z;G97.80;7;0,0526
B18Z;D36.1;6;0,0451
B18Z;D32.1;4;0,0301
B18Z;D43.4;4;0,0301
B18Z;G06.1;4;0,0301
B18Z;G54.6;4;0,0301
B18Z;G62.9;4;0,0301
B18Z;G82.49;4;0,0301
B20B;D32.0;27;0,3293
B20B;C79.3;22;0,2683
B20B;C71.1;9;0,1098
B20B;C71.3;4;0,0488
B20D;S06.5;11;0,4583
B20E;G91.20;9;0,4091
B20F;S06.5;26;0,5778
B20F;I62.02;6;0,1333
B47B;R52.2;10;0,625
B61B;C79.5;5;0,1613
B61B;G95.84;4;0,129
B63Z;I67.88;37;0,50
B63Z;G30.1;8;0,1081
B63Z;F03;7;0,0946
B63Z;G30.8;4;0,0541
B64Z;F05.1;9;0,3913
B64Z;F05.9;8;0,3478
B66D;C79.3;30;0,2459
B66D;C71.1;17;0,1393
B66D;C71.2;15;0,123
B66D;C71.9;15;0,123
B66D;C71.8;12;0,0984
B66D;C71.3;8;0,0656
B66D;D33.3;5;0,041
B66D;C71.4;4;0,0328
B67A;G20.21;18;0,6923
B67A;G20.20;4;0,1538
B67B;G20.11;35;0,4861
B67B;G20.10;19;0,2639
B67B;G20.90;8;0,1111
B67B;G20.00;4;0,0556
B68C;G37.8;5;0,8333
B68D;G35.11;27;0,4091
B68D;G35.31;14;0,2121
B68D;G35.21;10;0,1515
B68D;G35.9;5;0,0758
B69D;G45.92;40;0,2581
B69D;G45.02;30;0,1935
B69D;G45.82;30;0,1935
B69D;I65.2;19;0,1226
B69D;G45.89;7;0,0452
B69D;G45.99;5;0,0323
B70F;I63.8;66;0,3646
B70F;I63.5;49;0,2707
B70F;I63.9;21;0,116
B70F;I63.4;19;0,105
B70F;I63.3;8;0,0442
B70F;I64;6;0,0331
B70I;I64;18;0,3333
B70I;I63.8;7;0,1296
B70I;I63.9;6;0,1111
B70I;I61.9;4;0,0741
B71C;G60.3;11;0,6111
B71D;M53.1;272;0,4066
B71D;G51.0;83;0,1241
B71D;E11.41;69;0,1031
B71D;M54.10;68;0,1016
B71D;M54.12;39;0,0583
B71D;G54.8;15;0,0224
B71D;E11.40;14;0,0209
B71D;M53.0;12;0,0179
B71D;E10.41;11;0,0164
B71D;G62.9;11;0,0164
B71D;M54.19;10;0,0149
B71D;M89.07;7;0,0105
B71D;G54.4;6;0,009
B71D;M54.13;6;0,009
B71D;M89.04;5;0,0075
B71D;G50.0;4;0,006
B71D;G57.3;4;0,006
B75Z;R56.8;10;0,625
B75Z;R56.0;6;0,375
B76G;G40.3;13;0,3421
B76G;G40.2;8;0,2105
B76G;G40.9;8;0,2105
B76G;G40.1;4;0,1053
B77Z;R51;26;0,3421
B77Z;G43.0;8;0,1053
B77Z;G43.9;8;0,1053
B77Z;G43.1;7;0,0921
B77Z;G44.2;5;0,0658
B77Z;G97.1;5;0,0658
B77Z;G43.2;4;0,0526
B77Z;G43.8;4;0,0526
B77Z;G44.8;4;0,0526
B78A;S06.6;5;0,50
B78B;S06.5;9;0,50
B78B;G93.6;4;0,2222
B78B;S06.9;4;0,2222
B79Z;S02.3;9;0,2727
B79Z;S02.8;8;0,2424
B79Z;R40.0;7;0,2121
B79Z;S02.0;4;0,1212
B80Z;S06.0;155;0,9748
B80Z;Z03.3;4;0,0252
B81B;B02.2;73;0,5214
B81B;R29.6;19;0,1357
B81B;R20.2;7;0,05
B81B;R26.8;6;0,0429
B81B;G83.2;4;0,0286
B82Z;G58.0;22;0,9565
B85B;I67.3;6;0,60
B85D;I67.3;15;0,3333
B85D;G91.29;6;0,1333
B85D;G91.20;5;0,1111
B85D;G25.81;4;0,0889
C01B;H16.0;25;0,3846
C01B;H25.1;8;0,1231
C02B;H44.5;24;0,4528
C03A;H33.0;109;0,21
C03A;H35.3;93;0,1792
C03A;H35.8;92;0,1773
C03A;H43.1;34;0,0655
C03A;H33.2;32;0,0617
C03A;H35.2;28;0,0539
C03A;H33.4;25;0,0482
C03A;H25.9;22;0,0424
C03A;H33.5;20;0,0385
C03A;H25.1;14;0,027
C03A;H25.8;11;0,0212
C03A;E14.30;5;0,0096
C03A;H35.6;5;0,0096
C03A;H33.3;4;0,0077
C03A;H43.2;4;0,0077
C03B;H35.3;809;0,5717
C03B;H25.1;149;0,1053
C03B;H43.1;88;0,0622
C03B;H33.0;79;0,0558
C03B;H25.8;62;0,0438
C03B;H35.8;28;0,0198
C03B;H33.2;17;0,012
C03B;H26.8;16;0,0113
C03B;E11.30;13;0,0092
C03B;H27.1;13;0,0092
C03B;H43.2;12;0,0085
C03B;H25.2;10;0,0071
C03B;H33.4;10;0,0071
C03B;H26.2;9;0,0064
C03B;E10.30;8;0,0057
C03B;H26.9;8;0,0057
C03B;H43.3;8;0,0057
C03B;H43.8;7;0,0049
C03B;E14.30;6;0,0042
C03B;H25.0;6;0,0042
C03B;H35.2;6;0,0042
C03B;H27.8;4;0,0028
C03B;H33.3;4;0,0028
C03B;H34.8;4;0,0028
C03B;H35.6;4;0,0028
C03B;H40.5;4;0,0028
C03C;H33.0;503;0,3262
C03C;H35.3;287;0,1861
C03C;H33.2;185;0,12
C03C;H35.8;173;0,1122
C03C;H33.5;97;0,0629
C03C;H33.4;82;0,0532
C03C;H43.1;66;0,0428
C03C;H35.6;19;0,0123
C03C;H35.2;14;0,0091
C03C;E10.30;12;0,0078
C03C;E11.30;12;0,0078
C03C;E14.30;9;0,0058
C03C;H33.3;8;0,0052
C03C;H43.8;7;0,0045
C03C;H27.0;6;0,0039
C03C;H34.8;5;0,0032
C03C;H43.2;5;0,0032
C03C;H27.1;4;0,0026
C03C;H31.4;4;0,0026
C03C;H40.5;4;0,0026
C03C;H43.3;4;0,0026
C03D;H35.3;1819;0,5546
C03D;H33.0;258;0,0787
C03D;H43.1;238;0,0726
C03D;H35.8;166;0,0506
C03D;H33.2;93;0,0284
C03D;H27.1;89;0,0271
C03D;H43.8;66;0,0201
C03D;H43.3;61;0,0186
C03D;H27.0;43;0,0131
C03D;E11.30;39;0,0119
C03D;H33.5;34;0,0104
C03D;H35.6;31;0,0095
C03D;T85.2;29;0,0088
C03D;H33.4;20;0,0061
C03D;E10.30;19;0,0058
C03D;H33.3;19;0,0058
C03D;E11.31;17;0,0052
C03D;H59.0;17;0,0052
C03D;H26.4;16;0,0049
C03D;H40.5;14;0,0043
C03D;H43.2;14;0,0043
C03D;H35.2;12;0,0037
C03D;H43.0;12;0,0037
C03D;H40.2;11;0,0034
C03D;H59.9;11;0,0034
C03D;H34.8;10;0,003
C03D;H25.1;8;0,0024
C03D;H44.0;8;0,0024
C03D;E14.30;7;0,0021
C03D;H44.1;7;0,0021
C03D;H25.8;6;0,0018
C03D;H35.1;6;0,0018
C03D;H35.5;6;0,0018
C03D;H35.0;5;0,0015
C03D;H59.8;5;0,0015
C03D;H27.8;4;0,0012
C03D;H44.7;4;0,0012
C04A;H18.5;61;0,6854
C04A;H25.1;7;0,0787
C04A;H18.1;4;0,0449
C04A;H25.8;4;0,0449
C04B;H18.5;289;0,4669
C04B;T86.83;73;0,1179
C04B;H18.6;65;0,105
C04B;H18.1;55;0,0889
C04B;H18.2;31;0,0501
C04B;H18.4;29;0,0468
C04B;H17.9;21;0,0339
C04B;H18.8;12;0,0194
C04B;H16.0;8;0,0129
C04B;H17.8;6;0,0097
C04B;H16.4;4;0,0065
C04B;H17.1;4;0,0065
C05Z;H04.5;116;0,6138
C05Z;H04.4;63;0,3333
C05Z;H04.3;5;0,0265
C06Z;H40.1;1355;0,8287
C06Z;H40.9;104;0,0636
C06Z;H40.5;34;0,0208
C06Z;H40.2;33;0,0202
C06Z;H40.8;28;0,0171
