IN_DRG;IN_CodeF;IN_Anzahl;IN_Prozent;IN_AnzahlN;IN_ProzentN
901D;I10.00;49;0,2593;53;0,0289
901D;N40;33;0,1746;36;0,0196
901D;Z92.1;30;0,1587;30;0,0164
901D;E87.6;28;0,1481;31;0,0169
901D;Z74.1;26;0,1376;26;0,0142
901D;N18.3;25;0,1323;28;0,0153
901D;D62;23;0,1217;25;0,0136
901D;Z92.2;22;0,1164;23;0,0125
901D;I10.90;22;0,1164;22;0,012
901D;R31;21;0,1111;22;0,012
901D;R33;20;0,1058;23;0,0125
901D;I48.0;19;0,1005;19;0,0104
901D;E11.90;17;0,0899;18;0,0098
901D;B96.2;17;0,0899;17;0,0093
901D;N39.0;15;0,0794;22;0,012
901D;I25.13;15;0,0794;16;0,0087
901D;R32;13;0,0688;14;0,0076
901D;Z74.0;13;0,0688;13;0,0071
901D;N13.3;12;0,0635;13;0,0071
901D;Z95.0;12;0,0635;13;0,0071
901D;I48.2;12;0,0635;12;0,0065
901D;K59.0;12;0,0635;12;0,0065
901D;N32.8;12;0,0635;12;0,0065
901D;I25.11;11;0,0582;11;0,006
901D;N35.8;11;0,0582;11;0,006
901D;R15;11;0,0582;11;0,006
901D;E79.0;10;0,0529;12;0,0065
901D;T81.0;10;0,0529;12;0,0065
901D;N08.3;10;0,0529;11;0,006
901D;B96.5;9;0,0476;10;0,0055
901D;C61;9;0,0476;10;0,0055
901D;E03.9;9;0,0476;10;0,0055
901D;I50.13;9;0,0476;9;0,0049
901D;R29.6;9;0,0476;9;0,0049
901D;E78.2;8;0,0423;11;0,006
901D;Z43.5;8;0,0423;10;0,0055
901D;I50.12;8;0,0423;9;0,0049
901D;B95.6;8;0,0423;8;0,0044
901D;E86;8;0,0423;8;0,0044
901D;I11.90;8;0,0423;8;0,0044
901D;I50.01;8;0,0423;8;0,0044
901D;R26.8;8;0,0423;8;0,0044
901D;R63.3;8;0,0423;8;0,0044
901D;Z95.5;8;0,0423;8;0,0044
901D;I48.1;7;0,037;8;0,0044
901D;R06.0;7;0,037;8;0,0044
901D;R11;7;0,037;8;0,0044
901D;R53;7;0,037;8;0,0044
901D;Z03.8;7;0,037;8;0,0044
901D;B95.2;7;0,037;7;0,0038
901D;E87.1;7;0,037;7;0,0038
901D;F03;7;0,037;7;0,0038
901D;G63.2;7;0,037;7;0,0038
901D;I11.00;7;0,037;7;0,0038
901D;N32.0;7;0,037;7;0,0038
901D;N30.0;6;0,0317;9;0,0049
901D;E11.20;6;0,0317;7;0,0038
901D;I35.0;6;0,0317;7;0,0038
901D;N35.9;6;0,0317;7;0,0038
901D;Z29.0;6;0,0317;7;0,0038
901D;Z95.1;6;0,0317;7;0,0038
901D;Z96.6;6;0,0317;7;0,0038
901D;D68.4;6;0,0317;6;0,0033
901D;E78.0;6;0,0317;6;0,0033
901D;E78.5;6;0,0317;6;0,0033
901D;I10.01;6;0,0317;6;0,0033
901D;I79.2;6;0,0317;6;0,0033
901D;N18.4;6;0,0317;6;0,0033
901D;N19;6;0,0317;6;0,0033
901D;Z85.4;5;0,0265;7;0,0038
901D;I25.12;5;0,0265;6;0,0033
901D;I69.3;5;0,0265;6;0,0033
901D;R77.80;5;0,0265;6;0,0033
901D;C64;5;0,0265;5;0,0027
901D;I10.91;5;0,0265;5;0,0027
901D;I27.28;5;0,0265;5;0,0027
901D;I34.0;5;0,0265;5;0,0027
901D;I50.9;5;0,0265;5;0,0027
901D;N39.41;5;0,0265;5;0,0027
901D;R42;5;0,0265;5;0,0027
