IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
901A;N17.93;33;0,0603
901A;N18.5;16;0,0293
901A;N17.83;14;0,0256
901A;J18.0;12;0,0219
901A;E86;7;0,0128
901A;J18.8;7;0,0128
901A;J18.9;7;0,0128
901A;J86.9;7;0,0128
901A;K70.3;7;0,0128
901A;A46;6;0,011
901A;C34.1;6;0,011
901A;C50.9;6;0,011
901A;I26.9;6;0,011
901A;I50.01;6;0,011
901A;N17.99;6;0,011
901A;M60.05;5;0,0091
901A;N17.82;5;0,0091
901A;N17.89;5;0,0091
901A;S32.89;5;0,0091
901A;C49.4;4;0,0073
901A;C50.4;4;0,0073
901A;C61;4;0,0073
901A;D59.3;4;0,0073
901A;E11.61;4;0,0073
901A;E87.1;4;0,0073
901A;K25.0;4;0,0073
901A;K65.0;4;0,0073
901A;M31.7;4;0,0073
901A;N17.92;4;0,0073
901A;S22.44;4;0,0073
901A;S27.0;4;0,0073
901B;I50.01;85;0,0289
901B;I50.14;71;0,0241
901B;N18.5;63;0,0214
901B;N17.93;53;0,018
901B;I48.0;51;0,0173
901B;N32.1;48;0,0163
901B;I50.13;46;0,0156
901B;C49.4;33;0,0112
901B;R55;32;0,0109
901B;D36.1;30;0,0102
901B;C67.8;29;0,0099
901B;I26.9;29;0,0099
901B;N39.0;27;0,0092
901B;C64;26;0,0088
901B;D18.08;26;0,0088
901B;I21.4;26;0,0088
901B;J18.0;26;0,0088
901B;I10.01;25;0,0085
901B;M31.3;25;0,0085
901B;N17.99;25;0,0085
901B;C34.1;24;0,0082
901B;J18.9;23;0,0078
901B;C50.9;22;0,0075
901B;E86;20;0,0068
901B;J18.1;20;0,0068
901B;J18.8;20;0,0068
901B;C34.3;18;0,0061
901B;J69.0;18;0,0061
901B;J44.19;17;0,0058
901B;C61;16;0,0054
901B;C50.8;15;0,0051
901B;C96.6;15;0,0051
901B;C20;14;0,0048
901B;D48.1;14;0,0048
901B;G51.0;14;0,0048
901B;I35.0;14;0,0048
901B;I48.1;14;0,0048
901B;M54.4;14;0,0048
901B;J20.9;13;0,0044
901B;J90;13;0,0044
901B;S06.0;13;0,0044
901B;C25.0;12;0,0041
901B;C34.9;12;0,0041
901B;D35.2;12;0,0041
901B;E11.91;12;0,0041
901B;E87.1;12;0,0041
901B;I20.0;12;0,0041
901B;I26.0;12;0,0041
901B;J22;12;0,0041
901B;J44.10;12;0,0041
901B;I80.28;11;0,0037
901B;L89.34;11;0,0037
