IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
-1 ;901A;547;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5667;0,4333;0,00;0,00;0,0073;0,00;0,00;0,00;0,0018;0,0037;0,0165;0,0165;0,0548;0,0475;0,0567;0,0786;0,2468;0,2084;0,2614;0,1138;0,7323;0,1539;7;43;22,80;5,729;0,00;9,30
-1 ;901B;2941;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5087;0,4913;0,00;0,00;0,0007;0,0014;0,0024;0,0024;0,0044;0,001;0,0184;0,0279;0,0527;0,0564;0,0687;0,0925;0,222;0,1778;0,2713;0,1101;0,7744;0,1156;6;38;20,20;4,098;0,0002;8,30
-1 ;901C;1227;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4963;0,5037;0,00;0,00;0,0383;0,0008;0,0008;0,00;0,00;0,0024;0,009;0,0326;0,0448;0,0424;0,0456;0,0562;0,1736;0,1597;0,3936;0,0978;0,7896;0,1126;5;33;17,60;3,188;0,0001;7,00
-1 ;901D;23018;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5421;0,4579;0,00;0,00;0,00;0,0024;0,002;0,0027;0,0055;0,0031;0,0277;0,0308;0,0589;0,0559;0,0677;0,0807;0,2115;0,1712;0,2799;0,1151;0,7859;0,099;3;27;12,60;2,184;0,0017;5,80
-1 ;902Z;5734;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4883;0,5117;0,00;0,00;0,0021;0,0044;0,0051;0,0037;0,0045;0,0024;0,0335;0,0403;0,0877;0,0675;0,0762;0,0923;0,2302;0,1528;0,1974;0,1842;0,7365;0,0794;2;23;9,60;1,563;0,0004;5,30
-1 ;960Z;86;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6047;0,3372;0,0581;0,3837;0,1047;0,0233;0,00;0,00;0,0116;0,00;0,2093;0,1395;0,0698;0,0116;0,00;0,0233;0,0116;0,00;0,0116;0,00;1,00;0,00;;;5,80;;0,00;11,10
-1 ;961Z;207;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,57;0,4251;0,0048;0,57;0,00;0,0193;0,0483;0,0242;0,0531;0,0097;0,0338;0,0048;0,0145;0,0242;0,0097;0,029;0,0435;0,0483;0,0676;0,00;1,00;0,00;;;9,00;;0,00;19,40
-1 ;962Z;4;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,25;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;4,80;;0,00;1,30
-1 ;963Z;48;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4375;0,5625;0,00;0,00;0,7917;0,0208;0,00;0,00;0,0417;0,00;0,0417;0,1042;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2308;0,5275;0,2418;1;15;5,30;1,131;0,00;3,30
00 ;A01A;53;0,00;0,00;0,00;0,0189;0,0189;0,1132;0,8491;0,6415;0,3585;0,00;0,00;0,0189;0,0755;0,0755;0,00;0,0189;0,00;0,00;0,0566;0,1698;0,1321;0,2075;0,1321;0,1132;0,00;0,00;0,0316;0,5579;0,4105;14;64;39,70;28,525;0,00;14,00
00 ;A01B;199;0,00;0,00;0,00;0,005;0,0653;0,3618;0,5678;0,6231;0,3769;0,00;0,00;0,0603;0,0503;0,0352;0,005;0,0151;0,0101;0,0704;0,0905;0,1859;0,0854;0,1558;0,1508;0,0854;0,00;0,00;0,0562;0,7453;0,1985;11;55;30,80;17,69;0,00;10,90
00 ;A01C;270;0,0037;0,00;0,0074;0,0296;0,2111;0,4926;0,2556;0,7037;0,2963;0,00;0,00;0,00;0,00;0,00;0,0148;0,0148;0,0074;0,0407;0,0407;0,1593;0,1741;0,2296;0,2074;0,1111;0,00;0,00;0,0126;0,8491;0,1384;7;43;23,10;11,52;0,00;8,30
00 ;A02Z;73;0,0137;0,0411;0,0548;0,1644;0,4658;0,2192;0,0411;0,5068;0,4932;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0548;0,4247;0,2055;0,1781;0,1096;0,0274;0,00;0,00;0,00;0,00;0,8111;0,1889;7;40;21,60;10,535;0,00;6,00
00 ;A03A;29;0,00;0,00;0,00;0,00;0,1724;0,2414;0,5862;0,5517;0,4483;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1724;0,1034;0,2069;0,1379;0,1379;0,1724;0,069;0,00;0,00;0,0698;0,6744;0,2558;13;59;42,10;30,449;0,00;11,60
00 ;A03B;154;0,00;0,00;0,013;0,0519;0,1948;0,50;0,2403;0,5455;0,4545;0,00;0,00;0,00;0,00;0,00;0,00;0,026;0,0065;0,0455;0,0779;0,1883;0,1429;0,3052;0,1753;0,0325;0,00;0,00;0,037;0,8148;0,1481;8;44;26,30;15,803;0,00;6,60
00 ;A04A;20;0,00;0,00;0,00;0,00;0,00;0,20;0,80;0,55;0,45;0,00;0,05;0,05;0,00;0,25;0,10;0,10;0,05;0,05;0,00;0,05;0,10;0,05;0,05;0,05;0,05;0,00;0,00;1,00;0,00;;;111,90;;0,00;55,70
00 ;A04B;11;0,00;0,00;0,00;0,00;0,00;0,3636;0,6364;0,4545;0,5455;0,00;0,00;0,00;0,00;0,00;0,2727;0,4545;0,00;0,1818;0,00;0,00;0,0909;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,50;14;64;46,80;31,415;0,00;10,30
00 ;A04C;296;0,0236;0,00;0,00;0,0169;0,1081;0,4662;0,3851;0,6318;0,3682;0,00;0,00;0,0304;0,1284;0,1014;0,2297;0,2432;0,0507;0,0372;0,0203;0,0236;0,0101;0,0338;0,0439;0,0473;0,00;0,00;0,0025;0,7532;0,2443;19;78;48,70;28,096;0,00;12,00
00 ;A04D;576;0,00;0,00;0,00;0,00;0,0469;0,4705;0,4826;0,6198;0,3802;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0087;0,1076;0,0816;0,1528;0,1128;0,1528;0,1875;0,1927;0,0035;0,00;0,0013;0,768;0,2307;13;61;39,20;18,577;0,00;9,60
00 ;A04E;1402;0,0014;0,00;0,00;0,0136;0,1334;0,5742;0,2775;0,5884;0,4116;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0121;0,0785;0,0628;0,1412;0,1277;0,1762;0,1833;0,204;0,0143;0,00;0,0012;0,857;0,1418;11;55;34,80;15,986;0,0001;7,90
00 ;A04F;136;0,00;0,00;0,00;0,00;0,1324;0,3897;0,4779;0,6471;0,3529;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0147;0,2868;0,1985;0,2721;0,1691;0,0588;0,00;0,00;0,007;0,951;0,042;10;50;32,40;14,053;0,00;6,60
