IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
901D;G93.2;14;0,1296
901D;H46;8;0,0741
901D;Z49.1;8;0,0741
902Z;D36.1;8;0,1013
902Z;Q85.0;8;0,1013
902Z;M35.0;6;0,0759
902Z;Q85.1;6;0,0759
902Z;I78.0;4;0,0506
961Z;Z94.0;399;0,2112
961Z;Z00.1;129;0,0683
961Z;Z94.81;105;0,0556
961Z;Z88.8;103;0,0545
961Z;Z96.2;101;0,0535
961Z;I69.3;76;0,0402
961Z;Z85.3;70;0,0371
961Z;A63.0;65;0,0344
961Z;Z94.4;43;0,0228
961Z;Z94.80;40;0,0212
961Z;I69.4;35;0,0185
961Z;Z49.2;34;0,018
961Z;Z88.0;29;0,0154
961Z;Q87.1;27;0,0143
961Z;Z01.9;24;0,0127
961Z;Z85.8;22;0,0116
961Z;Z85.0;21;0,0111
961Z;Q87.8;18;0,0095
961Z;Z95.4;18;0,0095
961Z;Z95.81;17;0,009
961Z;Z01.6;15;0,0079
961Z;Z93.1;15;0,0079
961Z;Q87.2;14;0,0074
961Z;R69;13;0,0069
961Z;Z85.7;13;0,0069
961Z;Z94.2;13;0,0069
961Z;Z96.6;13;0,0069
961Z;I69.1;12;0,0064
961Z;Z87.4;12;0,0064
961Z;Z87.8;12;0,0064
961Z;Z88.1;12;0,0064
961Z;Z88.6;12;0,0064
961Z;M99.84;11;0,0058
961Z;Z96.0;11;0,0058
961Z;Z88.4;10;0,0053
961Z;Q87.0;9;0,0048
961Z;Z91.0;9;0,0048
961Z;Z98.2;9;0,0048
961Z;Q87.3;8;0,0042
961Z;Q87.5;8;0,0042
961Z;Z04.9;8;0,0042
961Z;Z63;8;0,0042
961Z;Z98.8;8;0,0042
961Z;M99.33;7;0,0037
961Z;Z85.1;7;0,0037
961Z;Z85.4;7;0,0037
961Z;Z88.7;7;0,0037
961Z;Z94.88;7;0,0037
961Z;Z51.1;6;0,0032
961Z;Z89.5;6;0,0032
961Z;Z94.1;6;0,0032
961Z;G09;5;0,0026
961Z;I25.20;5;0,0026
961Z;T90.5;5;0,0026
961Z;Z01.7;5;0,0026
961Z;Z21;5;0,0026
961Z;Z47.0;5;0,0026
961Z;Z95.0;5;0,0026
961Z;U55.10;4;0,0021
961Z;Z85.5;4;0,0021
961Z;Z87.1;4;0,0021
961Z;Z90.4;4;0,0021
961Z;Z91.1;4;0,0021
963Z;P07.3;7;0,1707
963Z;P52.4;5;0,122
963Z;P59.9;5;0,122
963Z;P07.12;4;0,0976
963Z;P94.8;4;0,0976
A42C;C90.00;15;0,3488
A42C;Z52.01;7;0,1628
A42C;C90.30;4;0,093
A60C;T86.81;73;0,9012
A60C;T86.3;4;0,0494
A60D;T86.81;31;0,8158
A61B;T86.03;358;0,4366
A61B;T86.04;338;0,4122
A61B;T86.02;77;0,0939
A61B;T86.01;27;0,0329
A61B;T86.09;16;0,0195
A61B;T86.00;4;0,0049
A90A;R26.8;8198;0,2598
A90A;R26.2;1009;0,032
A90A;I63.5;556;0,0176
A90A;S72.10;508;0,0161
A90A;R26.3;495;0,0157
A90A;R29.6;475;0,0151
A90A;S72.01;463;0,0147
A90A;R52.2;386;0,0122
A90A;M48.06;372;0,0118
A90A;I63.4;350;0,0111
A90A;I50.13;326;0,0103
A90A;I50.01;294;0,0093
A90A;M17.1;283;0,009
A90A;G30.1;281;0,0089
A90A;M54.4;278;0,0088
A90A;F03;258;0,0082
A90A;M16.1;254;0,008
A90A;R26.0;241;0,0076
A90A;S32.89;237;0,0075
A90A;I63.3;236;0,0075
A90A;G30.8;218;0,0069
A90A;M79.10;216;0,0068
A90A;I63.9;210;0,0067
A90A;M54.16;205;0,0065
A90A;M62.30;203;0,0064
A90A;R42;202;0,0064
A90A;G81.1;195;0,0062
A90A;G20.10;194;0,0061
A90A;G20.11;185;0,0059
A90A;I63.8;185;0,0059
A90A;S42.21;183;0,0058
A90A;M96.88;180;0,0057
A90A;I10.90;168;0,0053
A90A;M54.5;168;0,0053
A90A;F32.1;161;0,0051
A90A;G20.90;159;0,005
A90A;S72.11;159;0,005
A90A;I50.14;147;0,0047
A90A;I21.4;125;0,004
A90A;S42.22;124;0,0039
A90A;M15.9;123;0,0039
A90A;R53;122;0,0039
A90A;F45.41;121;0,0038
A90A;M47.26;121;0,0038
A90A;M17.0;115;0,0036
A90A;M17.9;115;0,0036
A90A;S42.3;115;0,0036
A90A;I67.88;112;0,0035
A90A;F01.3;111;0,0035
A90A;G81.0;111;0,0035
A90A;M80.08;109;0,0035
A90A;S32.01;109;0,0035
A90A;I64;107;0,0034
A90A;F06.7;104;0,0033
