IN_DRG;IN_CodeF;IN_Anzahl;IN_Prozent;IN_AnzahlN;IN_ProzentN
901D;G93.2;13;0,1204;13;0,0644
901D;H46;9;0,0833;9;0,0446
901D;I10.00;4;0,037;4;0,0198
901D;N18.5;4;0,037;4;0,0198
902Z;Q85.0;8;0,1013;8;0,0602
902Z;M35.0;6;0,0759;6;0,0451
902Z;D36.1;4;0,0506;4;0,0301
902Z;G40.8;4;0,0506;4;0,0301
902Z;I10.00;4;0,0506;4;0,0301
961Z;Z94.0;338;0,1789;341;0,1253
961Z;I10.90;60;0,0318;60;0,0221
961Z;I10.00;56;0,0296;58;0,0213
961Z;Z45.20;50;0,0265;50;0,0184
961Z;Z01.5;47;0,0249;47;0,0173
961Z;A63.0;44;0,0233;44;0,0162
961Z;R26.8;40;0,0212;40;0,0147
961Z;E11.90;39;0,0206;39;0,0143
961Z;Z85.3;37;0,0196;38;0,014
961Z;P07.3;34;0,018;34;0,0125
961Z;U51.02;28;0,0148;28;0,0103
961Z;I69.4;25;0,0132;25;0,0092
961Z;N18.9;21;0,0111;21;0,0077
961Z;U50.20;21;0,0111;21;0,0077
961Z;Z92.1;21;0,0111;21;0,0077
961Z;Z94.81;20;0,0106;23;0,0085
961Z;N18.3;20;0,0106;20;0,0074
961Z;N18.5;20;0,0106;20;0,0074
961Z;R47.0;19;0,0101;19;0,007
961Z;G81.0;18;0,0095;18;0,0066
961Z;Z94.80;14;0,0074;15;0,0055
961Z;R62.0;14;0,0074;14;0,0051
961Z;U50.10;14;0,0074;14;0,0051
961Z;G81.1;13;0,0069;14;0,0051
961Z;Z03.3;13;0,0069;13;0,0048
961Z;Z96.6;12;0,0064;13;0,0048
961Z;I48.0;12;0,0064;12;0,0044
961Z;I69.3;12;0,0064;12;0,0044
961Z;E03.9;11;0,0058;11;0,004
961Z;F06.7;11;0,0058;11;0,004
961Z;Z92.3;11;0,0058;11;0,004
961Z;Z96.0;11;0,0058;11;0,004
961Z;C79.5;10;0,0053;10;0,0037
961Z;I25.13;10;0,0053;10;0,0037
961Z;I48.2;10;0,0053;10;0,0037
961Z;I50.01;10;0,0053;10;0,0037
961Z;R11;10;0,0053;10;0,0037
961Z;R53;10;0,0053;10;0,0037
961Z;Z08.7;10;0,0053;10;0,0037
961Z;E78.0;9;0,0048;9;0,0033
