IC_CodeF;IC_Text;IC_ANZHDI;IC_ANZNDI;IC_AnzProzI
1-100;Klinische Untersuchung in Allgemeinanästhesie;0;0;1
1-204.0;Untersuchung des Liquorsystems: Messung des Hirndruckes;0;0;1
1-204.1;Untersuchung des Liquorsystems: Messung des lumbalen Liquordruckes;0;0;1
1-204.2;Untersuchung des Liquorsystems: Lumbale Liquorpunktion zur Liquorentnahme;0;0;1
1-204.5;Untersuchung des Liquorsystems: Liquorentnahme aus einem liegenden Katheter;0;0;1
1-205;Elektromyographie (EMG);0;0;1
1-206;Neurographie;0;0;1
1-207.0;Elektroenzephalographie (EEG): Routine-EEG (10/20 Elektroden);0;0;1
1-207.1;Elektroenzephalographie (EEG): Schlaf-EEG (10/20 Elektroden);0;0;1
1-207.2;Elektroenzephalographie (EEG): Video-EEG (10/20 Elektroden);0;0;1
1-207.x;Elektroenzephalographie (EEG): Sonstige;0;0;1
1-208.0;Registrierung evozierter Potentiale: Akustisch (AEP);0;0;1
1-208.1;Registrierung evozierter Potentiale: Früh-akustisch (FAEP/BERA);0;0;1
1-208.2;Registrierung evozierter Potentiale: Somatosensorisch (SSEP);0;0;1
1-208.3;Registrierung evozierter Potentiale: Früh-somatosensorisch (FSSEP);0;0;1
1-208.4;Registrierung evozierter Potentiale: Motorisch;0;0;1
1-208.6;Registrierung evozierter Potentiale: Visuell (VEP);0;0;1
1-208.7;Registrierung evozierter Potentiale: Kognitiv;0;0;1
1-208.8;Registrierung evozierter Potentiale: Otoakustische Emissionen;0;0;1
1-208.x;Registrierung evozierter Potentiale: Sonstige;0;0;1
1-20a.20;Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der Pharmakosensitivität mit quantitativer Testung;0;0;1
1-20c.0;Navigierte transkranielle Magnetstimulation (nTMS): Zur Identifizierung von Hirnarealen für die Motorik (Motormapping);0;0;1
1-20c.1;Navigierte transkranielle Magnetstimulation (nTMS): Zur Identifizierung von Hirnarealen für die Sprache (Speechmapping);0;0;1
1-20c.x;Navigierte transkranielle Magnetstimulation (nTMS): Sonstige;0;0;1
1-20c.y;Navigierte transkranielle Magnetstimulation (nTMS): N.n.bez.;0;0;1
1-242;Audiometrie;0;0;1
1-243;Phoniatrie;0;0;1
1-245;Rhinomanometrie;0;0;1
1-247;Olfaktometrie und Gustometrie;0;0;1
1-266.0;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Schrittmacher;0;0;1
1-266.1;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Kardioverter/Defibrillator (ICD);0;0;1
1-266.2;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Kipptisch-Untersuchung zur Abklärung von Synkopen;0;0;1
1-266.x;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Sonstige;0;0;1
1-266.y;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: N.n.bez.;0;0;1
1-273.1;Rechtsherz-Katheteruntersuchung: Oxymetrie;0;0;1
1-273.2;Rechtsherz-Katheteruntersuchung: Druckmessung mit Messung des Shuntvolumens;0;0;1
1-274.0;Transseptale Linksherz-Katheteruntersuchung: Druckmessung;0;0;1
1-274.1;Transseptale Linksherz-Katheteruntersuchung: Oxymetrie;0;0;1
1-274.3;Transseptale Linksherz-Katheteruntersuchung: Sondierung des Vorhofseptums;0;0;1
1-275.0;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie ohne weitere Maßnahmen;0;0;1
1-275.3;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie, Druckmessung und Ventrikulographie im linken Ventrikel, Druckmessung in der Aorta und Aortenbogendarstellung;0;0;1
1-275.5;Transarterielle Linksherz-Katheteruntersuchung: Koronarangiographie von Bypassgefäßen;0;0;1
1-276.1;Angiokardiographie als selbständige Maßnahme: Aortographie;0;0;1
1-279.0;Andere diagnostische Katheteruntersuchung an Herz und Gefäßen: Bestimmung des Herzvolumens und der Austreibungsfraktion;0;0;1
