IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;71;163
01;MDC 01 Krankheiten und Störungen des Nervensystems;107;5005
02;MDC 02 Krankheiten und Störungen des Auges;33;20394
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;56;101433
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;63;9995
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;148;27417
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;82;23223
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;39;3547
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;141;81346
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;48;13883
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;38;6828
11;MDC 11 Krankheiten und Störungen der Harnorgane;66;33712
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;15563
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;35;21318
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;26;53491
15;MDC 15 Neugeborene;42;44058
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;1807
17;MDC 17 Hämatologische und solide Neubildungen;51;2246
18A;MDC 18A HIV;7;0
18B;MDC 18B Infektiöse und parasitäre Krankheiten;21;2110
19;MDC 19 Psychische Krankheiten und Störungen;11;415
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;548
21A;MDC 21A Polytrauma;13;3
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;2096
22;MDC 22 Verbrennungen;10;31
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;15;1173
-1;Fehler-DRGs und sonstige DRGs;9;438
