IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
-1 ;901A;407;1;0;0;0;0;0,5725;0,4275;0;0;0;0;0;0;0,0049;0,0025;0,0147;0,0197;0,0663;0,0541;0,0835;0,086;0,2752;0,1499;0,2432;0,1501;0,736;0,1139;8;45;23,5;5,367;0;9,6
-1 ;901B;3022;1;0;0;0;0;0,5079;0,4921;0;0;0,003;0,0023;0,0026;0,0007;0,006;0,0017;0,0212;0,0225;0,0659;0,0566;0,0678;0,0887;0,2442;0,1615;0,2555;0,0985;0,7831;0,1184;6;39;20,4;4,035;0,0002;8,4
-1 ;901C;1221;1;0;0;0;0;0,4398;0,5602;0;0;0,0516;0,0016;0,0008;0,0008;0,0033;0,0025;0,0147;0,0213;0,0434;0,0369;0,0483;0,068;0,1818;0,1736;0,3514;0,1162;0,7427;0,1411;5;32;17,7;3,064;0,0001;6,8
-1 ;901D;21695;1;0;0;0;0;0,5353;0,4647;0;0;0;0,0024;0,0027;0,0025;0,0044;0,0027;0,0266;0,0294;0,0603;0,0556;0,0639;0,0755;0,2293;0,1719;0,273;0,1616;0,7413;0,0972;4;28;13,5;2,244;0,0016;5,9
-1 ;902Z;6942;1;0;0;0;0;0,4915;0,5085;0;0;0,002;0,003;0,003;0,0023;0,0035;0,0029;0,0275;0,0298;0,0631;0,055;0,0693;0,0827;0,2437;0,167;0,2452;0,2336;0,695;0,0714;3;25;11;1,618;0,0005;5,3
-1 ;960Z;83;1;0;0;0;0;0,5422;0,3012;0,1566;0,3494;0,2048;0,012;0,012;0;0,012;0,012;0,1325;0,1205;0,012;0,012;0;0,012;0,0482;0,0482;0,012;0;1;0;;;4;;0;5
-1 ;961Z;226;1;0;0;0;0;0,4956;0,5044;0;0,3894;0,0354;0,031;0,0177;0,0398;0,0221;0,0265;0,0177;0,0354;0,0575;0,0088;0,031;0,0354;0,0973;0,0619;0,0929;0;1;0;;;9,9;;0;17,4
-1 ;962Z;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0,6667;0,3333;0;0;0;0;0;0;0;0;1;0;;;3,7;;0;0,6
-1 ;963Z;44;1;0;0;0;0;0,5682;0,4318;0;0;0,8409;0,0227;0;0,0227;0;0;0,0227;0,0909;0;0;0;0;0;0;0;0,213;0,4074;0,3796;1;7;3,1;0,596;0;1,3
00 ;A01A;54;0;0;0;0;1;0,6111;0,3889;0;0;0,0926;0,0556;0,0185;0;0;0,0185;0,0556;0,037;0,2037;0,2037;0,0741;0,1852;0,0556;0;0;0,1101;0,4954;0,3945;17;71;44,3;34,449;0;14,4
00 ;A01B;165;0;0;0;0,0061;0,9939;0,5576;0,4424;0;0;0,0727;0,0606;0,0424;0,0364;0,0242;0,0061;0,0485;0,0606;0,1576;0,1273;0,1515;0,1394;0,0727;0;0;0,0702;0,6818;0,2479;11;55;30,3;18,172;0;10
00 ;A01C;272;0;0;0,0037;0,0404;0,9559;0,6654;0,3346;0;0;0;0;0;0,0147;0,011;0,0074;0,0441;0,0515;0,1324;0,1213;0,2647;0,2096;0,1434;0;0;0,0087;0,793;0,1983;6;35;20,8;9,819;0;5,8
00 ;A02Z;65;0,0462;0,0308;0,0308;0,2462;0,6462;0,6462;0,3538;0;0;0;0;0;0;0;0;0,0769;0,2462;0,3231;0,1538;0,1692;0,0154;0,0154;0;0;0,012;0,7831;0,2048;8;44;26,3;10,939;0;8,1
00 ;A03A;41;0;0;0;0,0732;0,9268;0,439;0,561;0;0;0;0;0;0;0,0488;0;0,0976;0,122;0,1463;0,1463;0,1951;0,2439;0;0;0;0,0323;0,6613;0,3065;13;60;40,4;32,453;0;12,2
