IM_MDC;IM_Text;IM_DRG_Anzahl;IM_Faelle_Anzahl
00;Prä-MDC;71;29075
01;MDC 01 Krankheiten und Störungen des Nervensystems;107;26913
02;MDC 02 Krankheiten und Störungen des Auges;33;11232
03;MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;56;13632
04;MDC 04 Krankheiten und Störungen der Atmungsorgane;63;35426
05;MDC 05 Krankheiten und Störungen des Kreislaufsystems;148;6561
06;MDC 06 Krankheiten und Störungen der Verdauungsorgane;82;31894
07;MDC 07 Krankheiten und Störungen an hepatobiliärem System und Pankreas;39;9364
08;MDC 08 Krankheiten und Störungen an Muskel-Skelett-System und Bindegewebe;141;27225
09;MDC 09 Krankheiten und Störungen an Haut, Unterhaut und Mamma;48;53921
10;MDC 10 Endokrine, Ernährungs- und Stoffwechselkrankheiten;38;13991
11;MDC 11 Krankheiten und Störungen der Harnorgane;66;41745
12;MDC 12 Krankheiten und Störungen der männlichen Geschlechtsorgane;27;3926
13;MDC 13 Krankheiten und Störungen der weiblichen Geschlechtsorgane;35;6816
14;MDC 14 Schwangerschaft, Geburt und Wochenbett;26;642
15;MDC 15 Neugeborene;42;281
16;MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;16;6608
17;MDC 17 Hämatologische und solide Neubildungen;51;40657
18A;MDC 18A HIV;7;2461
18B;MDC 18B Infektiöse und parasitäre Krankheiten;21;801
19;MDC 19 Psychische Krankheiten und Störungen;11;14667
20;MDC 20 Alkohol- und Drogengebrauch und alkohol- und drogeninduzierte psychische Störungen;6;79
21A;MDC 21A Polytrauma;13;1
21B;MDC 21B Verletzungen, Vergiftungen und toxische Wirkungen von Drogen und Medikamenten;15;1537
22;MDC 22 Verbrennungen;10;73
23;MDC 23 Faktoren, die den Gesundheitszustand beeinflussen, und andere Inanspruchnahme des Gesundheitswesens;15;8810
-1;Fehler-DRGs und sonstige DRGs;9;2044
