IN_DRG;IN_CodeF;IN_Anzahl;IN_Prozent;IN_AnzahlN;IN_ProzentN
901D;N18.5;11;0,125;11;0,0556
901D;T31.00;6;0,0682;7;0,0354
901D;I10.90;4;0,0455;4;0,0202
901D;M35.0;4;0,0455;4;0,0202
902Z;Q85.0;13;0,134;13;0,0833
902Z;R04.0;5;0,0515;7;0,0449
902Z;H65.3;5;0,0515;5;0,0321
902Z;A63.0;4;0,0412;4;0,0256
902Z;M35.0;4;0,0412;4;0,0256
902Z;Z85.3;4;0,0412;4;0,0256
902Z;Z95.81;4;0,0412;4;0,0256
961Z;Z94.0;258;0,1439;258;0,108
961Z;I10.00;54;0,0301;55;0,023
961Z;Z85.3;35;0,0195;35;0,0147
961Z;R26.8;34;0,019;35;0,0147
961Z;Z10;31;0,0173;31;0,013
961Z;Z94.4;31;0,0173;31;0,013
961Z;A63.0;30;0,0167;30;0,0126
961Z;Z94.81;26;0,0145;29;0,0121
961Z;E11.90;25;0,0139;25;0,0105
961Z;R47.0;24;0,0134;25;0,0105
961Z;G81.1;24;0,0134;24;0,0101
961Z;R62.0;23;0,0128;23;0,0096
961Z;N18.5;22;0,0123;22;0,0092
961Z;I69.3;20;0,0112;20;0,0084
961Z;I10.90;19;0,0106;19;0,008
961Z;Z95.81;18;0,01;18;0,0075
961Z;Z01.5;17;0,0095;17;0,0071
961Z;Z92.1;17;0,0095;17;0,0071
961Z;D56.1;16;0,0089;16;0,0067
961Z;R47.1;16;0,0089;16;0,0067
961Z;Z49.1;16;0,0089;16;0,0067
961Z;C79.5;15;0,0084;15;0,0063
961Z;F06.7;15;0,0084;15;0,0063
961Z;Z94.80;14;0,0078;14;0,0059
961Z;G81.0;13;0,0073;13;0,0054
961Z;U50.10;13;0,0073;13;0,0054
961Z;U50.20;13;0,0073;13;0,0054
961Z;Z95.0;12;0,0067;12;0,005
961Z;F43.2;11;0,0061;11;0,0046
961Z;U51.02;11;0,0061;11;0,0046
961Z;Z96.6;11;0,0061;11;0,0046
961Z;E66.00;10;0,0056;10;0,0042
961Z;I48.0;10;0,0056;10;0,0042
961Z;N18.3;9;0,005;10;0,0042
961Z;F83;9;0,005;9;0,0038
961Z;I25.13;9;0,005;9;0,0038
961Z;I48.2;9;0,005;9;0,0038
961Z;P07.3;9;0,005;9;0,0038
961Z;Z03.3;9;0,005;9;0,0038
961Z;Z96.0;9;0,005;9;0,0038
961Z;C25.0;8;0,0045;8;0,0034
961Z;E03.9;8;0,0045;8;0,0034
961Z;K76.0;8;0,0045;8;0,0034
961Z;N18.2;8;0,0045;8;0,0034
