hd_Pepp;hd_Code;hd_FaelleAnzahl;hd_FaelleAnteil
P002Z;F50.0;67;0,1772
P002Z;F90.1;32;0,0847
P002Z;F43.2;29;0,0767
P002Z;F32.2;25;0,0661
P002Z;F20.0;18;0,0476
P002Z;F32.1;18;0,0476
P002Z;F92.8;17;0,045
P002Z;F50.1;15;0,0397
P002Z;F43.1;12;0,0317
P002Z;F92.0;10;0,0265
P002Z;F94.1;10;0,0265
P002Z;F84.0;9;0,0238
P002Z;F92.9;9;0,0238
P002Z;F94.2;8;0,0212
P002Z;F50.2;7;0,0185
P002Z;F60.31;7;0,0185
P002Z;F91.2;7;0,0185
P002Z;F42.2;5;0,0132
P002Z;F20.1;4;0,0106
P002Z;F23.1;4;0,0106
P003A;F20.0;31;0,2138
P003A;F60.31;19;0,131
P003A;F25.0;14;0,0966
P003A;F33.2;11;0,0759
P003A;F05.1;6;0,0414
P003A;F72.1;5;0,0345
P003A;F32.2;4;0,0276
P003A;G30.1;4;0,0276
P003B;F20.0;58;0,2601
P003B;F25.0;20;0,0897
P003B;F05.1;13;0,0583
P003B;F60.31;13;0,0583
P003B;F25.2;8;0,0359
P003B;F33.2;8;0,0359
P003B;F31.4;6;0,0269
P003B;F32.2;6;0,0269
P003B;F33.3;6;0,0269
P003B;F07.8;5;0,0224
P003B;F06.3;4;0,0179
P003B;F10.4;4;0,0179
P003B;F25.1;4;0,0179
P003B;F31.2;4;0,0179
P003B;F43.2;4;0,0179
P003C;F20.0;61;0,2947
P003C;F33.2;19;0,0918
P003C;F25.0;18;0,087
P003C;F60.31;16;0,0773
P003C;F32.2;13;0,0628
P003C;F31.2;7;0,0338
P003C;F33.3;5;0,0242
P003C;F10.2;4;0,0193
PA01A;F71.1;291;0,5449
PA01A;F72.1;97;0,1816
PA01A;F84.0;40;0,0749
PA01A;F70.1;32;0,0599
PA01A;F84.1;29;0,0543
PA01A;F73.1;14;0,0262
PA01A;F79.1;7;0,0131
PA01B;F70.1;332;0,6385
PA01B;F84.5;43;0,0827
PA01B;F70.8;22;0,0423
PA01B;F79.1;22;0,0423
PA01B;F70.0;19;0,0365
PA01B;F71.8;12;0,0231
PA01B;F95.2;11;0,0212
PA01B;F71.0;10;0,0192
PA01B;F79.8;10;0,0192
PA01B;F79.9;10;0,0192
PA01B;F78.1;4;0,0077
PA02A;F11.2;2357;0,5897
PA02A;F19.2;804;0,2012
PA02A;F11.3;340;0,0851
PA02A;F10.2;202;0,0505
PA02A;F10.3;71;0,0178
PA02A;F19.3;47;0,0118
PA02A;F13.2;40;0,01
PA02A;F19.5;24;0,006
PA02A;F13.3;17;0,0043
PA02A;F12.2;12;0,003
PA02A;F15.2;11;0,0028
PA02A;F10.0;10;0,0025
PA02A;F11.5;9;0,0023
PA02A;F15.5;5;0,0013
PA02A;F19.0;5;0,0013
PA02A;F19.1;5;0,0013
PA02A;F14.2;4;0,001
PA02B;F19.2;1308;0,2608
PA02B;F10.2;1243;0,2479
PA02B;F11.2;1093;0,2179
PA02B;F10.3;241;0,0481
PA02B;F13.2;144;0,0287
PA02B;F19.5;130;0,0259
PA02B;F10.0;120;0,0239
PA02B;F12.2;91;0,0181
PA02B;F11.3;83;0,0166
PA02B;F14.2;81;0,0162
PA02B;F10.4;51;0,0102
PA02B;F19.3;50;0,01
PA02B;F19.0;44;0,0088
PA02B;F15.2;41;0,0082
PA02B;F13.3;35;0,007
PA02B;F12.5;25;0,005
PA02B;F15.5;25;0,005
PA02B;F11.0;17;0,0034
PA02B;F19.1;16;0,0032
PA02B;F11.1;15;0,003
PA02B;F10.1;13;0,0026
PA02B;F12.3;13;0,0026
PA02B;F10.7;11;0,0022
PA02B;F13.4;10;0,002
PA02B;F14.5;9;0,0018
PA02B;F10.5;8;0,0016
PA02B;F19.4;8;0,0016
PA02B;F13.1;7;0,0014
PA02B;F14.3;7;0,0014
PA02B;F15.1;7;0,0014
PA02B;F19.7;7;0,0014
PA02B;F12.1;6;0,0012
PA02B;F12.8;5;0,001
PA02B;F13.0;5;0,001
PA02B;F14.0;5;0,001
PA02B;F14.1;5;0,001
PA02B;F10.8;4;0,0008
PA02B;F15.0;4;0,0008
PA02B;F15.3;4;0,0008
PA02C;F10.2;7470;0,5771
PA02C;F10.3;1618;0,125
PA02C;F19.2;822;0,0635
PA02C;F10.0;424;0,0328
PA02C;F12.2;385;0,0297
PA02C;F13.2;333;0,0257
PA02C;F15.2;251;0,0194
PA02C;F10.4;226;0,0175
PA02C;F19.5;172;0,0133
PA02C;F11.2;155;0,012
PA02C;F12.5;137;0,0106
PA02C;F12.3;130;0,01
PA02C;F10.1;103;0,008
PA02C;F15.5;82;0,0063
PA02C;F10.9;78;0,006
PA02C;F13.3;75;0,0058
PA02C;F10.5;63;0,0049
PA02C;F15.3;61;0,0047
PA02C;F19.3;46;0,0036
PA02C;F10.7;38;0,0029
PA02C;F19.0;31;0,0024
PA02C;F12.1;26;0,002
PA02C;F19.1;23;0,0018
PA02C;F13.4;21;0,0016
PA02C;F15.1;16;0,0012
PA02C;F15.0;15;0,0012
PA02C;F10.8;14;0,0011
PA02C;F11.3;14;0,0011
PA02C;F12.8;14;0,0011
PA02C;F13.1;13;0,001
