kd_Pepp;kd_FaelleAnzahl;kd_SummePflegetage;kd_PflegetageMw;kd_PflegetageStd;kd_PflegetageHK;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK;kd_Degressionsendpunkt
P002Z;378;28000;74,0741;51,4309;0,5902;0,4101;0,5899;13,8889;2,8756;0;0;0;0,0106;0,0926;0,5344;0,3571;0,0053;0;0;0;0;0;0;0;0;458,09;138,37;0,768;1
P003A;145;12755;87,9655;72,3877;0,5486;0,5034;0,4966;43,9655;18,8102;0;0;0;0;0;0;0,0069;0,2483;0,2138;0,1862;0,1172;0,0276;0,0276;0,0552;0,069;0,0483;306,09;154,08;0,6652;1
P003B;223;12513;56,1121;43,0886;0,5656;0,5561;0,4439;47,2063;18,4967;0;0;0;0;0;0;0;0,2197;0,148;0,2063;0,1076;0,0807;0,0493;0,0987;0,0314;0,0583;288,52;112,44;0,7196;19
P003C;207;10164;49,1014;31,9211;0,606;0,5314;0,4686;39,4106;16,092;0;0;0;0;0;0;0,0048;0,314;0,2609;0,1981;0,0725;0,029;0,0242;0,0386;0,0386;0,0193;264,93;91,53;0,7432;19
PA01A;534;12846;24,0562;24,0539;0,5;0,6891;0,3109;38,6011;14,2915;0;0;0;0;0;0;0,0056;0,3577;0,1442;0,2285;0,118;0,0618;0,0543;0,0281;0;0,0019;240,18;77,54;0,7559;10
PA01B;520;10739;20,6519;21,5373;0,4895;0,6077;0,3923;35,3596;14,9438;0;0;0;0;0;0;0;0,4731;0,1673;0,1558;0,0769;0,0577;0,0327;0,0231;0,0096;0,0038;232,3;67,24;0,7755;5
PA02A;3997;67505;16,8889;12,4623;0,5754;0,7676;0,2324;37,3478;8,4525;0;0;0;0;0;0;0,0005;0,1781;0,4543;0,28;0,0593;0,0198;0,0063;0,0015;0,0003;0;261,41;55,59;0,8246;14
PA02B;5015;79879;15,928;14,3891;0,5254;0,7464;0,2536;38,6758;10,845;0;0;0;0;0;0;0,0016;0,2142;0,3326;0,2945;0,0768;0,0465;0,0183;0,0112;0,003;0,0014;245,3;62,72;0,7964;18
PA02C;12943;204839;15,8262;10,9575;0,5909;0,7261;0,2739;43,4204;13,3158;0;0;0;0;0;0,0002;0,0029;0,1857;0,1902;0,2692;0,1423;0,1032;0,0576;0,0396;0,0067;0,0024;230,87;49,85;0,8224;19
PA02D;23607;260886;11,0512;12,1646;0,476;0,7166;0,2834;45,1451;12,9834;0;0;0;0;0;0,0001;0,0026;0,1393;0,1728;0,297;0,1598;0,1089;0,0605;0,0459;0,0094;0,0038;226,98;67,64;0,7704;23
PA03A;6718;252452;37,5784;33,8845;0,5258;0,4025;0,5975;55,3659;17,0548;0;0;0;0;0;0;0,0004;0,0853;0,12;0,1666;0,1082;0,0719;0,0633;0,2563;0,0786;0,0494;235,17;65,53;0,7821;19
PA03B;18850;652071;34,5926;33,2755;0,5097;0,5758;0,4242;40,6316;11,8463;0;0;0;0;0;0,0001;0,0005;0,2101;0,2584;0,2654;0,1242;0,0838;0,0575;0;0;0;213,66;57,13;0,789;17
PA04A;2819;108974;38,657;37,5475;0,5073;0,4424;0,5576;60,4009;20,3794;0;0;0;0;0;0;0,0018;0,1068;0,0788;0,1132;0,0685;0,0656;0,0688;0,2157;0,0993;0,1816;244,85;70,23;0,7771;16
PA04B;13327;463870;34,8068;29,8193;0,5386;0,3505;0,6495;63,6959;17,7608;0;0;0;0;0;0;0,0002;0,0741;0,0598;0,0875;0,0501;0,0346;0,0277;0,356;0,1612;0,1488;225,62;63,81;0,7795;18
PA04C;39496;1241353;31,4298;29,7875;0,5134;0,4462;0,5538;40,7082;13,1967;0;0;0;0;0;0,0004;0,0024;0,2582;0,1795;0,2539;0,1324;0,1014;0,0719;0;0;0;204,46;60,9;0,7705;20
PA14A;1256;35937;28,6123;31,5569;0,4755;0,293;0,707;34,9116;14,1322;0;0;0;0;0;0,0032;0,0064;0,4498;0,2006;0,1935;0,0549;0,0279;0,0151;0,0342;0,0096;0,0048;241,26;71,2;0,7721;15
PA14B;5396;148681;27,5539;29,2353;0,4852;0,3108;0,6892;31,0028;10,9086;0;0;0;0;0;0,0009;0,005;0,5404;0,2159;0,1642;0,0419;0,0215;0,0102;0;0;0;217,8;66,46;0,7662;15
PA15A;1899;47492;25,009;21,3596;0,5394;0,5255;0,4745;74,6435;13,128;0;0;0;0;0;0;0;0,0074;0,0137;0,0316;0,0316;0,0495;0,0537;0,2301;0,1632;0,4192;277,39;88,44;0,7582;20
PA15B;9895;230128;23,257;17,4466;0,5714;0,4126;0,5874;80,879;9,0519;0;0;0;0;0;0;0;0,0012;0,0028;0,0052;0,0063;0,0099;0,0219;0,1533;0,1797;0,6197;264,28;71,66;0,7867;19
PA15C;3935;100120;25,4435;20,6552;0,5519;0,5105;0,4895;70,7743;12,0625;0;0;0;0;0;0;0;0,0114;0,0183;0,0414;0,0407;0,045;0,0488;0,3044;0,2643;0,2257;244,66;66,19;0,7871;16
PK01Z;381;16632;43,6535;39,5601;0,5246;0,7612;0,2388;12,6142;3,3734;0;0;0;0,0105;0,1942;0,5722;0,2073;0,0157;0;0;0;0;0;0;0;0;379,14;101,56;0,7887;11
PK02Z;506;9424;18,6245;22,7064;0,4506;0,6423;0,3577;16,0455;1,2742;0;0;0;0;0;0,3024;0,6443;0,0534;0;0;0;0;0;0;0;0;391,03;114,13;0,7741;11
PK03Z;294;14306;48,6599;52,5782;0,4806;0,5884;0,4116;15,983;1,8372;0;0;0;0;0,0034;0,3401;0,5748;0,0816;0;0;0;0;0;0;0;0;376,16;105,41;0,7811;17
PK04A;726;39000;53,719;50,7399;0,5143;0,3375;0,6625;13,9587;2,7349;0;0;0,0028;0,0096;0,0634;0,5895;0,3168;0,0179;0;0;0;0;0;0;0;0;377,37;91,2;0,8054;13
PK04B;6290;208773;33,1913;36,5508;0,4759;0,3219;0,6781;14,49;2,6237;0;0,0006;0,0019;0,011;0,0401;0,5453;0,376;0,0251;0;0;0;0;0;0;0;0;341,7;94,39;0,7836;22
PK10Z;786;53360;67,888;57,4605;0,5416;0,117;0,883;13,4466;4,2065;0;0,0178;0,0483;0,0293;0,0165;0,5585;0,313;0,0165;0;0;0;0;0;0;0;0;369,22;87,46;0,8085;1
PK14A;516;26473;51,3043;34,7228;0,5964;0,7558;0,2442;9,0659;3,978;0;0;0,0058;0,1124;0,5329;0,2422;0,1047;0,0019;0;0;0;0;0;0;0;0;392,27;92,25;0,8096;13
PK14B;1686;78262;46,4187;38,4526;0,5469;0,6928;0,3072;10,9988;1,6955;0;0;0;0;0,2325;0,7675;0;0;0;0;0;0;0;0;0;0;361,33;84,72;0,8101;21
PK14C;2084;53985;25,9045;28,3469;0,4775;0,4439;0,5561;15,4088;1,2305;0;0;0;0;0;0,5595;0,4184;0,0221;0;0;0;0;0;0;0;0;347,39;97,89;0,7802;23
PP04A;1510;55267;36,6007;22,2855;0,6215;0,2781;0,7219;55,3126;17,5964;0;0;0;0;0;0;0;0,1086;0,1013;0,1642;0,0861;0,0682;0,0397;0,3099;0,0861;0,0358;206,45;58,45;0,7794;8
PP04B;7679;303214;39,4861;20,5688;0,6575;0,3243;0,6757;43,5152;12,2601;0;0;0;0;0;0;0,002;0,1781;0,1569;0,2823;0,175;0,1339;0,0718;0;0;0;183,23;42,64;0,8112;10
PP10A;478;23539;49,2448;32,6148;0,6016;0,0753;0,9247;28,0481;9,6457;0;0;0;0;0;0;0,0084;0,682;0,1674;0,1004;0,0251;0,0126;0,0021;0,0021;0;0;243,02;82,62;0,7463;1
PP10B;352;15436;43,8523;23,3384;0,6527;0,071;0,929;29,0199;10,1306;0;0;0;0;0;0;0,0199;0,6222;0,179;0,1222;0,0398;0,0114;0,0057;0;0;0;213,1;48,63;0,8142;1
PP14Z;480;20852;43,4417;29,3634;0,5967;0,2646;0,7354;33,3125;13,1883;0;0;0;0;0;0,0021;0,0083;0,5042;0,1938;0,1667;0,0479;0,0354;0,0063;0,0313;0,0021;0,0021;225,13;52,15;0,8119;1
TA02Z;1772;22221;12,5401;9,3226;0,5736;0,6586;0,3414;42,3883;12,2588;0;0;0;0;0;0;0;0,1744;0,2325;0,2901;0,1326;0,0937;0,044;0,0299;0,0023;0,0006;190,31;59,92;0,7605;1
TA15Z;701;9478;13,5207;15,7476;0,462;0,408;0,592;72,8588;10,9737;0;0;0;0;0;0;0;0,0157;0,0029;0,0171;0,0214;0,0357;0,0528;0,3452;0,2525;0,2568;214,25;132,83;0,6173;1
TA19Z;2786;76917;27,6084;19,0151;0,5922;0,2911;0,7089;64,7491;16,4142;0;0;0;0;0;0;0,0004;0,0574;0,0581;0,0747;0,0348;0,0319;0,0183;0,4253;0,1888;0,1102;190,72;55,28;0,7753;1
TA20Z;17338;503119;29,0183;19,6353;0,5964;0,4029;0,5971;40,0852;12,3185;0;0;0;0;0;0;0,0007;0,2484;0,2182;0,2686;0,1261;0,0879;0,0501;0;0;0;171,93;52,03;0,7677;1
TK04Z;1695;72779;42,9375;29,3181;0,5942;0,5021;0,4979;12,6696;3,2162;0;0;0,0012;0,0124;0,1764;0,5959;0,1929;0,0212;0;0;0;0;0;0;0;0;278,62;68,22;0,8033;1
TK14Z;2104;94501;44,9149;27,2078;0,6228;0,7091;0,2909;10,6492;3,306;0;0,001;0,0005;0,0328;0,3764;0,4957;0,0803;0,0133;0;0;0;0;0;0;0;0;292,36;74,83;0,7962;1
