nd_Pepp;nd_Code;nd_FaelleAnzahl;nd_FaelleAnteil;nd_NennungenAnzahl;nd_NennungenAnteil
P002Z;F74.1;25;0,0661;25;0,0301
P002Z;F90.0;23;0,0608;23;0,0277
P002Z;Z03.8;22;0,0582;22;0,0265
P002Z;F32.2;19;0,0503;19;0,0229
P002Z;F32.1;18;0,0476;18;0,0217
P002Z;F17.1;17;0,045;17;0,0205
P002Z;F98.8;17;0,045;17;0,0205
P002Z;F98.0;16;0,0423;16;0,0193
P002Z;Z03.5;16;0,0423;16;0,0193
P002Z;F50.0;15;0,0397;15;0,0181
P002Z;F12.1;13;0,0344;13;0,0156
P002Z;Z81;13;0,0344;13;0,0156
P002Z;F10.1;12;0,0317;12;0,0144
P002Z;F90.1;12;0,0317;12;0,0144
P002Z;F19.1;11;0,0291;11;0,0132
P002Z;F43.1;11;0,0291;11;0,0132
P002Z;F43.2;11;0,0291;11;0,0132
P002Z;F60.31;11;0,0291;11;0,0132
P002Z;F70.1;11;0,0291;11;0,0132
P002Z;F81.0;10;0,0265;10;0,012
P002Z;F92.8;10;0,0265;10;0,012
P002Z;F94.1;10;0,0265;10;0,012
P002Z;Z61;10;0,0265;10;0,012
P002Z;Z62;9;0,0238;9;0,0108
P002Z;F80.28;8;0,0212;8;0,0096
P002Z;X84.9;8;0,0212;8;0,0096
P002Z;F17.2;7;0,0185;7;0,0084
P002Z;F19.0;7;0,0185;7;0,0084
P002Z;F20.0;7;0,0185;7;0,0084
P002Z;F82.1;7;0,0185;7;0,0084
P002Z;F95.1;7;0,0185;7;0,0084
P002Z;F71.1;6;0,0159;6;0,0072
P002Z;F82.9;6;0,0159;6;0,0072
P002Z;F94.8;6;0,0159;6;0,0072
P002Z;J06.9;6;0,0159;6;0,0072
P002Z;E66.09;5;0,0132;5;0,006
P002Z;F42.2;5;0,0132;5;0,006
P002Z;F81.9;5;0,0132;5;0,006
P002Z;F94.2;5;0,0132;5;0,006
P002Z;K59.0;5;0,0132;5;0,006
P002Z;R00.1;5;0,0132;5;0,006
P002Z;E10.90;4;0,0106;4;0,0048
P002Z;F12.0;4;0,0106;4;0,0048
P002Z;F19.2;4;0,0106;4;0,0048
P002Z;F40.1;4;0,0106;4;0,0048
P002Z;F80.0;4;0,0106;4;0,0048
P002Z;F80.1;4;0,0106;4;0,0048
P002Z;F91.1;4;0,0106;4;0,0048
P002Z;K08.88;4;0,0106;4;0,0048
P002Z;L70.9;4;0,0106;4;0,0048
P002Z;R62.8;4;0,0106;4;0,0048
P003A;I10.00;18;0,1241;18;0,0222
P003A;Z74.1;18;0,1241;18;0,0222
P003A;Z74.0;16;0,1103;16;0,0198
P003A;F43.1;12;0,0828;12;0,0148
P003A;N39.0;12;0,0828;14;0,0173
P003A;E86;11;0,0759;11;0,0136
P003A;F60.31;11;0,0759;11;0,0136
P003A;E03.9;10;0,069;10;0,0123
P003A;F10.2;10;0,069;10;0,0123
P003A;K59.0;10;0,069;10;0,0123
P003A;R15;9;0,0621;9;0,0111
P003A;R29.6;9;0,0621;9;0,0111
P003A;R46.0;8;0,0552;8;0,0099
P003A;F20.0;7;0,0483;7;0,0086
P003A;I10.90;7;0,0483;7;0,0086
P003A;N39.48;7;0,0483;7;0,0086
P003A;R32;7;0,0483;7;0,0086
P003A;Z91.8;7;0,0483;7;0,0086
P003A;E11.90;6;0,0414;6;0,0074
P003A;E87.6;6;0,0414;6;0,0074
P003A;F10.1;6;0,0414;6;0,0074
P003A;R26.8;6;0,0414;6;0,0074
P003A;X84.9;6;0,0414;6;0,0074
