ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8
P002Z;21;22,75;80,27;7,68;4,87;3,56;3,03;0,45;0,12;0,00;1,15;0,16;9,30;46,64
P002Z;22;25,47;82,91;5,91;5,98;4,43;1,61;0,27;0,13;0,00;0,98;0,03;10,13;54,82
P002Z;23;10,61;75,23;8,83;2,61;0,38;0,00;0,03;0,00;0,00;0,10;0,00;0,00;0,00
P002Z;24;0,00;0,05;0,00;0,00;0,73;0,01;0,00;0,00;0,00;0,01;0,03;0,03;0,25
P002Z;25;0,01;0,66;0,00;0,04;4,75;0,00;0,00;0,00;0,00;0,17;0,04;0,35;2,07
P002Z;26;0,02;0,43;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,18;0,08;0,32
P002Z;5;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P002Z;8;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
P002Z;9;0,08;0,00;0,00;0,00;0,00;0,09;0,00;0,00;0,00;0,01;0,17;0,06;0,06
P002Z;10;0,05;0,00;0,00;0,00;0,00;0,37;0,00;0,00;0,00;0,29;0,67;0,04;0,24
P002Z;11;0,29;0,04;0,00;0,00;0,00;0,59;0,00;0,00;0,00;0,03;0,15;0,06;0,20
P003A;21;11,94;28,39;2,48;0,89;0,88;1,86;0,79;0,33;0,00;0,66;0,09;4,35;20,97
P003A;22;27,28;80,38;3,03;3,78;4,19;1,34;2,14;0,15;0,00;2,03;0,31;10,07;49,51
P003A;23;5,64;57,98;1,33;0,61;0,11;0,00;1,21;0,00;0,00;0,89;0,01;0,00;0,02
P003A;24;0,00;0,01;0,00;0,00;0,83;0,00;0,00;0,00;0,00;0,01;0,04;0,04;0,34
P003A;25;0,00;0,15;0,00;0,06;2,05;0,00;0,01;0,00;0,00;0,07;0,01;0,10;0,92
P003A;26;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01
P003A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
P003A;5;0,06;0,00;0,00;0,00;0,00;0,04;0,01;0,00;0,00;0,01;0,00;0,01;0,02
P003A;8;0,10;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,04;0,00;0,04;0,05
P003A;9;0,22;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,05;0,51;0,12;0,17
P003A;10;0,06;0,00;0,00;0,00;0,00;0,44;0,01;0,01;0,00;0,45;1,03;0,07;0,23
P003A;11;0,38;0,11;0,00;0,00;0,00;0,73;0,01;0,00;0,00;0,06;0,30;0,10;0,42
P003B;21;9,54;27,20;1,31;1,29;1,17;0,58;0,67;0,42;0,00;0,61;0,16;3,96;18,83
P003B;22;22,52;70,66;2,82;3,59;3,09;1,00;1,82;0,30;0,00;1,88;0,45;9,22;42,70
P003B;23;6,27;62,07;0,86;0,70;0,16;0,00;0,80;0,01;0,00;0,57;0,01;0,00;0,00
P003B;24;0,00;0,01;0,00;0,00;0,98;0,00;0,00;0,00;0,00;0,02;0,02;0,04;0,39
P003B;25;0,00;0,29;0,01;0,05;2,61;0,00;0,02;0,00;0,00;0,08;0,06;0,11;1,02
P003B;26;0,10;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,01
P003B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P003B;8;0,08;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,03;0,00;0,03;0,05
P003B;9;0,35;0,00;0,00;0,00;0,00;0,42;0,01;0,05;0,00;0,22;0,57;0,16;0,26
P003B;10;0,09;0,00;0,00;0,00;0,00;0,62;0,00;0,05;0,00;0,79;0,79;0,08;0,32
P003B;11;0,38;0,18;0,00;0,00;0,00;0,56;0,01;0,00;0,00;0,06;0,24;0,14;0,28
P003C;21;9,51;26,59;1,43;1,49;1,44;0,46;0,66;0,47;0,00;0,65;0,20;3,93;19,88
P003C;22;24,06;71,52;2,55;3,77;3,25;1,08;1,92;0,52;0,00;2,08;0,36;9,21;44,75
P003C;23;6,93;50,10;1,05;0,69;0,27;0,00;0,64;0,05;0,00;0,46;0,01;0,00;0,01
P003C;24;0,00;0,00;0,00;0,00;0,63;0,00;0,00;0,00;0,00;0,01;0,06;0,03;0,23
P003C;25;0,00;0,22;0,00;0,09;2,39;0,00;0,02;0,00;0,00;0,11;0,11;0,11;1,02
P003C;26;0,01;0,03;0,00;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P003C;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P003C;5;0,15;0,00;0,00;0,00;0,00;0,13;0,02;0,00;0,00;0,04;0,00;0,02;0,05
P003C;8;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,01;0,01;0,01
P003C;9;0,24;0,00;0,00;0,00;0,00;0,26;0,01;0,00;0,00;0,11;0,80;0,11;0,16
P003C;10;0,07;0,00;0,00;0,00;0,00;0,65;0,00;0,00;0,00;0,68;1,00;0,08;0,31
P003C;11;0,43;0,24;0,00;0,00;0,00;0,76;0,01;0,00;0,00;0,06;0,26;0,08;0,36
PA01A;21;9,93;33,87;1,71;1,73;1,47;0,49;0,70;0,11;0,00;0,62;0,03;4,82;21,62
PA01A;22;17,22;72,80;2,16;3,93;2,26;0,40;1,45;0,47;0,00;1,67;0,17;7,28;45,69
PA01A;23;3,96;23,08;0,98;0,49;0,94;0,00;0,21;0,00;0,00;0,17;0,01;0,00;0,00
PA01A;24;0,00;0,00;0,00;0,00;0,42;0,00;0,00;0,00;0,00;0,00;0,02;0,03;0,18
PA01A;25;0,00;0,19;0,00;0,12;2,82;0,02;0,00;0,00;0,00;0,08;0,23;0,24;1,09
PA01A;26;0,06;0,02;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA01A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,01;0,01
PA01A;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA01A;8;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA01A;9;0,21;0,00;0,00;0,00;0,00;0,24;0,01;0,00;0,00;0,06;0,29;0,11;0,14
PA01A;10;0,05;0,00;0,00;0,00;0,00;0,61;0,00;0,00;0,00;0,86;0,73;0,06;0,29
PA01A;11;0,59;0,49;0,00;0,00;0,00;0,63;0,01;0,00;0,00;0,07;0,06;0,13;0,43
PA01B;21;18,24;61,89;3,18;3,19;2,34;0,83;1,42;0,19;0,00;1,18;0,28;8,63;45,68
PA01B;22;7,16;27,24;0,99;1,49;0,92;0,19;0,63;0,07;0,00;0,62;0,05;3,83;19,55
PA01B;23;4,47;11,72;1,53;0,75;0,90;0,00;0,14;0,01;0,00;0,14;0,01;0,00;0,00
PA01B;24;0,00;0,01;0,00;0,00;0,44;0,00;0,00;0,00;0,00;0,01;0,09;0,03;0,17
PA01B;25;0,00;0,40;0,01;0,16;5,34;0,02;0,01;0,00;0,00;0,15;0,07;0,44;2,27
PA01B;26;0,03;0,03;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA01B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA01B;8;0,04;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01
