re_Code;re_Text;re_Hauptdiagnose;re_Nebendiagnose;re_Prozedur
1-204.2;Untersuchung des Liquorsystems: Lumbale Liquorpunktion zur Liquorentnahme;0;0;1
1-205;Elektromyographie (EMG);0;0;1
1-206;Neurographie;0;0;1
1-207.0;Elektroenzephalographie (EEG): Routine-EEG (10/20 Elektroden);0;0;1
1-207.1;Elektroenzephalographie (EEG): Schlaf-EEG (10/20 Elektroden);0;0;1
1-207.2;Elektroenzephalographie (EEG): Video-EEG (10/20 Elektroden);0;0;1
1-207.3;Elektroenzephalographie (EEG): Mobiles Kassetten-EEG (10/20 Elektroden);0;0;1
1-207.x;Elektroenzephalographie (EEG): Sonstige;0;0;1
1-208.0;Registrierung evozierter Potentiale: Akustisch (AEP);0;0;1
1-208.1;Registrierung evozierter Potentiale: Früh-akustisch (FAEP/BERA);0;0;1
1-208.2;Registrierung evozierter Potentiale: Somatosensorisch (SSEP);0;0;1
1-208.4;Registrierung evozierter Potentiale: Motorisch;0;0;1
1-208.6;Registrierung evozierter Potentiale: Visuell (VEP);0;0;1
1-208.8;Registrierung evozierter Potentiale: Otoakustische Emissionen;0;0;1
1-208.x;Registrierung evozierter Potentiale: Sonstige;0;0;1
1-242;Audiometrie;0;0;1
1-243;Phoniatrie;0;0;1
1-245;Rhinomanometrie;0;0;1
1-247;Olfaktometrie und Gustometrie;0;0;1
1-266.0;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Schrittmacher;0;0;1
1-266.2;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Kipptisch-Untersuchung zur Abklärung von Synkopen;0;0;1
1-334.0;Urodynamische Untersuchung: Urodynamische Untersuchung mit gleichzeitiger Anwendung elektrophysiologischer Methoden;0;0;1
1-440.9;Endoskopische Biopsie an oberem Verdauungstrakt, Gallengängen und Pankreas: Stufenbiopsie am oberen Verdauungstrakt;0;0;1
1-440.a;Endoskopische Biopsie an oberem Verdauungstrakt, Gallengängen und Pankreas: 1 bis 5 Biopsien am oberen Verdauungstrakt;0;0;1
1-444.6;Endoskopische Biopsie am unteren Verdauungstrakt: Stufenbiopsie;0;0;1
1-444.7;Endoskopische Biopsie am unteren Verdauungstrakt: 1 bis 5 Biopsien;0;0;1
1-610.0;Diagnostische Laryngoskopie: Direkt;0;0;1
1-610.1;Diagnostische Laryngoskopie: Indirekt;0;0;1
1-611.0;Diagnostische Pharyngoskopie: Direkt;0;0;1
1-611.1;Diagnostische Pharyngoskopie: Indirekt;0;0;1
1-612;Diagnostische Rhinoskopie;0;0;1
1-620.00;Diagnostische Tracheobronchoskopie: Mit flexiblem Instrument: Ohne weitere Maßnahmen;0;0;1
1-631.0;Diagnostische Ösophagogastroskopie: Bei normalem Situs;0;0;1
1-631.y;Diagnostische Ösophagogastroskopie: N.n.bez.;0;0;1
