ka_Pepp;ka_Verguetungsklasse;ka_Relgew
P002Z;1;2,1252
P003A;1;1,4513
P003B;1;1,6528
P003B;2;1,6528
P003B;3;1,6528
P003B;4;1,6528
P003B;5;1,6528
P003B;6;1,6528
P003B;7;1,6528
P003B;8;1,6353
P003B;9;1,6066
P003B;10;1,5779
P003B;11;1,5492
P003B;12;1,5204
P003B;13;1,4917
P003B;14;1,463
P003B;15;1,4343
P003B;16;1,4056
P003B;17;1,3769
P003B;18;1,3482
P003B;19;1,3195
P003C;1;1,6425
P003C;2;1,6425
P003C;3;1,6425
P003C;4;1,6425
P003C;5;1,6425
P003C;6;1,6425
P003C;7;1,6425
P003C;8;1,6183
P003C;9;1,5829
P003C;10;1,5475
P003C;11;1,5121
P003C;12;1,4767
P003C;13;1,4413
P003C;14;1,406
P003C;15;1,3706
P003C;16;1,3352
P003C;17;1,2998
P003C;18;1,2644
P003C;19;1,229
PA01A;1;1,3435
PA01A;2;1,3202
PA01A;3;1,2957
PA01A;4;1,2711
PA01A;5;1,2465
PA01A;6;1,2219
PA01A;7;1,1973
PA01B;1;1,2723
PA01B;2;1,20
PA01B;3;1,128
PA01B;4;1,056
PA02A;1;1,5304
PA02A;2;1,3422
PA02A;3;1,3079
PA02A;4;1,2813
PA02A;5;1,2663
PA02A;6;1,2513
PA02A;7;1,2362
PA02A;8;1,2212
PA02A;9;1,2062
PA02A;10;1,1912
PA02A;11;1,1762
PA02A;12;1,1612
PA02A;13;1,1462
PA02A;14;1,1311
PA02A;15;1,1161
PA02A;16;1,1011
PA02A;17;1,0861
PA02B;1;1,4636
PA02B;2;1,3067
PA02B;3;1,2431
PA02B;4;1,2108
PA02B;5;1,1973
PA02B;6;1,1838
PA02B;7;1,1704
PA02B;8;1,1569
PA02B;9;1,1434
PA02B;10;1,1299
PA02B;11;1,1164
PA02B;12;1,1029
PA02B;13;1,0894
PA02B;14;1,076
PA02B;15;1,0625
PA02B;16;1,049
PA02B;17;1,0355
PA02B;18;1,022
PA02C;1;1,4407
PA02C;2;1,2941
PA02C;3;1,2368
PA02C;4;1,202
PA02C;5;1,1841
PA02C;6;1,1661
PA02C;7;1,1481
PA02C;8;1,1302
PA02C;9;1,1122
PA02C;10;1,0942
PA02C;11;1,0763
PA02C;12;1,0583
PA02C;13;1,0403
PA02C;14;1,0224
PA02C;15;1,0044
PA02C;16;0,9864
PA02C;17;0,9685
PA02C;18;0,9505
PA02D;1;1,4232
PA02D;2;1,2602
PA02D;3;1,1919
PA02D;4;1,1323
PA02D;5;1,0808
PA02D;6;1,0493
PA02D;7;1,04
PA02D;8;1,0308
PA02D;9;1,0215
PA02D;10;1,0122
PA02D;11;1,003
PA02D;12;0,9937
PA02D;13;0,9844
PA02D;14;0,9752
PA02D;15;0,9659
PA02D;16;0,9566
