ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt6c;ko_KArt7;ko_KArt8
P002Z;21;19,32;73,58;8,96;4,70;3,68;1,48;0,39;0,03;0,00;0,87;0,00;0,05;9,21;38,13
P002Z;22;32,49;121,99;15,88;8,57;5,07;1,11;0,66;0,05;0,00;1,28;0,00;0,05;12,50;55,15
P002Z;23;14,80;92,07;7,23;2,98;0,74;0,00;0,08;0,00;0,00;0,30;0,00;0,01;0,00;0,00
P002Z;24;0,00;0,01;0,00;0,00;0,77;0,00;0,00;0,00;0,00;0,02;0,00;0,03;0,03;0,25
P002Z;25;0,01;2,55;0,01;0,18;4,68;0,03;0,01;0,00;0,00;0,14;0,00;0,17;0,34;2,41
P002Z;26;0,11;0,02;0,04;0,22;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,21
P002Z;5;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P002Z;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P002Z;9;0,11;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,01;0,00;0,18;0,06;0,06
P002Z;10;0,03;0,00;0,00;0,00;0,00;0,39;0,00;0,00;0,00;0,38;0,00;0,41;0,08;0,13
P002Z;11;0,26;0,02;0,00;0,00;0,00;0,47;0,00;0,00;0,00;0,02;0,00;0,29;0,05;0,14
P002Z;12;0,00;0,00;0,00;0,00;0,00;0,07;0,00;0,00;0,00;0,00;0,00;0,04;0,00;0,03
P002Z;13;0,09;0,02;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,00;0,00;0,03;0,04
P003A;21;8,55;22,85;1,11;1,26;1,22;0,27;0,60;0,26;0,00;0,58;0,00;0,23;3,21;14,66
P003A;22;37,77;114,39;6,31;4,44;3,48;1,46;2,26;0,41;0,00;2,45;0,14;0,48;12,45;56,00
P003A;23;5,06;62,28;1,07;0,89;0,14;0,00;1,62;0,00;0,00;1,12;0,00;0,02;0,00;0,00
P003A;24;0,00;0,00;0,00;0,00;0,86;0,00;0,00;0,00;0,00;0,02;0,00;0,01;0,04;0,35
P003A;25;0,00;0,17;0,00;0,00;2,03;0,00;0,01;0,00;0,00;0,07;0,00;0,07;0,09;0,86
P003A;26;0,00;0,00;0,01;0,03;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03
P003A;4;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P003A;5;0,06;0,00;0,00;0,00;0,00;0,04;0,01;0,00;0,00;0,01;0,00;0,00;0,01;0,02
P003A;8;0,11;0,00;0,00;0,00;0,00;0,08;0,01;0,00;0,00;0,06;0,01;0,68;0,06;0,05
P003A;9;0,33;0,00;0,00;0,00;0,00;0,37;0,00;0,00;0,00;0,06;0,03;0,66;0,19;0,30
P003A;10;0,08;0,00;0,00;0,00;0,00;0,61;0,01;0,01;0,00;0,71;0,05;1,24;0,12;0,64
P003A;11;0,45;0,07;0,00;0,00;0,00;0,38;0,00;0,00;0,00;0,04;0,00;0,21;0,07;0,23
P003A;12;0,03;0,01;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,03;0,01;0,02
P003A;13;0,26;0,28;0,00;0,00;0,00;0,12;0,00;0,00;0,00;0,03;0,00;0,00;0,05;0,19
P003B;21;8,37;23,54;1,47;1,27;1,07;0,30;0,53;0,33;0,00;0,53;0,00;0,16;3,59;16,20
P003B;22;29,97;96,76;3,95;4,42;3,23;1,02;1,90;0,93;0,00;2,29;0,12;0,34;11,43;51,45
P003B;23;4,98;48,74;1,07;1,13;0,23;0,00;0,57;0,00;0,00;0,61;0,00;0,01;0,00;0,00
P003B;24;0,00;0,00;0,00;0,00;0,75;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,03;0,27
P003B;25;0,00;0,14;0,00;0,00;2,26;0,01;0,01;0,00;0,00;0,07;0,00;0,10;0,08;0,88
P003B;26;0,01;0,00;0,00;0,01;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
P003B;4;0,11;0,00;0,00;0,00;0,00;0,11;0,00;0,00;0,00;0,05;0,00;0,00;0,07;0,09
P003B;5;0,11;0,00;0,00;0,00;0,00;0,08;0,01;0,00;0,00;0,02;0,00;0,00;0,01;0,03
P003B;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,01;0,06;0,01;0,02
P003B;9;0,31;0,00;0,00;0,00;0,00;0,36;0,00;0,02;0,00;0,05;0,00;0,93;0,14;0,27
P003B;10;0,07;0,00;0,00;0,00;0,00;0,61;0,02;0,00;0,00;0,74;0,01;1,31;0,09;0,37
P003B;11;0,57;0,06;0,00;0,00;0,00;0,39;0,00;0,00;0,00;0,04;0,00;0,49;0,07;0,22
P003B;12;0,04;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,14;0,00;0,02
P003B;13;0,37;0,34;0,00;0,00;0,00;0,15;0,01;0,00;0,00;0,02;0,00;0,00;0,05;0,22
P003C;21;9,96;29,66;1,28;1,54;1,06;0,49;0,60;0,18;0,00;0,65;0,01;0,16;4,20;18,41
P003C;22;27,30;83,40;3,49;3,87;2,90;1,26;1,61;0,37;0,00;1,94;0,06;0,30;11,07;50,36
P003C;23;5,28;37,14;1,11;1,10;0,46;0,00;0,75;0,01;0,00;0,57;0,00;0,01;0,00;0,00
P003C;24;0,00;0,00;0,00;0,00;0,56;0,00;0,00;0,00;0,00;0,01;0,00;0,02;0,02;0,18
P003C;25;0,00;0,06;0,00;0,00;2,46;0,00;0,02;0,00;0,00;0,09;0,00;0,15;0,10;0,86
P003C;26;0,08;0,01;0,04;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
P003C;4;0,03;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,02;0,00;0,00;0,04;0,03
P003C;5;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,07;0,00;0,01
P003C;7;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,02;0,01;0,02;0,00;0,01;0,01
P003C;8;0,04;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,02;0,00;0,19;0,01;0,02
P003C;9;0,23;0,00;0,00;0,00;0,00;0,27;0,00;0,00;0,00;0,05;0,01;0,62;0,13;0,23
P003C;10;0,07;0,00;0,00;0,00;0,00;0,61;0,01;0,00;0,00;0,82;0,01;1,03;0,09;0,40
P003C;11;0,41;0,08;0,00;0,00;0,00;0,42;0,00;0,00;0,00;0,03;0,00;0,10;0,08;0,22
P003C;12;0,00;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,01
P003C;13;0,41;0,41;0,00;0,00;0,00;0,23;0,01;0,00;0,00;0,04;0,00;0,00;0,05;0,26
PA01A;21;11,96;43,93;2,03;2,16;1,47;0,47;0,82;0,25;0,00;0,66;0,12;0,13;5,73;26,19
PA01A;22;18,98;80,43;2,49;4,33;2,52;0,59;1,29;1,74;0,00;1,41;0,06;0,17;7,81;43,89
PA01A;23;4,20;24,33;1,88;0,82;0,55;0,00;0,19;0,01;0,00;0,17;0,00;0,00;0,00;0,00
PA01A;24;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,01;0,00;0,04;0,02;0,19
PA01A;25;0,00;0,12;0,02;0,07;3,54;0,03;0,01;0,00;0,00;0,10;0,00;0,13;0,16;1,22
PA01A;26;0,02;0,02;0,00;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
PA01A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA01A;5;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA01A;8;0,11;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,01;0,01;0,02;0,01;0,06
PA01A;9;0,13;0,00;0,00;0,00;0,00;0,19;0,00;0,00;0,00;0,03;0,00;0,56;0,05;0,13
PA01A;10;0,03;0,00;0,00;0,00;0,00;0,52;0,01;0,01;0,00;0,60;0,06;0,95;0,11;0,45
