pe_SK;pe_Pepp;pe_Text
PRE;P002Z;Erhöhter Betreuungsaufwand bei Kindern und Jugendlichen, Einzelbetreuung mit hohem Aufwand
PRE;P003A;Erhöhter Betreuungsaufwand bei Erwachsenen, 1:1-Betreuung, Krisenintervention und komplexer Entlassungsaufwand mit äußerst hohem Aufwand
PRE;P003B;Erhöhter Betreuungsaufwand bei Erwachsenen, 1:1-Betreuung, Krisenintervention und komplexer Entlassungsaufwand mit sehr hohem Aufwand oder mit schwerer oder schwerster Pflegebedürftigkeit oder mit Intensivbehandlung
PRE;P003C;Erhöhter Betreuungsaufwand bei Erwachsenen, 1:1-Betreuung, Krisenintervention und komplexer Entlassungsaufwand mit deutlich erhöhtem Aufwand, ohne schwere oder schwerste Pflegebedürftigkeit, ohne Intensivbehandlung
PSY;PA01A;Intelligenzstörungen, tief greifende Entwicklungsstörungen, Ticstörungen und andere Störungen mit Beginn in der Kindheit und Jugend mit komplizierender Konstellation
PSY;PA01B;Intelligenzstörungen, tief greifende Entwicklungsstörungen, Ticstörungen und andere Störungen mit Beginn in der Kindheit und Jugend ohne komplizierende Konstellation
PSY;PA02A;Psychische und Verhaltensstörungen durch psychotr. Subst. mit Heroinkon. od. sonst. Subst. (intrav.) od. mit schw. Begleiterkr. bei Opiatabh. od. Schwanger. od. mit schw. od. schwerster Pflegebed. od. mit hoher Therapieinten. od. mit hohem Betreuungsaufw.
PSY;PA02B;Psychische und Verhaltensstörungen durch psychotrope Substanzen mit komplizierender Konstellation oder mit multiplem Substanzmissbrauch bei Opiat- oder Kokainkonsum oder mit hoher Therapieintensität oder mit Mutter/Vater-Kind-Setting
PSY;PA02C;Psychische und Verhaltensstörungen durch psychotrope Substanzen, Alter > 64 Jahre oder mit Qualifiziertem Entzug ab mehr als 14 Behandlungstagen oder mit komplizierender Konstellation oder mit multiplem Substanzmissbrauch außer bei Opiat- und Kokainkonsum
PSY;PA02D;Psychische und Verhaltensstörungen durch psychotrope Substanzen, Alter < 65 Jahre, ohne komplizierende Konstellation, ohne Heroinkonsum oder intravenösen Gebrauch sonstiger Substanzen, ohne Qualifizierten Entzug ab mehr als 14 Behandlungstagen
PSY;PA03A;Schizophrenie, schizotype und wahnhafte Störungen oder andere psychotische Störungen, Alter > 64 Jahre oder mit komplizierender Konstellation oder mit hoher Therapieintensität oder mit Mutter/Vater-Kind-Setting
PSY;PA03B;Schizophrenie, schizotype und wahnhafte Störungen oder andere psychotische Störungen, Alter < 65 Jahre, ohne komplizierende Konstellation
PSY;PA04A;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, Alter > 84 Jahre oder mit komplizierender Diagnose und Alter > 64 Jahre oder mit komplizierender Konstellation oder mit hoher Therapieintensität
PSY;PA04B;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, Alter < 85 Jahre, ohne komplizierende Konstellation, mit Mutter/Vater-Kind-Setting oder mit komplizierender Diagnose oder mit erheblicher Pflegebedürftigkeit oder Alter > 64 Jahre
PSY;PA04C;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, Alter < 65 Jahre, ohne komplizierende Konstellation, ohne komplizierende Diagnose, ohne erhebliche Pflegebedürftigkeit
PSY;PA14A;Persönlichkeits- und Verhaltensstörungen, Essstörungen und andere Störungen, Alter > 64 Jahre oder mit komplizierender Konstellation oder mit hoher Therapieintensität oder mit erheblicher Pflegebedürftigkeit
PSY;PA14B;Persönlichkeits- und Verhaltensstörungen, Essstörungen und andere Störungen, Alter < 65 Jahre, ohne komplizierende Konstellation, ohne hohe Therapieintensität, ohne erhebliche Pflegebedürftigkeit
PSY;PA15A;Organische Störungen, amnestisches Syndrom, Alzheimer-Krankheit und sonst. degen. Krankheiten des Nervensystems mit kompliz. Konst. oder mit schw. oder schwerster mot. Fkt-einschr. oder mit hoher Therapieintens. oder 1:1-Betreuung mit erhöhtem Aufw.
PSY;PA15B;Organische Störungen, amnestisches Syndrom, Alzheimer-Krankheit und sonstige degen. Krankheiten des Nervensystems mit best. Demenzerkrankungen oder mit kompliz. Konst. oder mit mittelschwerer mot. Fkt-einschränkung oder Alter > 84 Jahre
PSY;PA15C;Organische Störungen, amnestisches Syndrom, Alzheimer-Krankheit und sonstige degenerative Krankheiten des Nervensystems ohne bestimmte Demenzerkrankungen, ohne komplizierende Konstellation, Alter < 85 Jahre
PKJ;PK01A;Intelligenzstörungen, tief greifende Entwicklungsstörungen, Ticstörungen und andere Störungen mit Beginn in der Kindheit und Jugend mit komplizierender Konstellation
PKJ;PK01B;Intelligenzstörungen, tief greifende Entwicklungsstörungen, Ticstörungen und andere Störungen mit Beginn in der Kindheit und Jugend ohne komplizierende Konstellation
PKJ;PK02A;Psychische und Verhaltensstörungen durch psychotrope Substanzen mit komplizierender Konstellation oder mit erhöhtem Betreuungsaufwand oder mit Behandlung im besonderen Setting oder Alter < 14 Jahre
PKJ;PK02B;Psychische und Verhaltensstörungen durch psychotrope Substanzen ohne komplizierende Konstellation, ohne erhöhten Betreuungsaufwand, ohne Behandlung im besonderen Setting oder Alter > 13 Jahre
PKJ;PK03Z;Schizophrenie, schizotype und wahnhafte Störungen oder andere psychotische Störungen
PKJ;PK04A;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen mit komplizierender Konstellation oder mit erhöhtem Betreuungsaufwand oder mit hoher Therapieintensität oder mit Intensivbehandlung
PKJ;PK04B;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen ohne komplizierende Konstellation, ohne erhöhten Betreuungsaufwand, ohne hohe Therapieintensität, ohne Intensivbehandlung, mit komplizierender Nebendiagnose oder Alter < 14 Jahre
PKJ;PK04C;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen ohne komplizierende Konstellation, ohne erhöhten Betreuungsaufwand, ohne hohe Therapieintensität, ohne Intensivbehandlung, ohne komplizierender Nebendiagnose oder Alter > 13 Jahre
PKJ;PK10A;Ess- und Fütterstörungen mit hoher Therapieintensität oder mit Intensivbehandlung oder Alter < 12 Jahre
PKJ;PK10B;Ess- oder Fütterstörungen ohne hohe Therapieintensität, ohne Intensivbehandlung oder Alter > 11 Jahre
PKJ;PK14A;Verhaltensstörungen mit Beginn in der Kindheit und Jugend, Persönlichkeits- und Verhaltensstörungen oder andere Störungen, Alter < 8 Jahre od. mit kompliz. ND oder mit erhö. Betreuungsaufw. oder mit hoher Therapieintens. oder mit Intensivbehandlung
PKJ;PK14B;Verhaltensstörungen mit Beginn in der Kindheit und Jugend, Persönlichkeits- und Verhaltensstörungen oder andere Störungen, Alter 8-13 Jahre, ohne kompliz. ND, ohne erhöhten Betreuungsaufwand, ohne hohe Therapieintens., ohne Intensivbehandlung
PKJ;PK14C;Verhaltensstörungen mit Beginn in der Kindheit und Jugend, Persönlichkeits- und Verhaltensstörungen oder andere Störungen, Alter > 13 Jahre, ohne kompliz. ND, ohne erhöhten Betreuungsaufwand, ohne hohe Therapieintens., ohne Intensivbehandlung
PSO;PP04A;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, Alter > 64 Jahre oder mit komplizierender Konstellation oder mit hoher Therapieintensität oder mit Mutter/Vater-Kind-Setting oder mit erheblicher Pflegebedürftigkeit
PSO;PP04B;Affektive, neurotische, Belastungs-, somatoforme und Schlafstörungen, Alter < 65 Jahre, ohne komplizierende Konstellation, ohne hohe Therapieintensität, ohne Mutter/Vater-Kind-Setting, ohne erhebliche Pflegebedürftigkeit
PSO;PP10A;Anorexia nervosa oder Ess- und Fütterstörungen mit komplizierender Konstellation oder mit hoher Therapieintensität
PSO;PP10B;Ess- und Fütterstörungen außer bei Anorexia nervosa ohne komplizierende Konstellation, ohne hohe Therapieintensität
PSO;PP14Z;Persönlichkeits- und Verhaltensstörungen oder andere Störungen
TPY;TA02Z;Psychische und Verhaltensstörungen durch psychotrope Substanzen
TPY;TA15Z;Organische Störungen, amnestisches Syndrom, Alzheimer-Krankheit und sonstige degenerative Krankheiten des Nervensystems
