pr_Pepp;pr_Code;pr_FaelleAnzahl;pr_FaelleAnteil;pr_NennungenAnzahl;pr_NennungenAnteil
P002Z;9-672;199;0,9431;342;0,0185
P002Z;9-693.12;181;0,8578;1873;0,1015
P002Z;9-693.13;162;0,7678;1003;0,0544
P002Z;9-693.14;147;0,6967;830;0,045
P002Z;9-983.2;145;0,6872;246;0,0133
P002Z;9-693.11;142;0,673;1594;0,0864
P002Z;9-693.10;134;0,6351;1097;0,0595
P002Z;9-656;131;0,6209;218;0,0118
P002Z;9-693.15;117;0,5545;703;0,0381
P002Z;9-696.10;109;0,5166;208;0,0113
P002Z;9-696.80;107;0,5071;282;0,0153
P002Z;9-696.61;104;0,4929;248;0,0134
P002Z;9-696.11;100;0,4739;196;0,0106
P002Z;9-696.60;99;0,4692;232;0,0126
P002Z;9-696.81;96;0,455;226;0,0123
P002Z;9-696.53;95;0,4502;180;0,0098
P002Z;9-696.70;95;0,4502;202;0,0109
P002Z;9-696.13;90;0,4265;143;0,0078
P002Z;9-696.31;89;0,4218;157;0,0085
P002Z;9-696.52;88;0,4171;177;0,0096
P002Z;9-696.40;87;0,4123;374;0,0203
P002Z;9-983.1;83;0,3934;139;0,0075
P002Z;9-696.12;82;0,3886;155;0,0084
P002Z;9-696.82;81;0,3839;168;0,0091
P002Z;9-696.62;80;0,3791;202;0,0109
P002Z;9-696.71;80;0,3791;146;0,0079
P002Z;9-696.33;78;0,3697;141;0,0076
P002Z;9-693.00;74;0,3507;492;0,0267
P002Z;9-696.72;74;0,3507;121;0,0066
P002Z;9-696.32;72;0,3412;143;0,0078
P002Z;9-696.73;71;0,3365;111;0,006
P002Z;9-696.50;69;0,327;127;0,0069
P002Z;9-696.15;68;0,3223;109;0,0059
P002Z;9-696.30;67;0,3175;111;0,006
P002Z;9-696.51;67;0,3175;140;0,0076
P002Z;9-696.83;67;0,3175;120;0,0065
P002Z;9-696.14;65;0,3081;93;0,005
P002Z;9-696.55;64;0,3033;108;0,0059
P002Z;9-696.63;64;0,3033;128;0,0069
P002Z;9-693.01;63;0,2986;469;0,0254
P002Z;9-983.0;63;0,2986;76;0,0041
P002Z;9-693.02;60;0,2844;464;0,0252
P002Z;9-696.35;59;0,2796;88;0,0048
P002Z;9-696.84;59;0,2796;100;0,0054
P002Z;9-696.64;55;0,2607;93;0,005
P002Z;1-207.0;53;0,2512;56;0,003
P002Z;9-696.20;53;0,2512;174;0,0094
P002Z;9-696.16;52;0,2464;77;0,0042
P002Z;9-696.34;50;0,237;69;0,0037
P002Z;9-696.36;50;0,237;76;0,0041
