hd_Pepp;hd_Code;hd_CodeF;hd_Anzahl;kd_Anteil
P002A;F432;F43.2;20;0,2299
P002A;F500;F50.0;15;0,1724
P002A;F912;F91.2;9;0,1034
P002A;F928;F92.8;5;0,0575
P002A;F901;F90.1;4;0,046
P002B;F500;F50.0;21;0,1615
P002B;F901;F90.1;9;0,0692
P002B;F928;F92.8;9;0,0692
P002B;F322;F32.2;7;0,0538
P002B;F432;F43.2;7;0,0538
P002B;F321;F32.1;6;0,0462
P002B;F431;F43.1;6;0,0462
P002B;F200;F20.0;4;0,0308
P002B;F6031;F60.31;4;0,0308
P002B;F912;F91.2;4;0,0308
P003A;F200;F20.0;22;0,1705
P003A;F6031;F60.31;11;0,0853
P003A;F051;F05.1;9;0,0698
P003A;F332;F33.2;7;0,0543
P003A;F252;F25.2;5;0,0388
P003A;F333;F33.3;5;0,0388
P003A;F840;F84.0;5;0,0388
P003A;F062;F06.2;4;0,031
P003A;F078;F07.8;4;0,031
P003A;F250;F25.0;4;0,031
P003A;F323;F32.3;4;0,031
P003B;F200;F20.0;34;0,1799
P003B;F051;F05.1;22;0,1164
P003B;F250;F25.0;11;0,0582
P003B;F6031;F60.31;8;0,0423
P003B;F322;F32.2;7;0,037
P003B;F721;F72.1;6;0,0317
P003B;F068;F06.8;5;0,0265
P003B;F078;F07.8;4;0,0212
P003B;F251;F25.1;4;0,0212
P003B;F311;F31.1;4;0,0212
P003B;F312;F31.2;4;0,0212
P003B;F315;F31.5;4;0,0212
P003B;F332;F33.2;4;0,0212
P003C;F200;F20.0;69;0,1712
P003C;F051;F05.1;43;0,1067
P003C;F6031;F60.31;23;0,0571
P003C;F250;F25.0;16;0,0397
P003C;F332;F33.2;16;0,0397
P003C;F063;F06.3;14;0,0347
P003C;G301;G30.1;12;0,0298
P003C;F102;F10.2;8;0,0199
P003C;F323;F32.3;8;0,0199
P003C;G308;G30.8;8;0,0199
P003C;F068;F06.8;7;0,0174
P003C;F104;F10.4;7;0,0174
P003C;F252;F25.2;7;0,0174
P003C;F322;F32.2;7;0,0174
P003C;F059;F05.9;6;0,0149
P003C;F069;F06.9;6;0,0149
P003C;F201;F20.1;6;0,0149
P003C;F311;F31.1;6;0,0149
P003C;F312;F31.2;6;0,0149
P003C;F062;F06.2;5;0,0124
P003C;F078;F07.8;5;0,0124
P003C;F230;F23.0;5;0,0124
P003C;F333;F33.3;5;0,0124
P003C;F721;F72.1;5;0,0124
P003C;F03;F03;4;0,0099
P004Z;F200;F20.0;622;0,1885
P004Z;F192;F19.2;402;0,1219
P004Z;F102;F10.2;397;0,1203
P004Z;F112;F11.2;183;0,0555
P004Z;F322;F32.2;145;0,044
P004Z;F332;F33.2;109;0,033
P004Z;F250;F25.0;81;0,0246
P004Z;F100;F10.0;75;0,0227
P004Z;F103;F10.3;65;0,0197
P004Z;F432;F43.2;65;0,0197
P004Z;F104;F10.4;58;0,0176
P004Z;F711;F71.1;52;0,0158
P004Z;F6031;F60.31;51;0,0155
P004Z;F252;F25.2;50;0,0152
P004Z;F312;F31.2;49;0,0149
P004Z;F063;F06.3;45;0,0136
P004Z;F251;F25.1;41;0,0124
P004Z;F333;F33.3;38;0,0115
P004Z;F323;F32.3;33;0,01
P004Z;F61;F61;31;0,0094
P004Z;F231;F23.1;30;0,0091
P004Z;F202;F20.2;29;0,0088
P004Z;F062;F06.2;27;0,0082
P004Z;F430;F43.0;26;0,0079
P004Z;F220;F22.0;25;0,0076
P004Z;F195;F19.5;22;0,0067
P004Z;F230;F23.0;22;0,0067
P004Z;F311;F31.1;22;0,0067
P004Z;F721;F72.1;21;0,0064
P004Z;F070;F07.0;20;0,0061
P004Z;F101;F10.1;17;0,0052
P004Z;F132;F13.2;17;0,0052
P004Z;F321;F32.1;17;0,0052
P004Z;F201;F20.1;16;0,0048
P004Z;F701;F70.1;16;0,0048
P004Z;F205;F20.5;15;0,0045
P004Z;F232;F23.2;14;0,0042
P004Z;F314;F31.4;13;0,0039
P004Z;F840;F84.0;13;0,0039
P004Z;F105;F10.5;11;0,0033
P004Z;F122;F12.2;11;0,0033
P004Z;F331;F33.1;10;0,003
P004Z;F6030;F60.30;10;0,003
P004Z;F107;F10.7;9;0,0027
P004Z;F316;F31.6;9;0,0027
P004Z;F142;F14.2;8;0,0024
P004Z;F152;F15.2;8;0,0024
P004Z;F125;F12.5;7;0,0021
P004Z;F134;F13.4;7;0,0021
P004Z;F638;F63.8;7;0,0021
P004Z;F731;F73.1;7;0,0021
P004Z;F191;F19.1;6;0,0018
P004Z;F302;F30.2;6;0,0018
P004Z;F310;F31.0;6;0,0018
P004Z;F412;F41.2;6;0,0018
P004Z;F431;F43.1;6;0,0018
P004Z;F602;F60.2;6;0,0018
P004Z;F155;F15.5;5;0,0015
P004Z;F190;F19.0;5;0,0015
P004Z;F301;F30.1;5;0,0015
P004Z;F329;F32.9;5;0,0015
P004Z;F841;F84.1;5;0,0015
P004Z;F209;F20.9;4;0,0012
P004Z;F239;F23.9;4;0,0012
P004Z;F258;F25.8;4;0,0012
P004Z;F315;F31.5;4;0,0012
P004Z;F718;F71.8;4;0,0012
P004Z;F928;F92.8;4;0,0012
PA01A;F711;F71.1;194;0,6532
PA01A;F721;F72.1;47;0,1582
PA01A;F840;F84.0;21;0,0707
PA01A;F841;F84.1;15;0,0505
PA01A;F701;F70.1;9;0,0303
PA01B;F701;F70.1;270;0,6368
PA01B;F845;F84.5;29;0,0684
PA01B;F700;F70.0;25;0,059
PA01B;F791;F79.1;19;0,0448
PA01B;F952;F95.2;17;0,0401
PA01B;F710;F71.0;11;0,0259
PA01B;F718;F71.8;11;0,0259
PA01B;F708;F70.8;8;0,0189
PA01B;F709;F70.9;6;0,0142
PA01B;F781;F78.1;5;0,0118
PA01B;F799;F79.9;5;0,0118
PA02A;F112;F11.2;483;0,3791
PA02A;F192;F19.2;475;0,3728
PA02A;F113;F11.3;109;0,0856
PA02A;F193;F19.3;87;0,0683
PA02A;F102;F10.2;30;0,0235
PA02A;F195;F19.5;26;0,0204
PA02A;F103;F10.3;15;0,0118
PA02A;F133;F13.3;7;0,0055
PA02A;F153;F15.3;6;0,0047
PA02A;F100;F10.0;5;0,0039
PA02A;F190;F19.0;5;0,0039
PA02A;F110;F11.0;4;0,0031
PA02B;F192;F19.2;1218;0,2886
PA02B;F102;F10.2;985;0,2334
PA02B;F112;F11.2;972;0,2303
PA02B;F103;F10.3;248;0,0588
PA02B;F113;F11.3;151;0,0358
PA02B;F100;F10.0;121;0,0287
PA02B;F195;F19.5;72;0,0171
PA02B;F132;F13.2;55;0,013
PA02B;F104;F10.4;50;0,0118
PA02B;F193;F19.3;47;0,0111
PA02B;F133;F13.3;42;0,01
PA02B;F332;F33.2;18;0,0043
PA02B;F101;F10.1;17;0,004
PA02B;F122;F12.2;17;0,004
PA02B;F191;F19.1;16;0,0038
PA02B;F432;F43.2;15;0,0036
PA02B;F125;F12.5;14;0,0033
PA02B;F152;F15.2;12;0,0028
PA02B;F190;F19.0;11;0,0026
PA02B;F107;F10.7;10;0,0024
PA02B;F194;F19.4;10;0,0024
PA02B;F322;F32.2;10;0,0024
PA02B;F155;F15.5;9;0,0021
PA02B;F105;F10.5;8;0,0019
PA02B;F115;F11.5;8;0,0019
PA02B;F123;F12.3;7;0,0017
PA02B;F153;F15.3;7;0,0017
PA02B;F110;F11.0;6;0,0014
PA02B;F331;F33.1;6;0,0014
PA02B;F142;F14.2;5;0,0012
PA02B;F431;F43.1;5;0,0012
PA02B;F134;F13.4;4;0,0009
PA02B;F145;F14.5;4;0,0009
PA02B;F321;F32.1;4;0,0009
PA02C;F102;F10.2;7862;0,636
PA02C;F103;F10.3;1482;0,1199
PA02C;F112;F11.2;782;0,0633
PA02C;F192;F19.2;720;0,0582
PA02C;F132;F13.2;280;0,0227
PA02C;F122;F12.2;200;0,0162
PA02C;F123;F12.3;147;0,0119
PA02C;F100;F10.0;133;0,0108
PA02C;F104;F10.4;122;0,0099
PA02C;F152;F15.2;81;0,0066
PA02C;F113;F11.3;75;0,0061
PA02C;F133;F13.3;64;0,0052
PA02C;F195;F19.5;55;0,0044
PA02C;F101;F10.1;46;0,0037
PA02C;F153;F15.3;36;0,0029
PA02C;F105;F10.5;31;0,0025
PA02C;F107;F10.7;24;0,0019
PA02C;F332;F33.2;23;0,0019
PA02C;F322;F32.2;21;0,0017
PA02C;F193;F19.3;17;0,0014
PA02C;F155;F15.5;16;0,0013
PA02C;F190;F19.0;13;0,0011
PA02C;F125;F12.5;12;0,001
PA02C;F142;F14.2;12;0,001
PA02C;F321;F32.1;11;0,0009
PA02C;F331;F33.1;11;0,0009
PA02C;F191;F19.1;8;0,0006
PA02C;F121;F12.1;7;0,0006
PA02C;F432;F43.2;7;0,0006
PA02C;F108;F10.8;6;0,0005
PA02C;F314;F31.4;6;0,0005
PA02C;F109;F10.9;5;0,0004
PA02C;F111;F11.1;4;0,0003
PA02C;F143;F14.3;4;0,0003
PA02C;F151;F15.1;4;0,0003
PA02D;F102;F10.2;10325;0,478
PA02D;F100;F10.0;2129;0,0986
PA02D;F103;F10.3;1676;0,0776
PA02D;F192;F19.2;1443;0,0668
PA02D;F112;F11.2;753;0,0349
PA02D;F432;F43.2;506;0,0234
PA02D;F132;F13.2;416;0,0193
PA02D;F101;F10.1;407;0,0188
PA02D;F332;F33.2;389;0,018
PA02D;F322;F32.2;375;0,0174
PA02D;F122;F12.2;357;0,0165
PA02D;F104;F10.4;266;0,0123
PA02D;F195;F19.5;233;0,0108
PA02D;F430;F43.0;217;0,01
PA02D;F109;F10.9;208;0,0096
PA02D;F125;F12.5;186;0,0086
PA02D;F321;F32.1;120;0,0056
PA02D;F331;F33.1;120;0,0056
PA02D;F105;F10.5;112;0,0052
PA02D;F113;F11.3;106;0,0049
PA02D;F152;F15.2;98;0,0045
PA02D;F123;F12.3;88;0,0041
PA02D;F107;F10.7;83;0,0038
PA02D;F133;F13.3;78;0,0036
PA02D;F155;F15.5;77;0,0036
PA02D;F190;F19.0;77;0,0036
PA02D;F193;F19.3;70;0,0032
PA02D;F142;F14.2;57;0,0026
PA02D;F191;F19.1;48;0,0022
PA02D;F153;F15.3;33;0,0015
PA02D;F431;F43.1;33;0,0015
PA02D;F151;F15.1;30;0,0014
PA02D;F134;F13.4;27;0,0013
PA02D;F131;F13.1;26;0,0012
PA02D;F108;F10.8;25;0,0012
PA02D;F150;F15.0;22;0,001
PA02D;F311;F31.1;19;0,0009
PA02D;F121;F12.1;18;0,0008
PA02D;F314;F31.4;18;0,0008
PA02D;F333;F33.3;18;0,0008
PA02D;F130;F13.0;17;0,0008
PA02D;F145;F14.5;13;0,0006
PA02D;F412;F41.2;13;0,0006
PA02D;F111;F11.1;12;0,0006
PA02D;F165;F16.5;12;0,0006
PA02D;F110;F11.0;11;0,0005
PA02D;F312;F31.2;11;0,0005
PA02D;F552;F55.2;11;0,0005
PA02D;F160;F16.0;10;0,0005
PA02D;F313;F31.3;10;0,0005
PA02D;F316;F31.6;10;0,0005
PA02D;F135;F13.5;9;0,0004
PA02D;F323;F32.3;9;0,0004
PA02D;F410;F41.0;9;0,0004
PA02D;F194;F19.4;8;0,0004
PA02D;F198;F19.8;8;0,0004
PA02D;F310;F31.0;8;0,0004
PA02D;F127;F12.7;7;0,0003
PA02D;F172;F17.2;7;0,0003
PA02D;F120;F12.0;6;0,0003
PA02D;F329;F32.9;6;0,0003
PA02D;F141;F14.1;5;0,0002
PA02D;F438;F43.8;5;0,0002
PA02D;F138;F13.8;4;0,0002
PA02D;F140;F14.0;4;0,0002
PA02D;F199;F19.9;4;0,0002
PA02D;F319;F31.9;4;0,0002
PA02D;F411;F41.1;4;0,0002
PA03A;F200;F20.0;2170;0,4598
