kd_Pepp;kd_FaelleAnzahl;kd_FaelleAnzahlVgst1;kd_FaelleAnzahlVgst2;kd_FaelleAnzahlVgst3;kd_FaelleAnzahlVgst4;kd_FaelleAnzahlVgst5;kd_FaelleAnteilVstufe1;kd_FaelleAnteilVstufe2;kd_FaelleAnteilVstufe3;kd_FaelleAnteilVstufe4;kd_FaelleAnteilVstufe5;kd_TageAnzahlVgst1;kd_TageAnzahlVgst2;kd_TageAnzahlVgst3;kd_TageAnzahlVgst4;kd_TageAnzahlVgst5;kd_VwdSummeTage;kd_VwdMw;kd_VwdStd;kd_VwdHK;kd_VwdVonVgst1;kd_VwdBisVgst1;kd_BewertungsrelationTagVgst1;kd_VwdVonVgst2;kd_VwdBisVgst2;kd_BewertungsrelationTagVgst2;kd_VwdVonVgst3;kd_VwdBisVgst3;kd_BewertungsrelationTagVgst3;kd_VwdVonVgst4;kd_VwdBisVgst4;kd_BewertungsrelationTagVgst4;kd_VwdVonVgst5;kd_VwdBisVgst5;kd_BewertungsrelationTagVgst5;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK
P002A;87;35;33;19;;;0,4023;0,3793;0,2184;;;1676;2885;3340;0;;7901;90,8161;55,6836;0,6199;1;64;2,6548;65;115;2,1035;116;;1,9958;;;;;;;0,4368;0,5632;14,2414;2,7193;0;0;0;0,0115;0,069;0,5287;0,3908;0;0;0;0;0;0;0;0;0;559,0583;148,5074;0,7901
P002B;130;47;40;43;;;0,3615;0,3077;0,3308;;;1156;2500;5216;0;;8872;68,2462;45,9606;0,5976;1;43;2,4995;44;84;1,6233;85;;1,4774;;;;;;;0,3692;0,6308;13,8231;2,816;0;0;0;0;0,1;0,5923;0,3;0,0077;0;0;0;0;0;0;0;0;470,8921;134,7922;0,7774
P003A;129;16;35;41;37;;0,124;0,2713;0,3178;0,2868;;441;1616;2956;5534;;10547;81,7597;53,9632;0,6024;1;33;3,6181;34;54;1,4791;55;97;1,1947;98;;0,9281;;;;0,4651;0,5349;48,4341;20,522;0;0;0;0;0;0;0,0078;0,2171;0,155;0,1705;0,0853;0,0698;0,0543;0,0853;0,0543;0,1008;493,5635;247,4757;0,666
P003B;189;33;52;104;;;0,1746;0,2751;0,5503;;;513;1567;8367;0;;10447;55,2751;38,7385;0,5879;1;21;2,9281;22;39;1,3886;40;;0,9822;;;;;;;0,5132;0,4868;50,2593;21,4977;0;0;0;0;0;0;0,0053;0,2275;0,1376;0,1376;0,0847;0,0741;0,0476;0,1005;0,0423;0,1429;408,0408;187,9942;0,6846
P003C;403;130;126;147;;;0,3226;0,3127;0,3648;;;1788;3998;9662;0;;15448;38,3325;25,8644;0,5971;1;22;2,2021;23;41;1,0695;42;;0,9454;;;;;;;0,5161;0,4839;51,464;21,8531;0;0;0;0;0;0;0,0025;0,2134;0,1141;0,1985;0,072;0,0521;0,0422;0,0918;0,0496;0,1638;367,4604;180,4986;0,6706
P004Z;3299;1233;822;476;768;;0,3737;0,2492;0,1443;0,2328;;5776;10542;10865;40900;;68083;20,6375;23,8874;0,4635;1;8;1,595;9;18;1,181;19;28;1,1143;29;;1,0867;;;;0,5781;0,4219;44,7972;16,8408;0;0;0;0;0;0,0015;0,0027;0,2043;0,2116;0,2207;0,1022;0,0664;0,0512;0,0755;0,0291;0,0349;293,5341;131,8583;0,69
PA01A;297;91;111;95;;;0,3064;0,3737;0,3199;;;390;2008;4039;0;;6437;21,6734;19,1104;0,5314;1;9;1,5242;10;23;0,9632;24;;0,8851;;;;;;;0,5892;0,4108;38,3502;14,5058;0;0;0;0;0;0;0;0,3704;0,1582;0,2424;0,0909;0,0606;0,037;0,0168;0,0067;0,0168;260,9447;148,6748;0,637
PA01B;424;150;114;160;;;0,3538;0,2689;0,3774;;;611;1621;6729;0;;8961;21,1344;22,1181;0,4886;1;8;1,3245;9;20;0,8903;21;;0,8045;;;;;;;0,6415;0,3585;35,8491;15,0779;0;0;0;0;0;0;0,0071;0,4434;0,1415;0,2075;0,0802;0,0472;0,033;0,0236;0,0118;0,0047;228,778;148,8537;0,6058
PA02A;1274;204;598;472;;;0,1601;0,4694;0,3705;;;639;7320;12779;0;;20738;16,2779;11,5444;0,5851;1;6;1,5339;7;17;1,0732;18;;1,0423;;;;;;;0,752;0,248;35,562;8,6148;0;0;0;0;0;0;0,0008;0,248;0,4505;0,2347;0,0479;0,0141;0,0016;0,0016;0,0008;0;282,2072;85,5661;0,7673
PA02B;4221;971;1878;1372;;;0,23;0,4449;0,325;;;3060;21435;39536;0;;64031;15,1696;13,184;0,535;1;6;1,5107;7;17;0,9938;18;;0,9529;;;;;;;0,7361;0,2639;39,8612;10,8063;0;0;0;0;0;0;0,0002;0,1703;0,3468;0,3004;0,0926;0,049;0,0192;0,0154;0,0028;0,0031;268,0408;105,5623;0,7174
