ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8;ko_Summe
P002A;7;0,03;0;0;0;0;0,01;0;0;0;0;0,01;0,02;0,07
P002A;8;0,17;0;0;0;0;0,13;0;0;0,01;0;0,06;0,07;0,45
P002A;9;0,15;0;0;0;0;0,2;0,01;0;0,1;0,12;0,14;0,11;0,83
P002A;10;0,08;0;0;0;0;0,75;0;0;0,73;0,37;0,07;0,34;2,34
P002A;11;0,31;0,04;0;0;0;0,62;0;0;0,03;0,09;0,06;0,18;1,33
P002A;21;10,45;40,64;2,9;2,23;0,81;0,77;0,3;0;0,35;0,11;3,55;21,86;83,98
P002A;22;28,39;98,24;10,64;11,36;3,5;0,92;0,81;0,03;0,81;0,15;13,09;56,76;224,69
P002A;23;12,82;196,51;12,54;2,18;0,45;0;0,45;0;0,39;0;0;0;225,33
P002A;24;0;0,01;0;0;2,25;0;0;0;0,02;0,06;0,25;1,11;3,69
P002A;25;0;2,11;0;0,81;4,86;1,75;0,02;0;0,41;0,12;0,74;3,57;14,39
P002A;26;0;0,8;0;0,02;0,05;0;0;0;0,01;0;0,32;0,77;1,97
P002B;4;0;0;0;0;0;0;0;0;0;0;0;0;0,02
P002B;7;0,07;0;0;0;0;0,02;0;0;0,01;0;0,02;0,05;0,16
P002B;8;0,05;0;0;0;0;0,04;0;0;0;0;0,02;0,02;0,14
P002B;9;0,12;0;0;0;0;0,15;0;0;0,06;0,27;0,09;0,13;0,82
P002B;10;0,1;0;0;0;0;0,72;0;0;0,56;0,47;0,07;0,41;2,34
P002B;11;0,3;0,02;0;0;0;0,47;0;0;0,04;0,02;0,07;0,22;1,15
P002B;21;15,65;52,7;3,23;4,01;1,43;0,83;0,42;0;0,32;0,02;6,03;29,31;113,94
P002B;22;30,23;97,28;6,48;10,21;3,72;1,93;0,71;0,03;0,85;0,06;11,62;53,95;217,07
P002B;23;13,15;88,31;7,59;1,92;0,69;0;0,2;0,01;0,32;0;0;0;112,19
P002B;24;0,01;0,25;0;0;2,03;0,38;0;0;0,06;0;0,17;1,12;4,01
P002B;25;0;3,25;0;1,15;6,64;0,34;0,02;0;0,6;0,14;0,86;4,06;17,07
P002B;26;0;0,83;0;0;0,06;0;0,01;0;0,01;0;0,34;0,73;1,98
P003A;4;0,01;0;0;0;0;0,01;0;0;0;0,01;0;0,01;0,04
P003A;5;0,05;0;0;0;0;0,07;0,01;0;0,02;0;0,01;0,04;0,21
P003A;8;0,03;0;0;0;0;0,03;0;0;0,01;0;0,02;0,02;0,1
P003A;9;0,2;0;0;0;0;0,37;0;0;0,05;0,26;0,18;0,23;1,3
P003A;10;0,02;0;0;0;0;0,53;0;0;0,54;0,86;0,08;0,33;2,37
P003A;11;0,41;0,03;0;0;0;0,69;0;0,06;0,05;0,21;0,06;0,47;1,98
P003A;21;8,93;24,19;0,88;1,44;0,91;1,19;0,89;0,08;0,45;0,16;4,32;19,99;63,43
P003A;22;25,77;74,02;2,08;4,15;3,97;0,63;3,31;0,58;1,96;0,49;14,2;45,48;176,63
P003A;23;4,21;221,27;1,03;3,36;0,28;0;2;0;1,45;7,46;0;0;241,08
P003A;24;0;0;0;0;1,13;0;0;0;0,02;0;0,04;0,75;1,94
P003A;25;0,24;0,22;0;0;2,33;0;0,01;0;0,08;0;0,15;1,35;4,4
P003A;26;0;0;0;0;0,05;0,01;0;0;0;0;0;0,02;0,09
P003B;4;0,01;0;0;0;0;0,01;0;0;0;0;0;0,02;0,04
P003B;7;0;0;0;0;0;0,01;0;0;0;0;0;0;0,01
P003B;8;0,03;0;0;0;0;0,02;0;0;0,01;0,01;0,01;0,01;0,1
P003B;9;0,26;0;0;0;0;0,42;0;0;0,07;0,54;0,22;0,27;1,77
P003B;10;0,03;0;0;0;0;0,54;0;0;0,55;1,2;0,09;0,26;2,67
P003B;11;0,72;0,12;0;0;0;1;0,01;0;0,07;0,36;0,11;0,71;3,1
P003B;21;15,19;35,66;1,54;1,6;1,25;2,51;1,19;0,14;0,96;0,17;5,89;32,15;98,24
P003B;22;21,76;59,22;1,85;3,55;2,91;0,58;2,39;0,11;1,52;0,14;9,93;35,64;139,61
P003B;23;4,85;138,62;1,64;2,43;0,42;0,01;1,75;0,04;1,15;2,06;0,02;0,09;153,07
P003B;24;0;0;0;0;0,98;0,01;0;0;0,01;0,04;0,05;0,44;1,54
P003B;25;0,38;0,31;0;0;2,53;0,01;0,01;0;0,07;0,04;0,22;1,22;4,79
P003B;26;0,28;1,65;0,01;0;0,9;0,04;0;0;0;0;0,03;0,17;3,09
P003C;4;0,09;0;0;0;0;0,07;0;0;0,02;0,02;0,05;0,08;0,35
P003C;5;0,19;0;0;0;0;0,1;0,02;0;0,03;0;0,03;0,04;0,41
P003C;7;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,02
P003C;8;0,04;0;0;0;0;0,04;0;0;0,01;0,03;0,02;0,03;0,18
P003C;9;0,3;0;0;0;0;0,43;0,01;0,06;0,06;0,48;0,23;0,27;1,83
P003C;10;0,06;0;0;0;0;0,76;0;0,01;0,77;0,81;0,12;0,36;2,89
P003C;11;0,72;0,11;0;0;0;0,92;0,01;0;0,07;0,17;0,12;0,67;2,79
P003C;21;12,24;29,18;1,05;1,61;0,93;0,88;1;0,02;0,63;0,17;4,32;22,17;74,19
P003C;22;24,29;73,43;2,33;4,14;2,91;1;3,23;0,23;1,85;0,22;10,59;39,95;164,16
P003C;23;4,94;100,15;2,18;1,31;0,24;0;1,14;0;0,7;0,8;0,03;0,09;111,59
P003C;24;0;0;0;0;0,82;0;0;0;0,02;0;0,03;0,48;1,36
P003C;25;0,31;0,14;0,01;0,02;2,45;0,09;0;0;0,1;0,01;0,11;1,09;4,33
P003C;26;0,2;2,33;0;0;0,59;0;0;0;0;0;0,04;0,2;3,35
P004Z;4;0,02;0;0;0;0;0,01;0;0;0,01;0;0,01;0,01;0,06
P004Z;5;0,03;0;0;0;0;0,01;0;0;0;0;0;0,01;0,06
P004Z;7;0;0;0;0;0;0;0;0;0;0;0;0;0,01
P004Z;8;0,04;0;0;0;0;0,04;0;0;0,01;0;0,01;0,02;0,12
P004Z;9;0,32;0;0;0;0;0,48;0,01;0;0,09;0,56;0,17;0,25;1,89
P004Z;10;0,08;0;0;0;0;0,8;0,01;0,01;0,88;1,21;0,14;0,32;3,43
P004Z;11;0,75;0,77;0;0;0;0,67;0,01;0;0,07;0,21;0,1;0,75;3,31
P004Z;21;8,32;29,06;0,8;1,8;1,12;0,41;0,81;0,12;0,95;0,06;4,68;20,51;68,62
P004Z;22;23,38;82,68;2,68;3,95;2,41;1,17;2,73;0,39;1,97;0,21;11,46;48,52;181,57
P004Z;23;5,82;19,66;0,85;0,97;0,35;0,02;0,34;0,04;0,19;0,11;0,01;0,04;28,41
P004Z;24;0,02;0,08;0,01;0;0,74;0,02;0;0;0,02;0,01;0,03;0,34;1,27
P004Z;25;0,03;0,33;0,02;0,12;2,22;0,02;0,01;0;0,11;0,02;0,15;1,25;4,27
P004Z;26;0,12;0,2;0,01;0,01;0,03;0,02;0;0;0;0;0,01;0,08;0,48
PA01A;7;0,01;0;0;0;0;0;0;0;0,01;0;0,01;0,01;0,03
PA01A;8;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0,03
PA01A;9;0,19;0;0;0;0;0,29;0,02;0;0,11;0,51;0,17;0,19;1,49
PA01A;10;0,04;0;0;0;0;0,68;0;0;0,83;0,64;0,08;0,25;2,51
