nd_Pepp;nd_Code;nd_FaelleAnzahl;nd_FaelleAnteil;nd_NennungenAnzahl;nd_NennungenAnteil
P002A;F17.1;17;0,1954;17;0,0634
P002A;F19.1;13;0,1494;13;0,0485
P002A;F10.1;12;0,1379;12;0,0448
P002A;F74.1;12;0,1379;12;0,0448
P002A;F98.8;8;0,092;8;0,0299
P002A;F19.0;6;0,069;6;0,0224
P002A;F19.2;6;0,069;6;0,0224
P002A;F12.0;5;0,0575;5;0,0187
P002A;F32.1;5;0,0575;5;0,0187
P002A;F43.2;5;0,0575;5;0,0187
P002A;X84.9;5;0,0575;5;0,0187
P002A;F12.1;4;0,046;4;0,0149
P002A;F60.31;4;0,046;4;0,0149
P002A;F70.1;4;0,046;4;0,0149
P002A;R74.0;4;0,046;4;0,0149
P002B;F32.1;12;0,0923;12;0,043
P002B;F43.2;11;0,0846;11;0,0394
P002B;F94.1;10;0,0769;10;0,0358
P002B;F90.1;9;0,0692;9;0,0323
P002B;F10.1;7;0,0538;7;0,0251
P002B;F32.2;7;0,0538;7;0,0251
P002B;F17.1;6;0,0462;6;0,0215
P002B;F19.1;6;0,0462;6;0,0215
P002B;F74.1;6;0,0462;6;0,0215
P002B;F92.8;6;0,0462;6;0,0215
P002B;F98.8;6;0,0462;6;0,0215
P002B;X84.9;6;0,0462;6;0,0215
P002B;Z62;5;0,0385;5;0,0179
P002B;F12.1;4;0,0308;4;0,0143
P002B;F19.2;4;0,0308;4;0,0143
P002B;F60.31;4;0,0308;4;0,0143
P002B;F94.2;4;0,0308;4;0,0143
P003A;I10.00;18;0,1395;18;0,0261
P003A;F60.31;15;0,1163;16;0,0232
P003A;E11.90;13;0,1008;13;0,0189
P003A;Z74.1;13;0,1008;13;0,0189
P003A;I10.90;12;0,093;12;0,0174
P003A;R32;11;0,0853;11;0,016
P003A;F43.1;10;0,0775;10;0,0145
P003A;E86;9;0,0698;9;0,0131
P003A;F33.2;9;0,0698;9;0,0131
P003A;R15;9;0,0698;9;0,0131
P003A;F20.0;8;0,062;9;0,0131
P003A;K59.0;8;0,062;8;0,0116
P003A;X84.9;8;0,062;8;0,0116
P003A;F10.2;7;0,0543;7;0,0102
P003A;E66.00;6;0,0465;6;0,0087
P003A;F00.2;6;0,0465;6;0,0087
P003A;F13.2;6;0,0465;6;0,0087
P003A;R29.6;6;0,0465;6;0,0087
P003A;Z74.0;6;0,0465;6;0,0087
P003A;F00.1;5;0,0388;5;0,0073
P003A;F17.2;5;0,0388;5;0,0073
P003A;F25.0;5;0,0388;5;0,0073
P003A;F61;5;0,0388;5;0,0073
P003A;G30.1;5;0,0388;5;0,0073
P003A;G30.8;5;0,0388;5;0,0073
P003A;I69.3;5;0,0388;5;0,0073
P003A;R26.3;5;0,0388;5;0,0073
P003A;Z11;5;0,0388;5;0,0073
P003A;B18.2;4;0,031;4;0,0058
P003A;E03.8;4;0,031;4;0,0058
P003A;F10.1;4;0,031;6;0,0087
P003A;F71.1;4;0,031;4;0,0058
P003A;G21.1;4;0,031;4;0,0058
P003A;G40.9;4;0,031;4;0,0058
P003A;I48.11;4;0,031;4;0,0058
P003A;I50.9;4;0,031;4;0,0058
P003A;N40;4;0,031;4;0,0058
P003A;R46.0;4;0,031;4;0,0058
P003A;Z01.0;4;0,031;4;0,0058
P003A;Z29.0;4;0,031;4;0,0058
P003A;Z74.3;4;0,031;4;0,0058
P003A;Z92.1;4;0,031;4;0,0058
P003B;F20.0;24;0,127;24;0,0235
P003B;I10.00;24;0,127;24;0,0235
P003B;Z74.1;20;0,1058;20;0,0196
P003B;I10.90;17;0,0899;17;0,0166
P003B;Z74.0;16;0,0847;16;0,0156
P003B;E86;15;0,0794;15;0,0147
P003B;K59.0;15;0,0794;15;0,0147
P003B;R29.6;14;0,0741;14;0,0137
P003B;N39.0;12;0,0635;14;0,0137
P003B;R32;11;0,0582;11;0,0108
P003B;E87.6;10;0,0529;10;0,0098
P003B;F00.1;10;0,0529;10;0,0098
P003B;F10.2;10;0,0529;10;0,0098
P003B;F60.31;10;0,0529;10;0,0098
P003B;R15;10;0,0529;10;0,0098
P003B;F00.2;9;0,0476;9;0,0088
P003B;F17.2;9;0,0476;9;0,0088
P003B;F33.2;9;0,0476;9;0,0088
P003B;N40;9;0,0476;9;0,0088
P003B;F05.1;8;0,0423;8;0,0078
P003B;G30.1;8;0,0423;8;0,0078
P003B;G30.8;8;0,0423;8;0,0078
P003B;R26.3;8;0,0423;8;0,0078
P003B;Z29.0;8;0,0423;8;0,0078
P003B;B96.2;7;0,037;7;0,0068
P003B;E11.90;7;0,037;7;0,0068
P003B;I48.11;7;0,037;7;0,0068
P003B;R13.0;7;0,037;7;0,0068
P003B;X84.9;7;0,037;7;0,0068
P003B;E03.9;6;0,0317;6;0,0059
P003B;F13.2;6;0,0317;6;0,0059
P003B;F25.0;6;0,0317;6;0,0059
P003B;F32.2;6;0,0317;6;0,0059
P003B;F43.1;6;0,0317;6;0,0059
P003B;F61;6;0,0317;6;0,0059
P003B;F72.1;6;0,0317;6;0,0059
P003B;R64;6;0,0317;6;0,0059
P003B;Z11;6;0,0317;6;0,0059
P003B;E53.8;5;0,0265;5;0,0049
P003B;F10.6;5;0,0265;5;0,0049
P003B;F43.2;5;0,0265;5;0,0049
P003B;I25.9;5;0,0265;5;0,0049
P003B;I48.10;5;0,0265;5;0,0049
P003B;Z92.1;5;0,0265;5;0,0049
P003B;D64.9;4;0,0212;4;0,0039
P003B;E03.8;4;0,0212;4;0,0039
P003B;E66.00;4;0,0212;4;0,0039
P003B;E87.1;4;0,0212;4;0,0039
P003B;F00.0;4;0,0212;4;0,0039
P003B;F03;4;0,0212;4;0,0039
P003B;F06.3;4;0,0212;4;0,0039
P003B;F12.1;4;0,0212;4;0,0039
P003B;F25.1;4;0,0212;4;0,0039
P003B;F60.30;4;0,0212;4;0,0039
P003B;G40.9;4;0,0212;4;0,0039
P003B;I50.19;4;0,0212;4;0,0039
P003B;N39.48;4;0,0212;4;0,0039
P003B;R46.0;4;0,0212;4;0,0039
P003B;U80.4;4;0,0212;4;0,0039
P003B;Z74.3;4;0,0212;4;0,0039
P003C;I10.00;51;0,1266;51;0,026
P003C;I10.90;35;0,0868;35;0,0178
P003C;Z74.1;35;0,0868;35;0,0178
P003C;F17.2;29;0,072;29;0,0148
P003C;F00.1;26;0,0645;26;0,0132
P003C;R32;25;0,062;25;0,0127
P003C;E11.90;24;0,0596;24;0,0122
P003C;E87.6;24;0,0596;24;0,0122
P003C;F00.2;24;0,0596;24;0,0122
P003C;F10.2;24;0,0596;25;0,0127
P003C;F60.31;24;0,0596;24;0,0122
P003C;F20.0;23;0,0571;24;0,0122
P003C;N39.0;22;0,0546;22;0,0112
P003C;Z74.0;22;0,0546;22;0,0112
P003C;F10.1;20;0,0496;20;0,0102
P003C;R15;20;0,0496;20;0,0102
P003C;R29.6;19;0,0471;19;0,0097
P003C;F19.2;18;0,0447;18;0,0092
P003C;K59.0;18;0,0447;18;0,0092
P003C;G30.1;17;0,0422;17;0,0087
P003C;F12.1;16;0,0397;16;0,0081
P003C;G30.8;16;0,0397;16;0,0081
P003C;E03.8;15;0,0372;15;0,0076
P003C;F05.1;15;0,0372;15;0,0076
P003C;I67.3;14;0,0347;14;0,0071
P003C;E53.8;13;0,0323;13;0,0066
P003C;E86;13;0,0323;13;0,0066
P003C;R46.0;13;0,0323;13;0,0066
P003C;F06.8;12;0,0298;12;0,0061
P003C;F33.2;12;0,0298;12;0,0061
P003C;G47.0;12;0,0298;12;0,0061
P003C;R26.3;12;0,0298;12;0,0061
P003C;E03.9;11;0,0273;11;0,0056
P003C;G40.9;11;0,0273;11;0,0056
P003C;I48.11;11;0,0273;11;0,0056
P003C;N40;11;0,0273;11;0,0056
P003C;E87.1;10;0,0248;10;0,0051
P003C;F03;10;0,0248;10;0,0051
P003C;F20.5;10;0,0248;10;0,0051
P003C;N39.48;10;0,0248;10;0,0051
P003C;F13.2;9;0,0223;9;0,0046
P003C;F25.0;9;0,0223;9;0,0046
P003C;F43.1;9;0,0223;9;0,0046
P003C;R47.0;9;0,0223;9;0,0046
P003C;X84.9;9;0,0223;9;0,0046
P003C;Z74.3;9;0,0223;9;0,0046
P003C;E78.0;8;0,0199;8;0,0041
P003C;E78.2;8;0,0199;8;0,0041
P003C;I69.3;8;0,0199;8;0,0041
P003C;J44.89;8;0,0199;8;0,0041
P003C;R45.5;8;0,0199;8;0,0041
P003C;R45.6;8;0,0199;8;0,0041
P003C;D50.8;7;0,0174;7;0,0036
P003C;E79.0;7;0,0174;7;0,0036
P003C;F06.3;7;0,0174;7;0,0036
P003C;F10.6;7;0,0174;7;0,0036
P003C;F32.2;7;0,0174;7;0,0036
P003C;I48.10;7;0,0174;7;0,0036
P003C;J44.99;7;0,0174;7;0,0036
P003C;R13.0;7;0,0174;7;0,0036
P003C;R45.1;7;0,0174;7;0,0036
P003C;Z95.0;7;0,0174;7;0,0036
P003C;B18.2;6;0,0149;6;0,0031
P003C;E66.02;6;0,0149;6;0,0031
P003C;F10.0;6;0,0149;6;0,0031
P003C;F33.1;6;0,0149;6;0,0031
P003C;F43.0;6;0,0149;6;0,0031
P003C;F61;6;0,0149;6;0,0031
P003C;I25.9;6;0,0149;6;0,0031
P003C;I50.9;6;0,0149;6;0,0031
P003C;N18.3;6;0,0149;6;0,0031
P003C;N19;6;0,0149;6;0,0031
P003C;R63.3;6;0,0149;6;0,0031
P003C;Z11;6;0,0149;6;0,0031
P003C;Z96.6;6;0,0149;6;0,0031
P003C;D64.9;5;0,0124;5;0,0025
P003C;E14.90;5;0,0124;5;0,0025
P003C;E66.00;5;0,0124;5;0,0025
P003C;E78.5;5;0,0124;5;0,0025
P003C;F01.2;5;0,0124;5;0,0025
P003C;F01.3;5;0,0124;5;0,0025
P003C;F01.9;5;0,0124;5;0,0025
P003C;F06.2;5;0,0124;5;0,0025
P003C;F10.3;5;0,0124;5;0,0025
P003C;F13.1;5;0,0124;5;0,0025
P003C;F43.2;5;0,0124;5;0,0025
