re_Code;re_Text;re_CodeF;re_Hauptdiagnose;re_Nebendiagnose;re_Prozedur
1203x;Invasive Funktionsdiagnostik des Nervensystems: Sonstige;1-203.x;0;0;1
12042;Untersuchung des Liquorsystems: Lumbale Liquorpunktion zur Liquorentnahme;1-204.2;0;0;1
1205;Elektromyographie (EMG);1-205;0;0;1
1206;Neurographie;1-206;0;0;1
12070;Elektroenzephalographie (EEG): Routine-EEG (10/20 Elektroden);1-207.0;0;0;1
12071;Elektroenzephalographie (EEG): Schlaf-EEG (10/20 Elektroden);1-207.1;0;0;1
12080;Registrierung evozierter Potentiale: Akustisch (AEP);1-208.0;0;0;1
12081;Registrierung evozierter Potentiale: Früh-akustisch (FAEP/BERA);1-208.1;0;0;1
12082;Registrierung evozierter Potentiale: Somatosensorisch (SSEP);1-208.2;0;0;1
12083;Registrierung evozierter Potentiale: Früh-somatosensorisch (FSSEP);1-208.3;0;0;1
12084;Registrierung evozierter Potentiale: Motorisch;1-208.4;0;0;1
12086;Registrierung evozierter Potentiale: Visuell (VEP);1-208.6;0;0;1
12088;Registrierung evozierter Potentiale: Otoakustische Emissionen;1-208.8;0;0;1
1208x;Registrierung evozierter Potentiale: Sonstige;1-208.x;0;0;1
12200;Messung des Augeninnendrucks: Tages- und Nachtdruckmessung über 24 Stunden;1-220.0;0;0;1
1242;Audiometrie;1-242;0;0;1
1243;Phoniatrie;1-243;0;0;1
1247;Olfaktometrie und Gustometrie;1-247;0;0;1
12660;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Bei implantiertem Schrittmacher;1-266.0;0;0;1
12662;Elektrophysiologische Untersuchung des Herzens, nicht kathetergestützt: Kipptisch-Untersuchung zur Abklärung von Synkopen;1-266.2;0;0;1
14409;Endoskopische Biopsie an oberem Verdauungstrakt, Gallengängen und Pankreas: Stufenbiopsie am oberen Verdauungstrakt;1-440.9;0;0;1
1440a;Endoskopische Biopsie an oberem Verdauungstrakt, Gallengängen und Pankreas: 1 bis 5 Biopsien am oberen Verdauungstrakt;1-440.a;0;0;1
14446;Endoskopische Biopsie am unteren Verdauungstrakt: Stufenbiopsie;1-444.6;0;0;1
14447;Endoskopische Biopsie am unteren Verdauungstrakt: 1 bis 5 Biopsien;1-444.7;0;0;1
16100;Diagnostische Laryngoskopie: Direkt;1-610.0;0;0;1
16101;Diagnostische Laryngoskopie: Indirekt;1-610.1;0;0;1
16110;Diagnostische Pharyngoskopie: Direkt;1-611.0;0;0;1
16111;Diagnostische Pharyngoskopie: Indirekt;1-611.1;0;0;1
1612;Diagnostische Rhinoskopie;1-612;0;0;1
1631;Diagnostische Ösophagogastroskopie;1-631;0;0;1
1632;Diagnostische Ösophagogastroduodenoskopie;1-632;0;0;1
1635;Diagnostische Jejunoskopie;1-635;0;0;1
16500;Diagnostische Koloskopie: Partiell;1-650.0;0;0;1
16501;Diagnostische Koloskopie: Total, bis Zäkum;1-650.1;0;0;1
16502;Diagnostische Koloskopie: Total, mit Ileoskopie;1-650.2;0;0;1
1650y;Diagnostische Koloskopie: N.n.bez.;1-650.y;0;0;1
1653;Diagnostische Proktoskopie;1-653;0;0;1
16541;Diagnostische Rektoskopie: Mit starrem Instrument;1-654.1;0;0;1
1661;Diagnostische Urethrozystoskopie;1-661;0;0;1
1671;Diagnostische Kolposkopie;1-671;0;0;1
1700;Spezifische allergologische Provokationstestung;1-700;0;0;1
1710;Ganzkörperplethysmographie;1-710;0;0;1
1711;Bestimmung der CO-Diffusionskapazität;1-711;0;0;1
1713;Messung der funktionellen Residualkapazität [FRC] mit der Helium-Verdünnungsmethode;1-713;0;0;1
1760;Belastungstest mit Substanzen zum Nachweis einer Stoffwechselstörung;1-760;0;0;1
1770;Multidimensionales geriatrisches Screening und Minimalassessment;1-770;0;0;1
1790;Kardiorespiratorische Polysomnographie;1-790;0;0;1
1791;Kardiorespiratorische Polygraphie;1-791;0;0;1
1903;Aufwendige Diagnostik bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen;1-903;0;0;1
1904;Aufwendige Diagnostik bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern und Jugendlichen;1-904;0;0;1
3052;Transösophageale Echokardiographie [TEE];3-052;0;0;1
3053;Endosonographie des Magens;3-053;0;0;1
3055;Endosonographie der Gallenwege;3-055;0;0;1
3056;Endosonographie des Pankreas;3-056;0;0;1
3058;Endosonographie des Rektums;3-058;0;0;1
305d;Endosonographie der weiblichen Geschlechtsorgane;3-05d;0;0;1
305e;Endosonographie der Blutgefäße;3-05e;0;0;1
305x;Andere Endosonographie;3-05x;0;0;1
31000;Mammographie: Eine oder mehr Ebenen;3-100.0;0;0;1
3200;Native Computertomographie des Schädels;3-200;0;0;1
3201;Native Computertomographie des Halses;3-201;0;0;1
3202;Native Computertomographie des Thorax;3-202;0;0;1
3203;Native Computertomographie von Wirbelsäule und Rückenmark;3-203;0;0;1
3205;Native Computertomographie des Muskel-Skelett-Systems;3-205;0;0;1
3206;Native Computertomographie des Beckens;3-206;0;0;1
3207;Native Computertomographie des Abdomens;3-207;0;0;1
3220;Computertomographie des Schädels mit Kontrastmittel;3-220;0;0;1
3221;Computertomographie des Halses mit Kontrastmittel;3-221;0;0;1
3222;Computertomographie des Thorax mit Kontrastmittel;3-222;0;0;1
3225;Computertomographie des Abdomens mit Kontrastmittel;3-225;0;0;1
3226;Computertomographie des Beckens mit Kontrastmittel;3-226;0;0;1
3227;Computertomographie des Muskel-Skelett-Systems mit Kontrastmittel;3-227;0;0;1
3228;Computertomographie der peripheren Gefäße mit Kontrastmittel;3-228;0;0;1
322x;Andere Computertomographie mit Kontrastmittel;3-22x;0;0;1
3600;Arteriographie der intrakraniellen Gefäße;3-600;0;0;1
3700;Szintigraphie von Gehirn und Liquorräumen;3-700;0;0;1
3701;Szintigraphie der Schilddrüse;3-701;0;0;1
37200;Single-Photon-Emissionscomputertomographie des Gehirns: Mit Perfusionsmarkern;3-720.0;0;0;1
372011;Single-Photon-Emissionscomputertomographie des Gehirns: Mit rezeptorgerichteten Substanzen: Mit Dopamin-Rezeptor-Liganden;3-720.11;0;0;1
3730;Single-Photon-Emissionscomputertomographie mit Computertomographie (SPECT/CT) des Gehirns;3-730;0;0;1
3740;Positronenemissionstomographie des Gehirns;3-740;0;0;1
3750;Positronenemissionstomographie mit Computertomographie (PET/CT) des Gehirns;3-750;0;0;1
3800;Native Magnetresonanztomographie des Schädels;3-800;0;0;1
3801;Native Magnetresonanztomographie des Halses;3-801;0;0;1
3802;Native Magnetresonanztomographie von Wirbelsäule und Rückenmark;3-802;0;0;1
3804;Native Magnetresonanztomographie des Abdomens;3-804;0;0;1
3805;Native Magnetresonanztomographie des Beckens;3-805;0;0;1
3806;Native Magnetresonanztomographie des Muskel-Skelett-Systems;3-806;0;0;1
3808;Native Magnetresonanztomographie der peripheren Gefäße;3-808;0;0;1
380x;Andere native Magnetresonanztomographie;3-80x;0;0;1
3820;Magnetresonanztomographie des Schädels mit Kontrastmittel;3-820;0;0;1
3821;Magnetresonanztomographie des Halses mit Kontrastmittel;3-821;0;0;1
3823;Magnetresonanztomographie von Wirbelsäule und Rückenmark mit Kontrastmittel;3-823;0;0;1
3825;Magnetresonanztomographie des Abdomens mit Kontrastmittel;3-825;0;0;1
3826;Magnetresonanztomographie des Muskel-Skelett-Systems mit Kontrastmittel;3-826;0;0;1
3828;Magnetresonanztomographie der peripheren Gefäße mit Kontrastmittel;3-828;0;0;1
382a;Magnetresonanztomographie des Beckens mit Kontrastmittel;3-82a;0;0;1
382x;Andere Magnetresonanztomographie mit Kontrastmittel;3-82x;0;0;1
384x;Andere Magnetresonanz-Spezialverfahren;3-84x;0;0;1
3900;Knochendichtemessung (alle Verfahren);3-900;0;0;1
3990;Computergestützte Bilddatenanalyse mit 3D-Auswertung;3-990;0;0;1
3991;Computergestützte Bilddatenanalyse mit 4D-Auswertung;3-991;0;0;1
3993;Quantitative Bestimmung von Parametern;3-993;0;0;1
3994;Virtuelle 3D-Rekonstruktionstechnik;3-994;0;0;1
3996;Anwendung eines 3D-Bildwandlers;3-996;0;0;1
3997;Computertechnische Bildfusion verschiedener bildgebender Modalitäten;3-997;0;0;1
52301;Zahnextraktion: Mehrwurzeliger Zahn;5-230.1;0;0;1
5230x;Zahnextraktion: Sonstige;5-230.x;0;0;1
5232x0;Zahnsanierung durch Füllung: Sonstige: Ein Zahn;5-232.x0;0;0;1
52370;Wurzelspitzenresektion und Wurzelkanalbehandlung: Wurzelkanalbehandlung;5-237.0;0;0;1
54312;Gastrostomie: Perkutan-endoskopisch (PEG);5-431.2;0;0;1
545221;Lokale Exzision und Destruktion von erkranktem Gewebe des Dickdarmes: Exzision, endoskopisch: Polypektomie von 1-2 Polypen mit Schlinge;5-452.21;0;0;1
54930;Operative Behandlung von Hämorrhoiden: Ligatur;5-493.0;0;0;1
55721;Zystostomie: Perkutan;5-572.1;0;0;1
590004;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut: Primärnaht: Sonstige Teile Kopf;5-900.04;0;0;1
590007;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut: Primärnaht: Oberarm und Ellenbogen;5-900.07;0;0;1
590008;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut: Primärnaht: Unterarm;5-900.08;0;0;1
59000f;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut: Primärnaht: Unterschenkel;5-900.0f;0;0;1
5984;Mikrochirurgische Technik;5-984;0;0;1
80150;Enterale Ernährungstherapie als medizinische Hauptbehandlung: Über eine Sonde;8-015.0;0;0;1
80151;Enterale Ernährungstherapie als medizinische Hauptbehandlung: Über ein Stoma;8-015.1;0;0;1
8121;Darmspülung;8-121;0;0;1
81321;Manipulationen an der Harnblase: Spülung, einmalig;8-132.1;0;0;1
81330;Wechsel und Entfernung eines suprapubischen Katheters: Wechsel;8-133.0;0;0;1
81514;Therapeutische perkutane Punktion des Zentralnervensystems und des Auges: Lumbalpunktion;8-151.4;0;0;1
81710;Therapeutische Spülung (Lavage) des Ohres: Äußerer Gehörgang;8-171.0;0;0;1
819100;Verband bei großflächigen und schwerwiegenden Hauterkrankungen: Feuchtverband mit antiseptischer Lösung: Ohne Debridement-Bad;8-191.00;0;0;1
81915;Verband bei großflächigen und schwerwiegenden Hauterkrankungen: Hydrokolloidverband;8-191.5;0;0;1
8191x;Verband bei großflächigen und schwerwiegenden Hauterkrankungen: Sonstige;8-191.x;0;0;1
81920g;Entfernung von erkranktem Gewebe an Haut und Unterhaut ohne Anästhesie (im Rahmen eines Verbandwechsels) bei Vorliegen einer Wunde: Kleinflächig: Fuß;8-192.0g;0;0;1
8310x;Aufwendige Gipsverbände: Sonstige;8-310.x;0;0;1
83901;Lagerungsbehandlung: Therapeutisch-funktionelle Lagerung auf neurophysiologischer Grundlage;8-390.1;0;0;1
8390x;Lagerungsbehandlung: Sonstige;8-390.x;0;0;1
8522d0;Hochvoltstrahlentherapie: Linearbeschleuniger mehr als 6 MeV Photonen oder schnelle Elektronen, 3D-geplante Bestrahlung: Ohne bildgestützte Einstellung;8-522.d0;0;0;1
854731;Andere Immuntherapie: Immunsuppression: Sonstige Applikationsform;8-547.31;0;0;1
85480;Hochaktive antiretrovirale Therapie [HAART]: Mit 2 bis 4 Einzelsubstanzen;8-548.0;0;0;1
85500;Geriatrische frührehabilitative Komplexbehandlung: Mindestens 7 Behandlungstage und 10 Therapieeinheiten;8-550.0;0;0;1
85501;Geriatrische frührehabilitative Komplexbehandlung: Mindestens 14 Behandlungstage und 20 Therapieeinheiten;8-550.1;0;0;1
8560x;Lichttherapie: Sonstige;8-560.x;0;0;1
85611;Funktionsorientierte physikalische Therapie: Funktionsorientierte physikalische Monotherapie;8-561.1;0;0;1
85631;Physikalisch-medizinische Komplexbehandlung: Mindestens 7 bis höchstens 13 Behandlungstage;8-563.1;0;0;1
85632;Physikalisch-medizinische Komplexbehandlung: Mindestens 14 Behandlungstage;8-563.2;0;0;1
86302;Elektrokrampftherapie [EKT]: Grundleistung;8-630.2;0;0;1
86303;Elektrokrampftherapie [EKT]: Therapiesitzung;8-630.3;0;0;1
8650;Elektrotherapie;8-650;0;0;1
87171;Einstellung einer nasalen oder oronasalen Überdrucktherapie bei schlafbezogenen Atemstörungen: Kontrolle oder Optimierung einer früher eingeleiteten nasalen oder oronasalen Überdrucktherapie;8-717.1;0;0;1
88542;Hämodialyse: Intermittierend, Antikoagulation mit Heparin oder ohne Antikoagulation;8-854.2;0;0;1
8900;Intravenöse Anästhesie;8-900;0;0;1
891820;Multimodale Schmerztherapie: Mindestens 21 Behandlungstage: Bis zu 83 Therapieeinheiten;8-918.20;0;0;1
8919;Komplexe Akutschmerzbehandlung;8-919;0;0;1
8930;Monitoring von Atmung, Herz und Kreislauf ohne Messung des Pulmonalarteriendruckes und des zentralen Venendruckes;8-930;0;0;1
89753;Naturheilkundliche und anthroposophisch-medizinische Komplexbehandlung: Anthroposophisch-medizinische Komplexbehandlung;8-975.3;0;0;1
92000;Hochaufwendige Pflege von Erwachsenen: 43 bis 71 Aufwandspunkte;9-200.0;0;0;1
92001;Hochaufwendige Pflege von Erwachsenen: 72 bis 100 Aufwandspunkte;9-200.1;0;0;1
92005;Hochaufwendige Pflege von Erwachsenen: 101 bis 129 Aufwandspunkte;9-200.5;0;0;1
92006;Hochaufwendige Pflege von Erwachsenen: 130 bis 158 Aufwandspunkte;9-200.6;0;0;1
92007;Hochaufwendige Pflege von Erwachsenen: 159 bis 187 Aufwandspunkte;9-200.7;0;0;1
92008;Hochaufwendige Pflege von Erwachsenen: 188 bis 216 Aufwandspunkte;9-200.8;0;0;1
9320;Therapie organischer und funktioneller Störungen der Sprache, des Sprechens, der Stimme und des Schluckens;9-320;0;0;1
940100;Psychosoziale Interventionen: Sozialrechtliche Beratung: Mindestens 50 Minuten bis 2 Stunden;9-401.00;0;0;1
940101;Psychosoziale Interventionen: Sozialrechtliche Beratung: Mehr als 2 Stunden bis 4 Stunden;9-401.01;0;0;1
940102;Psychosoziale Interventionen: Sozialrechtliche Beratung: Mehr als 4 Stunden;9-401.02;0;0;1
940153;Psychosoziale Interventionen: Integrierte psychosoziale Komplexbehandlung: Mehr als 8 Stunden;9-401.53;0;0;1
94020;Psychosomatische Therapie: Psychosomatische und psychotherapeutische Komplexbehandlung;9-402.0;0;0;1
941004;Einzeltherapie: Kognitive Verhaltenstherapie: An einem Tag;9-410.04;0;0;1
9411y;Gruppentherapie: N.n.bez.;9-411.y;0;0;1
95000;Patientenschulung: Basisschulung;9-500.0;0;0;1
9604;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen ohne Therapieeinheiten pro Woche;9-604;0;0;1
96050;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit 1/12 bis 2 Therapieeinheiten pro Woche;9-605.0;0;0;1
96051;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 2 bis 4 Therapieeinheiten pro Woche;9-605.1;0;0;1
96052;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 4 bis 6 Therapieeinheiten pro Woche;9-605.2;0;0;1
96053;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 6 bis 8 Therapieeinheiten pro Woche;9-605.3;0;0;1
96054;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 8 bis 10 Therapieeinheiten pro Woche;9-605.4;0;0;1
